rank	username	minecraft:dropped/minecraft:ancient_debris
1	EcksD	12273
2	NomadicRobin_	751
3	thewindmillman	466
4	Kowcio_	201
5	Smashic	193
6	Strangemonkey71	164
7	_Mythic____	148
8	eitanzaki	105
9	thescout7	101
10	Blaiku	71
11	Enderxz3	64
12	bloodbiter	57
13	prizm_	54
14	Jackattack53	53
15	NinjaKnifeKill	50
16	lorywithay	48
17	Eraxa	46
17	ConnorDanky_	46
19	Syropatathe	42
20	AuroraValkyrie	41
21	Hyp3rion_	29
22	yheece	28
23	Fullut	27
23	MineMaster0012	27
25	Spenduh	26
26	Mattesco	24
27	_Virify_	22
27	set67	22
29	Solar_Power	21
30	luseis	20
31	joethahobo	19
32	PazinGaming	17
32	noam464	17
32	Werbe	17
35	H0UNDFRMH3LL	16
36	NatalieTW	14
37	Lord_Jord	13
37	Racengan	13
39	Ezekson	12
39	FishisTTV	12
41	FreakGenius	11
42	PigDab	10
42	00000000-0000-0000-0009-01ffb083c258	10
44	AlexxO_o	9
45	Dakar_	8
45	MS_Pryxx	8
45	UCP_TheKingK	8
45	00000000-0000-0000-0009-01ff0c3e5e4f	8
49	kekhon	7
49	monky_irl	7
49	djancak	7
49	alderban107	7
49	WYFYoyo	7
54	Mahoose	6
54	LeGold	6
54	Akoot_	6
54	NATE_the_HALO	6
54	AdmiralSmoke	6
59	SaphLaseer	5
59	Jonafrog99	5
59	Skylord_Luke	5
59	h2p_emrld	5
63	rarrq	4
63	WET_WET_WET	4
63	Zythose	4
63	F_Uhre	4
63	LeonelSalamanca	4
63	Segotep999	4
69	T045RTY	3
69	noodlepack	3
69	Secret_Canary	3
69	500am	3
69	ROY4LE	3
69	shrimp_flips	3
69	SkateboardR6	3
76	JohnnyFyes	2
76	CLG_Kata	2
76	Frozil20	2
76	bigstankyy	2
76	Blackberry1310	2
76	Tiberonus	2
76	Masssonnn	2
76	Xalithia	2
76	mimbo1211	2
76	Samificator	2
76	PuFY	2
76	HolyVenom	2
76	fw3xy74	2
76	EveryonesUncle	2
76	Shogunite	2
76	AssFullaCum	2
76	_Yonk_	2
76	_i_ERROR_i_	2
76	ZoomieZoomie	2
76	Quotary	2
76	HesDemonPants	2
76	xolstoi	2
76	remmisrat	2
99	MuffinManzz	1
99	teslawolf38	1
99	EMC_	1
99	itburb	1
99	Huwulling	1
99	ShedJr_	1
99	Lez_	1
99	Da_Boss_Rani	1
99	beeperbeeper5	1
99	NieToksikpl	1
99	Raspberry_Sodas	1
99	catandmoose	1
99	mwrty	1
99	Mookle96	1
99	gcaisawesome	1
99	Di_infiri	1
99	Chromary	1
99	Reneedium	1
99	Luminad3	1
99	Gryglu583	1
99	Sorry_Arey	1
99	Quaintster	1
99	the__Reaper4999	1
99	lordpipe	1
99	_Ruzeeq_	1
99	Shin69	1
99	YungMaki	1
99	SpacesickPrism	1
99	cichy096	1
