rank	username	minecraft:dropped/minecraft:blaze_rod
1	thewindmillman	215712
2	Spacewardharpy7	82716
3	Frozil20	20328
4	noam464	6093
5	joethahobo	4029
6	Jackattack53	3607
7	Hyp3rion_	2301
8	Di_infiri	2062
9	Yamdalorian	2060
10	Blaiku	1769
11	EcksD	1063
12	lordpipe	899
13	Segotep999	766
14	eitanzaki	660
15	Jimb0nat0r	454
16	Myszoaz	384
16	SteveCraftBlocks	384
18	kekhon	336
19	Spaghettatron	326
20	FreakGenius	298
21	HellsSponge	262
22	Isaac70096	249
23	PigDab	214
24	doublemaki	199
25	knarian	167
26	Alteriity	118
27	TechnoNinja64	113
28	Nicserso	106
29	jnp_gaming	105
30	thescout7	101
31	WYFYoyo	96
32	beeperbeeper5	70
33	Bumpy419	69
33	Wanjibon	69
35	gcaisawesome	68
35	Tyrannosplart	68
37	MeanTugger	65
38	Caribouse	64
38	Huwulling	64
38	Quaintster	64
38	ConnorDanky_	64
42	bloodbiter	62
43	NomadicRobin_	58
43	TwinTowerV2	58
45	es0th	53
46	Vorlice	52
47	Ninzyyy	50
48	HolyVenom	45
49	yheece	44
50	_MeowMix	43
51	ECstardust	41
51	MintyTuna	41
51	vandmanden	41
54	Secret_Canary	40
54	r123moore	40
56	pintsizedrogue	39
57	I_Am_Mushkin	38
58	ColeSnyder	36
58	AlexxO_o	36
60	Groundler	34
61	Mr_Byzantine	33
61	Steelynan	33
63	set67	32
64	oscminus	30
65	Mahoose	29
65	SellyZ	29
67	abdomera	27
67	Zaridey	27
67	PortlyPete69	27
70	AssFullaCum	25
71	Groovy_MoonBird	24
71	Akoot_	24
73	TheBananaKat	20
73	Powowowow	20
75	gren_ben	19
75	Onennon	19
77	Lez_	18
77	rarrq	18
77	Guillemet	18
77	luseis	18
77	stavgod	18
82	Kowcio_	17
82	h2p_emrld	17
84	Arceus1975	16
84	Rasmanden	16
86	Xclax101	15
86	mihimihimihi	15
86	Shin69	15
86	trexgb	15
90	Killercatty78	12
90	Fullut	12
90	_Magdo_	12
90	Vol_Rod33	12
90	Iamthejo	12
95	CollinMH06	11
95	Blu3beast	11
97	w3nd3lbo3	8
97	Comma__	8
97	i2f8x4h8ro	8
97	Snowflowe	8
97	Zythose	8
97	wTXop	8
97	_Mythic____	8
97	jcool7	8
97	Ezekson	8
97	Enderxz3	8
107	shineh10	7
107	McCakeAh	7
107	Blackberry1310	7
107	TheSecondLord	7
107	Rumpletaezer	7
107	fw3xy	7
107	Dakar_	7
107	miramyu	7
107	Kubeusz2010	7
116	k_ce	6
116	gaziter10	6
116	Euclidoris	6
116	_Nuf	6
116	Winklepicker279	6
116	MyNameIsJobo	6
116	RobotMinion101	6
116	Skomo	6
116	groofles	6
116	_flud	6
116	Racengan	6
116	Moss_2006	6
116	_i_ERROR_i_	6
116	TheRealHi	6
130	dudcreeper	5
130	Eraxa	5
132	powercas_gamer	4
132	bigstankyy	4
132	ZaneABrain	4
132	Scathra	4
132	F_Uhre	4
132	IamCL4SSY	4
132	DarlaMeow	4
132	voiding_	4
132	MrShojo	4
132	FishisTTV	4
142	hm947	3
142	T045RTY	3
142	heckface	3
142	Crowman1	3
142	fallingemma	3
142	zToasty69z	3
142	claivin	3
142	Swiffin	3
142	xzvu	3
142	hermmm_	3
142	Quotary	3
153	diamondgolem35	2
153	ImpavidArcher	2
153	Zippyzam	2
153	SyntheticSurgeon	2
153	Ssor69	2
153	_Dean_123	2
153	4774	2
153	eiC_	2
153	WET_WET_WET	2
153	Skylord_Luke	2
153	ApophisNova	2
153	FishyBoy3811	2
153	lizardfightclub	2
153	Lord_Jord	2
153	Karbl	2
153	SingedBread	2
153	IvarEXE	2
153	Kyrum2169	2
153	Pumpkin_P_Patch	2
153	__tomato	2
153	Dogcorn69420	2
153	le4ves	2
153	Aryamanee	2
153	MyNamaSheff	2
153	diggydog67	2
178	Cowison	1
178	BPTY4618	1
178	soundad	1
178	_darky1_	1
178	robertsnose	1
178	EMC_	1
178	Paleshield	1
178	royal_2	1
178	Frxnkz	1
178	Sleepy_Evelyn	1
178	BobDeBouwer1337	1
178	mattybeewrapss	1
178	12Magner05	1
178	Nach0Bear	1
178	mwrty	1
178	lorpus	1
178	ROY4LE	1
178	aidez	1
178	XeroByMyth	1
178	ougstur	1
178	stuy9	1
178	AlphaWolfPlaysMC	1
178	ese_wn_po	1
178	EveryonesUncle	1
178	Deathkob	1
178	emreknugrlu	1
178	Katthaj	1
178	ebanana	1
178	_Karmaa	1
178	NameGenerat0r	1
178	QueenShuvi	1
178	Buuck_	1
178	FiguraDei	1
178	Cocoamallows	1
178	Kura2218	1
178	Strangemonkey71	1
178	pixelviolin	1
178	c0la_c0ca	1
178	Vellu21	1
178	TheOuterCore	1
178	SilentKarma	1
