rank	username	minecraft:dropped/minecraft:stripped_spruce_wood
1	OneLessChromosom	122
2	H0UNDFRMH3LL	119
3	rarrq	41
4	PigDab	24
5	Secret_Canary	14
6	Enderxz3	9
7	beeperbeeper5	7
8	Segotep999	6
9	noam464	5
10	robertsnose	4
10	EMC_	4
10	kekhon	4
13	CloroxBleach385	2
13	DAD_1996	2
13	ApophisNova	2
13	HolyVenom	2
13	Rasmanden	2
13	JESS_THE_RERE	2
13	cuddlyMonster	2
13	MyNamaSheff	2
13	WYFYoyo	2
22	ImpavidArcher	1
22	Natty	1
22	Mahoose	1
22	Blackberry1310	1
22	Saucepeh	1
22	Tmb1	1
22	M_Patata	1
22	craaaash	1
22	Rebytre	1
22	Akoot_	1
22	Groundler	1
22	BreadBacon	1
22	KamFurnace	1
