rank	username	minecraft:dropped/minecraft:light_blue_stained_glass_pane
1	Hyp3rion_	350
2	TheTrueClipse	320
3	_Karmaa	192
4	Marbz_	148
5	lordpipe	144
6	Cowison	64
7	redikul	58
8	Chromary	50
9	TechnoNinja64	48
10	DarlaMeow	26
11	dabloons	24
11	PlasticOtari	24
13	Powowowow	20
14	masskedman	19
15	jcool7	18
16	fkGrim	17
17	Doom_melon	16
18	Smoke____	15
19	luseis	14
19	UrbanPlanningEx	14
21	jimintyy	12
21	little_dUki	12
23	Tyrannosplart	11
24	noam464	8
24	Blu3beast	8
26	eitanzaki	7
26	joethahobo	7
28	Lez_	6
28	rarrq	6
30	beeperbeeper5	5
30	TheSecondLord	5
30	Eraxa	5
33	Blaiku	3
33	YungMaki	3
35	T045RTY	2
35	ITDV	2
37	RebelAndroid	1
37	MinttyFressh	1
37	SteveCraftBlocks	1
37	2Stout	1
37	Hiryu27	1
37	geekbird	1
37	SammiWolfGirl	1
