rank	username	minecraft:dropped/minecraft:fishing_rod
1	Hyp3rion_	1257
2	Racengan	541
3	thewindmillman	532
4	EcksD	455
5	WyngGoy	246
6	Bumpy419	239
7	kekhon	204
8	Bandito_Roamer	165
9	Kyrum2169	118
10	himak1	109
11	Jackattack53	105
12	Ecplosive	93
13	pintsizedrogue	90
14	Nyxiom_	88
15	YungMaki	87
16	TheSeismicDuck	68
17	HellsSponge	65
18	__tomato	64
19	Skippeh	59
20	ayamefag	57
21	noam464	52
22	hanaryheatwave	46
23	Lez_	43
24	Myszoaz	42
25	Noah_Bez	39
26	TheSecondLord	37
27	Blu3beast	36
28	aec9	33
29	ediballbearings	31
30	lillips	30
31	rarrq	28
32	Hoshi	27
33	Mewar	26
33	Akoot_	26
35	Segotep999	25
36	beeperbeeper5	24
36	mawileite	24
38	AdmiralSmoke	23
39	Werbe	21
40	RebelAndroid	20
40	FreakGenius	20
42	k_ce	19
42	Mahoose	19
44	ImpavidArcher	17
44	MyNameIsJobo	17
44	SvenskaAlvar	17
47	selectrix	16
47	Fildyr	16
49	eitanzaki	15
49	Blackberry1310	15
49	_Nuf	15
49	Kkanot	15
49	mimbo1211	15
49	wezzzi	15
49	masskedman	15
49	SvenskaHugo	15
57	Froste131	14
57	lordpipe	14
59	Fullut	13
59	Tyrannosplart	13
59	Blaiku	13
62	PlasticOtari	12
63	Arceus1975	11
63	EveryonesUncle	11
63	StarCookiees_	11
63	Powowowow	11
67	Mr_Byzantine	10
67	luseis	10
69	Minimize501	9
69	mwrty	9
69	Donutt	9
69	Xclax101	9
69	_AAZAR	9
74	KingFaenor	8
74	Tiberonus	8
74	Megarboh	8
74	ooga47	8
74	QueenShuvi	8
74	MovingFish7	8
74	TechnoNinja64	8
74	Jimb0nat0r	8
82	r123moore	7
82	Paintz	7
82	WET_WET_WET	7
82	F_Uhre	7
86	Wooptey	6
86	H72l9w	6
86	cadethesloth	6
86	catandmoose	6
86	SteveCraftBlocks	6
86	Smashic	6
86	LilyNova	6
86	LordSpeed37	6
86	Eraxa	6
86	SammiWolfGirl	6
86	jcool7	6
86	Eczbek	6
86	Ezekson	6
99	seanitoo	5
99	PazinGaming	5
99	ImNotYuqii	5
99	SyntheticSurgeon	5
99	tramizu	5
99	Euclidoris	5
99	excelsionprime	5
99	xxPipperDipperxx	5
99	yheece	5
99	Chromary	5
99	Hoid_the_Roamer	5
99	RobotMinion101	5
99	Mattesco	5
99	LilLizardWizard	5
99	JESS_THE_RERE	5
99	wwwwinnebagoooo	5
99	monky_irl	5
99	stavgod	5
99	PortlyPete69	5
118	_Virify_	4
118	Apollo_993	4
118	dabloons	4
118	Frozil20	4
118	livingdaydreams	4
118	T045RTY	4
118	Batman922	4
118	Alteriity	4
118	Swalt	4
118	Saucepeh	4
118	ProfessorBee	4
118	SvenskaSara	4
118	Skylord_Luke	4
118	ApophisNova	4
118	CJPerson	4
118	censorsheep	4
118	fluddd	4
118	ElectricDragon81	4
118	MineMaster0012	4
118	UCP_TheKingK	4
118	Spenduh	4
118	Luigipunch989	4
118	MrTentacles2169	4
118	Kubeusz2010	4
118	ConnorDanky_	4
118	MyNamaSheff	4
118	MrMeisterProper	4
145	maxdacatv2	3
145	ECstardust	3
145	Firecracker320	3
145	Flores991	3
145	Furiuosbeast0404	3
145	jimintyy	3
