rank	username	minecraft:dropped/minecraft:golden_leggings
1	Hyp3rion_	151
2	thewindmillman	118
3	StinkyDiplomat	65
4	Segotep999	35
5	Fullut	30
6	Spacewardharpy7	29
7	joethahobo	25
7	Blaiku	25
9	PigDab	24
9	EveryonesUncle	24
11	Blackberry1310	23
11	Kowcio_	23
13	TheSecondLord	22
14	noam464	21
14	lordpipe	21
14	Ezekson	21
17	Kakolbus	19
17	lillips	19
19	Lez_	18
20	HellsSponge	16
21	Di_infiri	15
21	Zythose	15
21	Akoot_	15
21	FreakGenius	15
21	YungMaki	15
21	AdmiralSmoke	15
27	beeperbeeper5	14
27	NomadicRobin_	14
27	non089	14
30	Mahoose	13
30	kekhon	13
30	Deerfoot	13
33	ImpavidArcher	12
33	eitanzaki	12
33	MAns_44	12
33	mihimihimihi	12
33	Eraxa	12
38	EMC_	11
38	RebelAndroid	11
38	excelsionprime	11
38	thescout7	11
38	eviltunix	11
38	Jackattack53	11
38	Racengan	11
38	Skippeh	11
38	Enderxz3	11
47	Cowison	10
47	rarrq	10
47	djancak	10
50	q_wq	9
50	pixelviolin	9
50	Steelynan	9
53	Frozil20	8
53	livingdaydreams	8
53	ShedJr_	8
53	Historical_Sand	8
53	ProfessorDiaper	8
53	Iamthejo	8
59	Ryker	7
59	Werbe	7
59	aec9	7
59	luseis	7
59	censorsheep	7
64	Groovy_MoonBird	6
64	CoffeeNoir	6
64	gcaisawesome	6
64	Winklepicker279	6
64	jnp_gaming	6
64	PlasticOtari	6
70	k_ce	5
70	Sleek_Storm_721	5
70	I_Am_Mushkin	5
70	jushykins	5
70	12Magner05	5
70	Secret_Canary	5
70	slkiey	5
70	Smashic	5
70	Awyrlas	5
70	yheece	5
70	Snowflowe	5
70	Mattesco	5
70	fw3xy74	5
70	LeonelSalamanca	5
70	_Bguette_	5
70	Tyrannosplart	5
70	Fildyr	5
70	SkateboardR6	5
70	Kura2218	5
70	fffMike	5
70	RadarHz	5
70	HesDemonPants	5
70	00000000-0000-0000-0009-01ff0c3e5e4f	5
93	Wooptey	4
93	fr0stss	4
93	SquadMonster	4
93	Kkanot	4
93	Kamflame10	4
93	mwrty	4
93	platinumzero	4
93	jewbacaman	4
93	Wowful	4
93	Lord_Zacler	4
93	Manaateee	4
93	_Karmaa	4
93	Cyntrical	4
93	THEKINGLyric10	4
93	Hisiste	4
93	Kijiki	4
93	_i_ERROR_i_	4
93	Njensen7	4
93	Hermanni__	4
93	cichy096	4
93	Jimb0nat0r	4
114	NatalieTW	3
114	Tommhh	3
114	BlancoFlaco	3
114	NinjaKnifeKill	3
114	cheerytomato	3
114	Crowman1	3
114	poopybh	3
114	500am	3
114	Nach0Bear	3
114	r123moore	3
114	TheDankPlatypus	3
114	M_Patata	3
114	fr_ser	3
114	Nope______	3
114	Arceus1975	3
114	burbankbuilder28	3
114	DaviusMaximoose	3
114	Rebytre	3
114	AlexxO_o	3
114	Lord_Jord	3
114	ogoa	3
114	ebanana	3
114	Dakar_	3
114	NameGenerat0r	3
114	El_Jalapeno	3
114	Xclax101	3
114	Groundler	3
114	Barlycorn	3
114	_Meow_Mix	3
114	monky_irl	3
114	sheherhers	3
114	Spenduh	3
114	SpacesickPrism	3
114	NATE_the_HALO	3
114	Kubeusz2010	3
114	Nicserso	3
114	2blox_	3
114	h2p_emrld	3
152	MunkaKris	2
152	H0UNDFRMH3LL	2
152	Jovaphobic	2
152	_Virify_	2
152	CLG_Kata	2
152	PhantomsGhost_	2
152	RoskobiOne	2
152	dimondking777	2
152	SmashingPump	2
152	teslawolf38	2
152	diamondgolem35	2
152	Hyugo	2
152	Hpdinosaur	2
152	Flores991	2
152	tuckerdoodle	2
152	T045RTY	2
152	Alteriity	2
152	MrKrabOnCoke	2
152	Da_Boss_Rani	2
152	titanlax	2
152	ratglock	2
152	NasdaqCrash	2
152	Nicky_H225	2
