rank	username	minecraft:dropped/minecraft:blue_glazed_terracotta
1	noam464	579
2	Hyp3rion_	576
3	thescout7	241
4	Di_infiri	217
5	r123moore	157
6	joethahobo	57
7	Krowuss	44
8	QuiCreans	43
9	Jackattack53	33
10	skitzxo	25
11	Soplight	19
12	Steelynan	15
13	2Stout	13
14	Werbe	11
15	Merv__	8
16	Inchef	5
17	Mahoose	4
17	beeperbeeper5	4
19	thewindmillman	3
19	EcksD	3
21	lordpipe	2
22	ProbablyNick	1
22	teslawolf38	1
22	Frozil20	1
22	eitanzaki	1
22	rarrq	1
22	TheSecondLord	1
22	Fullut	1
22	bbquakes	1
22	__Fanda__	1
22	THEKINGLyric10	1
22	YungMaki	1
22	jnp_gaming	1
