rank	username	minecraft:dropped/minecraft:yellow_stained_glass
1	lillips	209
2	beeperbeeper5	194
3	EcksD	152
4	lordpipe	128
5	Touched_Bread	69
6	AlexxO_o	64
7	thewindmillman	18
8	JEWISHBadenBeele	13
9	Hyp3rion_	12
10	TheSecondLord	11
10	Freak_Genius	11
12	KingMatthew506	9
13	oxfordschool	8
14	Frozil20	7
14	El_Jalapeno	7
14	Kowcio_	7
14	Dogcorn69420	7
14	EcksDofficial	7
19	SaucyDark	6
20	SullyhS	5
21	CliffEmAll	4
21	MattieHD	4
23	RodSerlingCringe	3
23	TechnoNinja64	3
25	thescout7	2
25	Inchef	2
25	Jackattack53	2
25	RobotMinion101	2
25	groofles	2
25	Blaiku	2
25	Groundler	2
25	Zoeyfortnite	2
33	pintsizedrogue	1
33	Werbe	1
33	Soap_Bender	1
33	Xclax101	1
33	Spenduh	1
