rank	username	minecraft:dropped/minecraft:mushroom_stew
1	Werbe	45
2	Smoke____	38
3	Mahoose	36
4	Blackberry1310	22
5	lilsay	12
5	mimbo1211	12
7	joethahobo	9
8	Ardennes	8
8	marumochis	8
10	Fast_Turtle	6
11	WET_WET_WET	5
11	Akoot_	5
13	AuroraSkies	4
14	PhantomsGhost_	3
14	dopplexd	3
14	500am	3
14	xxPipperDipperxx	3
14	F_22_	3
14	babyjimmyneutron	3
14	APS_Dan	3
14	kinas45y5	3
14	WYFYoyo	3
23	dudcreeper	2
23	KomputerDude	2
23	Fullut	2
23	fred870d	2
23	claivin	2
23	Frozil12	2
23	Eraxa	2
23	Luigipunch989	2
23	HAruSAme14	2
23	TechnoNinja64	2
23	Sral7	2
23	Freedrik	2
35	m_be9	1
35	kekhon	1
35	SteveCraftBlocks	1
35	Inchef	1
35	Kubelz	1
35	Arceus1975	1
35	Jiminie	1
35	censorsheep	1
35	fluddd	1
35	lordpipe	1
35	ediballbearings	1
35	CalebDHawk	1
35	KingMatthew506	1
35	anbbang	1
35	Ezekson	1
35	smogfrog	1
35	Kiki_Majiki	1
