rank	username	minecraft:dropped/minecraft:diamond_pickaxe
1	FreakGenius	331
2	EcksD	329
3	Di_infiri	234
4	eitanzaki	221
5	Hyp3rion_	163
6	Werbe	144
7	kekhon	137
8	Akoot_	113
9	mimbo1211	109
10	lordpipe	95
11	gcaisawesome	94
12	ImpavidArcher	83
13	TheShyPig	73
14	thescout7	70
15	KingMatthew506	68
16	T045RTY	63
17	Blaiku	62
18	TechnoNinja64	61
19	Spacewardharpy7	60
19	ConnorDanky_	60
21	Groundler	59
22	Blu3beast	56
23	noam464	53
24	SoosAmongus	52
25	Smashic	51
26	joethahobo	45
27	xzvu	44
28	HellsSponge	42
28	skrongus	42
30	mwrty	40
30	Corbsman	40
30	Hermanni__	40
33	Iamthejo	39
34	Groovy_MoonBird	38
35	SammiWolfGirl	37
36	Lord_Jord	36
36	AdmiralSmoke	36
38	AlexxO_o	35
39	ROY4LE	34
40	gaziter10	32
40	MyNameIsJobo	32
40	Hiryu27	32
40	Racengan	32
44	6king6colt6	30
44	rarrq	30
46	monky_irl	29
47	ShedJr_	28
47	himak1	28
49	Merv__	27
50	Blackberry1310	26
50	Comma__	26
50	WET_WET_WET	26
50	Kura2218	26
54	Maenara	25
54	Ezekson	25
56	Saucepeh	24
56	cedric72	24
56	WyngGoy	24
56	__tomato	24
60	yheece	23
60	Jackattack53	23
60	GravitySaint	23
60	PortlyPete69	23
64	itburb	22
64	xxPipperDipperxx	22
64	Sral7	22
67	I_Am_Mushkin	21
67	PlasticOtari	21
69	titanlax	20
69	Zoeyfortnite	20
71	Mahoose	19
71	Whiterooster001	19
71	12Magner05	19
71	XboxPanda	19
71	ApophisNova	19
71	OfficerAnvil	19
71	MyNamaSheff	19
71	h2p_emrld	19
79	SellyZ	18
79	PigDab	18
79	Warlord324	18
79	YungMaki	18
79	djancak	18
84	KarlKaek	17
84	Ecplosive	17
84	Arceus1975	17
84	Inbefour	17
84	Fuad_R	17
84	stavgod	17
84	_i_ERROR_i_	17
84	jcool7	17
84	Steelynan	17
84	jnp_gaming	17
94	Bandito_Roamer	16
94	SaucyDark	16
94	Bumpy419	16
94	Xclax101	16
94	Cyntrical	16
94	cog	16
94	lcvezra	16
94	SpacesickPrism	16
102	PhantomsGhost_	15
102	boog4loo	15
102	Rebytre	15
102	DJenthousiast	15
102	PaperCanvas	15
102	EveryonesUncle	15
102	luseis	15
102	Deathkob	15
102	Tyrannosplart	15
102	The_slideV3	15
102	_Karmaa	15
102	Kowcio_	15
102	Kyrum2169	15
102	Spenduh	15
102	_3Stump_	15
102	cichy096	15
102	FelixPSY375	15
119	NatalieTW	14
119	Franco093	14
119	TheSecondLord	14
119	SuperPooch06	14
119	NameGenerat0r	14
119	censorsheep	14
119	anbbang	14
126	Cowison	13
126	RebelAndroid	13
126	SpaceGrenadier	13
126	beeperbeeper5	13
126	Windo_licker	13
126	Zythose	13
126	IamCL4SSY	13
126	fluddd	13
126	AltnumberF4	13
126	Teebone15	13
136	pintsizedrogue	12
136	Frozil20	12
136	Sleepy_Time_	12
136	ImDisconnected_	12
136	OverallConcept	12
136	El_Jalapeno	12
136	MakeHistory157	12
136	UCP_TheKingK	12
136	SSytex_X	12
136	Nicserso	12
136	Enderxz3	12
136	vandmanden	12
148	PazinGaming	11
148	AuroraValkyrie	11
148	bigstankyy	11
148	ColeSnyder	11
148	Jonafrog99	11
148	Snowflowe	11
148	pappaberg	11
148	TheWildMateo	11
148	The_Cruncy	11
148	F_Uhre	11
148	Dakar_	11
148	ATurtle4936	11
148	pixelviolin	11
148	Jimb0nat0r	11
148	The_SlideV5	11
163	H0UNDFRMH3LL	10
163	DinoDoctor_	10
163	Batman922	10
163	H72l9w	10
163	_Dean_123	10
163	Fullut	10
163	hcb238	10
163	Queen_Jalapeno	10
163	Luminad3	10
163	NomadicRobin_	10
163	TheDumbHuman	10
163	Sheldor097	10
163	Njensen7	10
163	laron58	10
163	Skippeh	10
163	Powowowow	10
163	00000000-0000-0000-0009-01ff0c3e5e4f	10
180	hm947	9
180	Incinere	9
180	MoistMicrowave	9
180	jessewegottacook	9
180	ccwildfire1	9
180	bmac2718	9
180	bloodbiter	9
180	TheThomas69	9
180	ProfessorBee	9
180	UncreativeArtist	9
180	Awyrlas	9
180	Kakolbus	9
180	mariominejedi	9
180	CaptainDeadBread	9
180	Moofyman	9
180	TJawesome09	9
180	masskedman	9
180	Meatlaugh	9
180	Nycteus_	9
180	the__Reaper4999	9
180	Vorlice	9
180	SvenskaHugo	9
180	stellarjay	9
180	LeeMcGee30	9
204	seanitoo	8
204	Hpdinosaur	8
204	lotarp	8
204	Euclidoris	8
204	MattieHD	8
204	set67	8
204	Scathra	8
204	eviltunix	8
204	Lil_Breadboy	8
204	hanaryheatwave	8
204	King_Pancake1	8
204	Skylord_Luke	8
204	Voxin2K	8
204	kubinek69	8
204	Lord_Zacler	8
204	Deodorante	8
204	_Bguette_	8
204	ebanana	8
204	DarlaMeow	8
204	Shogunite	8
204	Deerfoot	8
204	BigCronkin	8
204	RedcatVII	8
204	tlustyCZARNY	8
204	Toriankel	8
204	ElKaySVK	8
204	SexcMf	8
204	Strangemonkey71	8
204	_Tilariel_	8
204	yatsuta	8
204	LeEricc	8
204	infiniteQuery	8
204	Kferno	8
204	MrMeisterProper	8
238	TheBiggestFeller	7
238	k_ce	7
238	_Huge_Male_	7
238	Deu_Stew	7
238	dudcreeper	7
238	hollowww	7
238	TheMilkerOfCats	7
238	Ryan_GEMS	7
238	Allchemy	7
238	YairZaki	7
238	peach0s	7
238	tsohomie	7
238	ITDV	7
238	FirsTimeGamingTV	7
238	Auseawesome	7
238	jushykins	7
238	_Nuf	7
238	Pineapplesugr	7
238	Inchef	7
238	Mewar	7
238	CollinMH06	7
238	oscminus	7
238	Sharkbyte0	7
238	LeGold	7
238	thgrocks	7
238	lizardfightclub	7
238	Jimi7hits	7
238	Elastiq	7
238	yulgur1	7
238	NYJ	7
238	claivin	7
238	StinkyDiplomat	7
238	MightyWertu	7
238	33sudo	7
238	Eraxa	7
238	_Mythic____	7
238	brofrickcheaters	7
238	ediballbearings	7
238	Luigipunch989	7
238	TrollerYT	7
238	Empresario	7
238	JayToe	7
280	SmashingPump	6
280	Alteriity	6
280	CoffeeNoir	6
280	Myszoaz	6
280	chlorinex	6
280	heckface	6
280	TinMaster	6
280	roxycherry	6
280	Rich_Kat	6
280	Jakobo1337	6
280	StanceTB	6
280	500am	6
280	_lildarki3	6
280	Masssonnn	6
280	jedi_george	6
280	burbankbuilder28	6
280	RyuNeko932000	6
280	CrateOfBoxes	6
280	Kouridragon	6
280	sxc_	6
280	TheTrueClipse	6
