rank	username	minecraft:dropped/minecraft:mossy_stone_bricks
1	kekhon	258
2	Skylord_Luke	145
3	AssFullaCum	142
4	Racengan	141
5	chipklip	140
6	Freak_Genius	100
7	TheSecondLord	65
8	impossibleteapot	64
8	Eraxa	64
10	The_Quack_Dealer	59
11	eitanzaki	58
12	noam464	47
13	thewindmillman	40
13	UCP_TheKingK	40
15	Akoot_	37
16	Blu3beast	32
17	Di_infiri	30
18	Rich_Kat	27
18	LotusProject	27
18	alderban107	27
21	Bandito_Roamer	25
22	YungMaki	21
23	Fullut	15
24	Jackattack53	14
25	rarrq	12
25	M_Patata	12
25	HellsSponge	12
25	Spacewardharpy7	12
25	MasterNueve	12
30	SaucyDark	10
30	Blaiku	10
32	beeperbeeper5	9
32	Snowflowe	9
32	burbankbuilder28	9
32	Bumpy419	9
36	Comma__	8
36	_TCARREIRA_	8
38	Zaridey	7
38	Wowful	7
38	Enderslayerxz3	7
41	mwrty	6
41	Shogunite	6
43	Merv__	5
43	Inchef	5
43	Frozil12	5
43	krutas2000	5
47	ThePoliteG	4
47	Werbe	4
47	FallenCorps	4
50	T045RTY	3
50	eiC_	3
50	Ecplosive	3
50	SuperPooch06	3
50	Donutt	3
50	Voxin2K	3
50	claivin	3
50	monky_irl	3
50	SvenskaHugo	3
59	bigstankyy	2
59	CoffeeNoir	2
59	Swalt	2
59	Sleepy_Time_	2
59	Marbz_	2
59	Rumpletaezer	2
59	Nickitoe	2
59	Kouridragon	2
59	LilLizardWizard	2
59	wezzzi	2
59	TheSeismicDuck	2
59	Toiton	2
59	Xclax101	2
59	Segotep999	2
59	ProbsNotNova	2
59	jcool7	2
59	SirBreadward	2
59	Legendosh	2
59	MeetTheWollo	2
59	UrbanPlanner1978	2
59	PlasticOtari	2
59	trexgb	2
59	diggydog67	2
82	pintsizedrogue	1
82	nataliecool	1
82	PhantomsGhost_	1
82	Harotio	1
82	ImpavidArcher	1
82	Jahara	1
82	youhjjhhhjj	1
82	lotarp	1
82	Mahoose	1
82	MSK__	1
82	MrKrabOnCoke	1
82	Swexti	1
82	urbeans	1
82	titanlax	1
82	Enigma0251	1
82	set67	1
82	thescout7	1
82	fade_emerge78823	1
82	intropass	1
82	hcb238	1
82	Kakolbus	1
82	WET_WET_WET	1
82	Hyp3rion_	1
82	kars0n	1
82	fred870d	1
82	Kynigito	1
82	cedric72	1
82	jewbacaman	1
82	Kim_Jong_eel	1
82	RodSerlingCringe	1
82	ChrisKyleST3	1
82	AlphaWolfPlaysMC	1
82	natajimi	1
82	QueenShuvi	1
82	Dusk_95	1
82	obzii	1
82	Moetis	1
82	mawileite	1
82	Njensen7	1
82	Ezekson	1
82	EcksD	1
82	Oxygen16	1
82	TheRealHi	1
82	Smoke____	1
