rank	username	minecraft:dropped/minecraft:ladder
1	thewindmillman	15752
2	Hyp3rion_	1007
3	Toriankel	405
4	rarrq	391
5	AdmiralSmoke	373
6	lordpipe	286
7	beeperbeeper5	226
8	zToasty69z	192
9	pintsizedrogue	188
10	noam464	184
11	FreakGenius	159
12	Racengan	150
13	Soplight	122
14	E775	120
15	Jackattack53	111
16	Segotep999	108
17	Kferno	104
18	Paint	90
19	Di_infiri	88
20	YungMaki	86
21	Nicserso	79
22	SmashingPump	78
22	Skylord_Luke	78
22	Groundler	78
22	alderban107	78
26	fluddd	77
27	HellsSponge	76
28	Blackberry1310	75
28	skrongus	75
30	Aezekial	69
31	Z3braYTIL	68
31	PortlyPete69	68
33	LexMakesHistory	64
34	xxPipperDipperxx	63
34	Corbsman	63
36	RedcatVII	62
36	cichy096	62
36	TechnoNinja64	62
39	Xclax101	60
39	Enderxz3	60
41	kekhon	58
42	Moofyman	57
42	Kowcio_	57
44	lotarp	56
44	Kubeusz2010	56
46	Mr_Worthless	54
46	k_ce	54
48	Skippeh	53
49	tsohomie	52
50	Kakolbus	51
50	Rebytre	51
50	RaahLowe	51
53	MustaLoordi	49
54	SteveCraftBlocks	48
54	Kynigito	48
56	eviltunix	47
57	Uzbeki_John	46
57	AnnieBathory	46
59	Groovy_MoonBird	45
59	Auseawesome	45
61	Miroryk	43
62	benediktine1	42
63	Ryan_GEMS	39
63	Werbe	39
63	lillips	39
66	Historical_Sand	38
67	ProfessorBee	36
67	TheEnderMan548	36
67	SSytex_X	36
70	SaucyDark	35
71	Blaiku	33
72	Kkanot	32
72	Inchef	32
72	gcaisawesome	32
75	Mookle96	30
75	FreddyFart	30
77	Shiirazu	29
77	Katthaj	29
79	KingMatthew506	28
80	CliffEmAll	27
80	mwrty	27
80	The_slideV3	27
80	Blu3beast	27
80	SUN_DREAM	27
85	Gryglu583	26
86	Mahoose	25
86	DermeinUser	25
86	Nycteus_	25
89	Healthing	24
89	lunathelemon	24
89	himak1	24
89	PeteO1995	24
89	LeonelSalamanca	24
89	Tyrannosplart	24
95	Hiryu27	23
95	Voxin2K	23
95	Cocoamallows	23
95	SvenskaHugo	23
95	FGamerJ	23
100	Tommhh	21
100	boog4loo	21
100	ROY4LE	21
103	_Virify_	20
103	EMC_	20
103	Mattesco	20
103	Soap_Bender	20
103	Spacewardharpy7	20
108	eitanzaki	19
109	ImpavidArcher	18
109	Arceus1975	18
109	skelctal	18
109	parodypatient	18
109	_TCARREIRA_	18
114	EveryonesUncle	17
114	luseis	17
116	XboxPanda	16
116	Chromary	16
116	LeGold	16
116	AlphaWolfPlaysMC	16
116	UCP_TheKingK	16
116	MrMeisterProper	16
116	LiquidFenrir	16
123	Frozil20	15
123	Lez_	15
123	KingEgg1	15
123	CaptainDeadBread	15
123	NomadicRobin_	15
123	EcksD	15
129	crying_wolf_13	14
129	Afinnity	14
129	WyngGoy	14
