rank	username	minecraft:dropped/minecraft:ladder
1	thewindmillman	15752
2	Hyp3rion_	1007
3	Toriankel	405
4	rarrq	391
5	AdmiralSmoke	373
6	lordpipe	286
7	beeperbeeper5	226
8	zToasty69z	192
9	pintsizedrogue	188
10	noam464	184
11	FreakGenius	159
12	Racengan	150
13	Soplight	122
14	E775	120
15	Jackattack53	111
16	Segotep999	108
17	Kferno	104
18	Paint	90
19	Di_infiri	88
20	YungMaki	86
21	Nicserso	79
22	SmashingPump	78
22	Skylord_Luke	78
22	Groundler	78
22	alderban107	78
26	fluddd	77
27	HellsSponge	76
28	Blackberry1310	75
28	skrongus	75
30	Aezekial	69
31	Z3braYTIL	68
31	PortlyPete69	68
33	k_ce	64
33	LexMakesHistory	64
35	xxPipperDipperxx	63
35	Corbsman	63
37	RedcatVII	62
37	cichy096	62
37	TechnoNinja64	62
40	Xclax101	60
40	Enderxz3	60
42	kekhon	58
43	Moofyman	57
43	Kowcio_	57
45	lotarp	56
45	Kubeusz2010	56
47	Mr_Worthless	54
48	Skippeh	53
49	tsohomie	52
50	Kakolbus	51
50	Rebytre	51
50	RaahLowe	51
53	MustaLoordi	49
54	SteveCraftBlocks	48
54	Kynigito	48
56	eviltunix	47
57	Uzbeki_John	46
57	AnnieBathory	46
59	Groovy_MoonBird	45
59	Auseawesome	45
61	Miroryk	43
62	benediktine1	42
63	Ryan_GEMS	39
63	Werbe	39
63	lillips	39
66	Historical_Sand	38
67	ProfessorBee	36
67	TheEnderMan548	36
67	SSytex_X	36
70	SaucyDark	35
71	Blaiku	33
72	Kkanot	32
72	Inchef	32
72	gcaisawesome	32
72	pixelviolin	32
76	Mookle96	30
76	FreddyFart	30
78	Shiirazu	29
78	Katthaj	29
80	KingMatthew506	28
81	CliffEmAll	27
81	mwrty	27
81	The_slideV3	27
81	Blu3beast	27
81	SUN_DREAM	27
86	Gryglu583	26
87	Mahoose	25
87	DermeinUser	25
87	Nycteus_	25
90	Healthing	24
90	lunathelemon	24
90	himak1	24
90	PeteO1995	24
90	LeonelSalamanca	24
90	Tyrannosplart	24
96	Hiryu27	23
96	Voxin2K	23
96	Cocoamallows	23
96	SvenskaHugo	23
96	FGamerJ	23
101	Tommhh	21
101	boog4loo	21
101	ROY4LE	21
104	_Virify_	20
104	EMC_	20
104	Mattesco	20
104	Soap_Bender	20
104	Spacewardharpy7	20
109	eitanzaki	19
110	ImpavidArcher	18
110	Arceus1975	18
110	skelctal	18
110	parodypatient	18
110	_TCARREIRA_	18
115	EveryonesUncle	17
115	luseis	17
117	XboxPanda	16
117	Chromary	16
117	LeGold	16
117	AlphaWolfPlaysMC	16
117	StarCookiees_	16
117	UCP_TheKingK	16
117	MrMeisterProper	16
117	LiquidFenrir	16
125	Frozil20	15
125	Lez_	15
125	KingEgg1	15
125	CaptainDeadBread	15
125	NomadicRobin_	15
125	EcksD	15
131	crying_wolf_13	14
