rank	username	minecraft:dropped/minecraft:trident
1	thewindmillman	1152
2	eitanzaki	108
3	Hyp3rion_	75
4	Ezekson	52
5	kekhon	51
6	T045RTY	49
6	Akoot_	49
8	ImpavidArcher	40
9	YungMaki	37
10	rarrq	36
11	Mahoose	28
11	EcksD	28
13	Merv__	25
14	noam464	23
14	stahouo	23
16	Awyrlas	20
16	Di_infiri	20
16	ProbsNotNova	20
19	WarHammer3	19
19	Blackberry1310	19
19	Skippeh	19
22	Groovy_MoonBird	18
23	Frozil20	17
23	Chromary	17
23	Werbe	17
23	_Bguette_	17
27	Soplight	16
28	Fullut	15
28	Rebytre	15
28	ApophisNova	15
28	MyNamaSheff	15
32	Blaiku	14
33	pappaberg	13
33	Blu3beast	13
33	fluddd	13
36	Smoke____	12
37	beeperbeeper5	11
37	Jackattack53	11
37	chipklip	11
37	Steelynan	11
41	thescout7	10
41	NameGenerat0r	10
43	itburb	9
43	12Magner05	9
43	Eraxa	9
43	jcool7	9
43	TechnoNinja64	9
48	titanlax	8
48	Hiryu27	8
48	Fuad_R	8
51	mwrty	7
51	Bumpy419	7
51	Freak_Genius	7
51	BlankityMcBlank	7
51	obzii	7
51	oxfordschool	7
57	SaucyDark	6
57	joethahobo	6
57	Auseawesome	6
57	fw3xywashere	6
57	DarlaMeow	6
57	El_Jalapeno	6
57	Eczbek	6
57	alderban107	6
57	PlasticOtari	6
57	kinas45y5	6
57	00000000-0000-0000-0009-01f898304150	6
68	6king6colt6	5
68	hm947	5
68	XboxPanda	5
68	Zythose	5
68	censorsheep	5
68	MightyWertu	5
68	Groundler	5
68	Kowcio_	5
68	Enderslayerxz3	5
68	Sral7	5
78	pintsizedrogue	4
78	DinoDoctor_	4
78	_Dean_123	4
78	egglapras	4
78	emrekn	4
78	xxPipperDipperxx	4
78	TheDankPlatypus	4
78	WET_WET_WET	4
78	LeGold	4
78	AlexxO_o	4
78	groofles	4
78	Maenara	4
78	NomadicRobin_	4
78	YungWali	4
