rank	username	minecraft:dropped/minecraft:leather_helmet
1	oscminus	122
2	thewindmillman	50
3	beeperbeeper5	45
4	excelsionprime	42
5	StinkyDiplomat	40
6	Spacewardharpy7	37
7	Smashic	35
8	Hyp3rion_	31
9	masskedman	30
10	joethahobo	29
10	gcaisawesome	29
10	ConnorDanky_	29
13	lordpipe	24
14	Kowcio_	23
15	pintsizedrogue	20
15	eitanzaki	20
15	Mahoose	20
18	_Virify_	19
19	Blackberry1310	18
19	PigDab	18
19	EcksD	18
22	sp00ky_ghost977	17
22	Ezekson	17
22	Yamdalorian	17
25	noam464	15
25	Manaateee	15
25	FreakGenius	15
25	Quotary	15
29	Di_infiri	14
29	Zythose	14
31	Lez_	13
31	rarrq	13
31	TheSecondLord	13
31	MattieHD	13
31	Kakolbus	13
31	YungMaki	13
31	Kyrum2169	13
38	EMC_	12
38	luseis	12
38	Xclax101	12
38	geekbird	12
42	Fullut	10
42	Jackattack53	10
42	Werbe	10
45	Cowison	9
45	RebelAndroid	9
45	Akoot_	9
45	NomadicRobin_	9
45	Hisiste	9
45	Segotep999	9
45	non089	9
52	q_wq	8
52	Winklepicker279	8
52	El_Jalapeno	8
52	pixelviolin	8
52	Soplight	8
52	skitzxo	8
58	CoffeeNoir	7
58	kekhon	7
58	crashomon	7
58	Snowflowe	7
58	EveryonesUncle	7
58	GravitySaint	7
58	Enderxz3	7
65	RebytreGT	6
65	LilLizardWizard	6
65	EdGalbraith	6
65	Tyrannosplart	6
65	HellsSponge	6
65	Fildyr	6
65	SkateboardR6	6
65	Steelynan	6
65	Skippeh	6
65	jnp_gaming	6
65	PlasticOtari	6
76	Frozil20	5
76	I_Am_Mushkin	5
76	Killercatty78	5
76	fr0stss	5
76	Kkanot	5
76	Arceus1975	5
76	Skylord_Luke	5
76	selectrix	5
76	Mattesco	5
76	MAns_44	5
76	pretty_pink_reno	5
76	Blaiku	5
76	Druid95	5
76	_i_ERROR_i_	5
76	Iamthejo	5
76	HesDemonPants	5
76	Jimb0nat0r	5
93	T045RTY	4
93	lorywithay	4
93	Huwulling	4
93	bloodbiter	4
93	12Magner05	4
93	FishyBoy3811	4
93	Gryglu583	4
93	Deerfoot	4
93	censorsheep	4
93	monky_irl	4
93	Eraxa	4
93	djancak	4
93	KingMatthew506	4
93	Legendosh	4
107	MunkaKris	3
107	Merv__	3
107	shineh10	3
107	ImpavidArcher	3
107	SyntheticSurgeon	3
107	ShedJr_	3
107	cheerytomato	3
107	BobDeBouwer1337	3
107	corvidpartyfor6	3
107	500am	3
107	G1ldor	3
107	Kamflame	3
107	himak1	3
107	xxPipperDipperxx	3
107	Touched_Bread	3
107	XboxPanda	3
107	M_Patata	3
107	bl1ss0	3
107	CollinMH06	3
107	whoaluv	3
107	Krowuss	3
107	Galactic_Badger	3
107	F_Uhre	3
107	AlexxO_o	3
107	PuFY	3
107	IamCL4SSY	3
107	wezzzi	3
107	TheSeismicDuck	3
107	NameGenerat0r	3
107	MangoSalad316	3
107	kalzor	3
107	MightyWertu	3
107	wwwwinnebagoooo	3
107	mihimihimihi	3
107	MasterNueve	3
107	SvenskaHugo	3
107	Pumpkin_P_Patch	3
107	xzvu	3
107	NATE_the_HALO	3
107	mawileite	3
107	Njensen7	3
107	Kubeusz2010	3
107	DairyNickel756	3
107	Sral7	3
151	Groovy_MoonBird	2
151	k_ce	2
151	MuffinManzz	2
151	NatalieTW	2
151	soundad	2
151	ECstardust	2
151	Niklas20114552	2
151	Sleek_Storm_721	2
151	KarlKaek	2
151	xXTheWolfmanXx	2
151	myaccountwasgone	2
151	BlancoFlaco	2
151	Hpdinosaur	2
151	_Razaria	2
151	Ryker	2
151	Franco093	2
151	SOA1RR	2
151	Prismyst	2
151	Myszoaz	2
151	Historical_Sand	2
151	gaziter10	2
151	SquadMonster	2
