rank	username	minecraft:dropped/minecraft:potato
1	noam464	61830
2	thewindmillman	51146
3	Blaiku	25918
4	HellsSponge	16773
5	thescout7	16009
6	jnp_gaming	12451
7	joethahobo	12054
8	eitanzaki	10674
9	sp00ky_ghost977	9094
10	Freak_Genius	8344
11	Werbe	7527
12	Di_infiri	7108
13	MightyWertu	6640
14	YungMaki	6606
15	Blu3beast	4941
16	Soplight	4558
17	TechnoNinja64	3650
18	Spacewardharpy7	3598
19	kekhon	2523
20	CoffeeNoir	2489
21	Lord_Jord	2378
22	eviltunix	2183
23	benediktine1	2126
24	Bumpy419	1960
25	lordpipe	1928
26	Smoke____	1866
27	TheSeismicDuck	1828
28	youhjjhhhjj	1779
29	pintsizedrogue	1703
30	Iagoku	1670
31	JESS_THE_RERE	1526
32	mariominejedi	1473
33	Mahoose	1419
34	emrekn	1372
35	mwrty	1260
36	The_slideV3	1192
37	_Virify_	1083
38	lillips	989
39	audiocracked	936
40	WinterYoke	833
41	djancak	817
42	Powowowow	787
43	slkiey	783
44	Merv__	727
45	bloodbiter	712
46	Bucscw24	664
46	jcool7	664
48	Snowflowe	639
49	Sky_light_KING	636
50	PhantomsGhost_	606
51	beeperbeeper5	570
52	GingerNeutron	545
53	EcksD	530
54	Racengan	509
55	livingdaydreams	476
55	Rumpletaezer	476
57	Zoeyfortnite	460
58	TooManyDuck	447
59	Kubeusz2010	412
60	ChampPog_	398
60	John6970	398
62	eiC_	390
63	SvenskaHugo	384
64	Akoot_	365
65	Blackberry1310	358
65	PigDab	358
67	Yahrto	338
68	Mercadies	325
69	kinas45y5	319
70	Hyp3rion_	317
71	I_Am_Mushkin	313
72	Onennon	304
73	Fullut	300
74	Tolhart	292
75	ivorico	280
76	Smashic	273
77	T045RTY	270
78	jushykins	262
78	lcvezra	262
80	BoraMC	260
81	vandmanden	259
82	Faart	257
83	dudcreeper	256
84	IforgotCS_Source	236
85	__tomato	227
86	fred870d	224
87	EveryonesUncle	222
88	stavgod	221
89	Dan_Scha	216
90	Fast_Turtle	212
91	bigstankyy	208
92	oxfordschool	204
93	Xclax101	203
93	Kateesaur	203
95	theonlymagikarp	200
95	Hiryu27	200
97	cichy096	196
98	ItsColin11	184
99	Frozil12	182
99	Njensen7	182
101	LordAurum	176
102	diggydog67	168
103	Mariopreeet	167
104	chipklip	165
105	MunkaKris	164
106	MineMaster0012	163
107	rarrq	161
107	Sheldor097	161
109	Quotary	160
110	ewsophie	148
111	Jiminbub	147
112	_stets	146
113	FishisTTV	145
114	Xalithia	144
115	fallingemma	141
115	ToastedGamingYT	141
117	Russiancat1	139
118	Steelynan	131
119	fluddd	130
120	Karbl	129
120	BreadBacon	129
122	ColeSnyder	128
122	Zythose	128
122	Joestra	128
125	TheSecondLord	127
126	Frxnkz	126
126	loveseeker	126
128	heysushii	125
129	KarlKaek	123
129	Ezekson	123
131	DarlaMeow	121
