rank	username	minecraft:dropped/minecraft:wet_sponge
1	thewindmillman	1238
2	MightyWertu	541
3	EcksD	404
4	AuroraValkyrie	391
5	Blaiku	292
6	T045RTY	155
7	Ezekson	148
8	Di_infiri	139
9	YungMaki	136
10	Snowflowe	114
11	eitanzaki	91
12	Blu3beast	81
13	claivin	69
14	SammiWolfGirl	67
15	Powowowow	61
16	FishisTTV	59
17	TheSecondLord	53
18	Bumpy419	52
18	Inbefour	52
18	CalebDHawk	52
21	Jackattack53	47
22	Maenara	46
23	Lord_Jord	40
23	obzii	40
25	noam464	39
26	oxfordschool	38
27	Zoeyfortnite	37
28	Drawgirll	35
29	himak1	34
29	gcaisawesome	34
29	Dogcorn69420	34
32	rarrq	30
33	BumbleBeever	27
34	djancak	26
34	Enderslayerxz3	26
36	beeperbeeper5	25
36	Skomo	25
38	NomadicRobin_	22
39	Groundler	19
40	Nicky_H225	17
40	DarkS0L	17
42	joethahobo	16
42	Flapjacker687	16
42	HellsSponge	16
45	Fullut	15
45	Racengan	15
47	eviltunix	14
48	jcool7	12
49	Marbz_	11
49	Chromary	11
51	pintsizedrogue	10
51	Spenduh	10
53	MattieHD	9
53	Deodorante	9
53	NameGenerat0r	9
53	TechnoNinja64	9
57	diamondgolem35	8
57	xxPipperDipperxx	8
57	WET_WET_WET	8
60	kekhon	7
60	sandmire	7
62	Mahoose	6
62	Nicserso	6
64	Notta	4
64	PigDab	4
66	seramalen	3
66	TheTrueClipse	3
66	chipklip	3
69	SaucyDark	2
69	Rasmanden	2
69	RodSerlingCringe	2
69	_Karmaa	2
69	Freak_Genius	2
69	Frozil12	2
69	Warlord324	2
69	monky_irl	2
69	fffMike	2
69	MeetTheWollo	2
79	Blackberry1310	1
79	500am	1
79	Karetoko	1
79	Werbe	1
79	Onennon	1
79	Jonte0599	1
79	Hail_the_wombat	1
79	lizardfightclub	1
79	DarlaMeow	1
79	QueenShuvi	1
79	AssEatrAndLicker	1
79	DarkLawD	1
79	MakeHistory157	1
79	PortlyPete69	1
79	KingMatthew506	1
