rank	username	minecraft:dropped/minecraft:horn_coral_fan
1	Enderxz3	24
2	FreddyFart	22
3	thewindmillman	21
4	Maenara	19
5	Onennon	17
6	HellsSponge	16
7	noam464	12
8	groofles	9
9	eitanzaki	8
9	Blaiku	8
11	500am	7
11	Di_infiri	7
13	Lez_	6
13	Jackattack53	6
13	domagawha	6
13	binman420	6
17	Arceus1975	5
17	Kynigito	5
19	ProfessorBee	4
19	Fuad_R	4
21	bloodbiter	3
21	Xclax101	3
21	Spacewardharpy7	3
24	T045RTY	2
24	tsohomie	2
24	Hyp3rion_	2
24	gusstationwerker	2
28	Jovaphobic	1
28	pintsizedrogue	1
28	dudcreeper	1
28	tuckerdoodle	1
28	CoffeeNoir	1
28	Ssor69	1
28	TheSecondLord	1
28	Comma__	1
28	Inchef	1
28	TheShyPig	1
28	Eerini	1
28	ZA07	1
28	Lekol	1
28	FreakGenius	1
28	MightyWertu	1
28	SkateboardR6	1
28	Dusk_95	1
28	Kowcio_	1
28	Ir0npack	1
28	bladeefan2009	1
