rank	username	minecraft:dropped/minecraft:blue_carpet
1	EcksD	4610
2	Xclax101	967
3	Mr_Worthless	288
4	beeperbeeper5	252
5	Spacewardharpy7	190
6	YungMaki	177
7	noam464	142
8	Jackattack53	123
9	Smoke____	102
10	Segotep999	65
11	Diavri	64
12	MattieHD	42
13	Lez_	36
14	bloodbiter	35
15	fullyrawfuzz	32
15	KingMatthew506	32
17	Dali1465	21
18	NotTrixi	19
19	fw3xywashere	18
20	eitanzaki	17
20	_Karmaa	17
22	Njensen7	16
22	oxfordschool	16
24	Zoeyfortnite	11
25	Kubeusz2010	10
25	PlasticOtari	10
27	Werbe	8
27	Legendosh	8
29	MakeHistory157	6
30	Drlzyy	5
31	heckface	4
31	SteveCraftBlocks	4
31	M_Patata	4
31	Rumpletaezer	4
31	Maenara	4
31	lordpipe	4
31	MasterNueve	4
31	Kyrum2169	4
31	stahouo	4
31	lcvezra	4
41	TheSecondLord	3
41	SuperPooch06	3
41	layabout100	3
41	SSytex_X	3
41	GlitchyPlate810	3
46	EMC_	2
46	diamondgolem35	2
46	ImpavidArcher	2
46	Mahoose	2
46	joethahobo	2
46	Smashic	2
46	thescout7	2
46	Di_infiri	2
46	HellsSponge	2
46	Blaiku	2
46	Eraxa	2
57	pintsizedrogue	1
57	Frozil20	1
57	NieToksikpl	1
57	Kazekage	1
57	NotKaden_	1
57	Hyp3rion_	1
57	wTXop	1
57	Mattesco	1
57	cedric72	1
57	jcool7	1
57	cichy096	1
57	TechnoNinja64	1
57	camando92	1
