rank	username	minecraft:dropped/minecraft:brain_coral_fan
1	500am	136
2	eitanzaki	43
3	Spacewardharpy7	26
4	Maenara	20
5	pintsizedrogue	14
6	thewindmillman	13
6	Onennon	13
8	noam464	12
9	Quaintster	11
10	Kynigito	9
11	Blaiku	8
12	Arceus1975	7
13	Di_infiri	6
13	censorsheep	6
15	SokaOtaku	5
15	Enderslayerxz3	5
17	T045RTY	4
17	domagawha	4
17	PigDab	4
17	MilleGrug	4
21	bloodbiter	3
21	groofles	3
21	Jiminbub	3
21	FishisTTV	3
25	HellsSponge	2
25	Frozil12	2
27	dudcreeper	1
27	diamondgolem35	1
27	tuckerdoodle	1
27	crying_wolf_13	1
27	CollinMH06	1
27	SkateboardR6	1
27	Dusk_95	1
27	KingMatthew506	1
27	laron58	1
27	Nicserso	1
