rank	username	minecraft:dropped/minecraft:netherite_scrap
1	EcksD	7210
2	NomadicRobin_	184
3	AuroraValkyrie	70
4	kekhon	49
5	fade_emerge78823	45
5	Freak_Genius	45
7	mwrty	18
7	WET_WET_WET	18
9	Racengan	15
10	bigstankyy	14
11	HAIRYCLOUD626	11
12	pumpfonzo	10
12	lillips	10
14	Fullut	9
14	set67	9
14	King_Pancake1	9
17	joethahobo	8
17	GlitchyPlate810	8
19	Chromary	6
19	LAVA129	6
19	ToastedGamingYT	6
19	djancak	6
19	Smoke____	6
24	M_Patata	5
24	Hyp3rion_	5
24	EveryonesUncle	5
24	MasterNueve	5
24	Spenduh	5
29	eitanzaki	4
29	Inchef	4
29	fred870d	4
32	EMC_	3
32	Myszoaz	3
32	ROY4LE	3
32	noam464	3
32	mimbo1211	3
32	gustarbite	3
32	MyNameIsDakar	3
32	SkateboardR6	3
32	AssFullaCum	3
32	Erased_Identity	3
32	PlasticOtari	3
43	itburb	2
43	NinjaKnifeKill	2
43	Historical_Sand	2
43	CheesyToess	2
43	Rebytre	2
43	AlexxO_o	2
43	masskedman	2
43	Eraxa	2
43	microcrisp	2
52	Menthas	1
52	Sleek_Storm_721	1
52	Wooptey	1
52	T045RTY	1
52	NieToksikpl	1
52	TheSecondLord	1
52	jacxhadow	1
52	Nicky_H225	1
52	r123moore	1
52	TheDankPlatypus	1
52	thewindmillman	1
52	Moofyman	1
52	Fuad_R	1
52	Hisiste	1
52	Kowcio_	1
52	MineMaster0012	1
52	stahouo	1
52	Kubeusz2010	1
52	VentiHilton	1
52	AltnumberF4	1
52	MeetTheWollo	1
52	YoshikageBites	1
