rank	username	minecraft:dropped/minecraft:purpur_pillar
1	masskedman	181
2	PhantomsGhost_	168
3	yulgur1	131
4	jnp_gaming	125
5	PigDab	120
6	noam464	111
7	eitanzaki	110
8	FreakGenius	109
9	fkGrim	108
10	YungMaki	92
11	Blaiku	80
12	lordpipe	73
13	Maenara	66
13	ConnorDanky_	66
15	Dogcorn69420	65
16	Mewar	64
16	lillips	64
16	xzvu	64
19	6king6colt6	60
20	gcaisawesome	54
21	EveryonesUncle	52
22	beeperbeeper5	50
22	Awyrlas	50
24	MustaLoordi	47
25	Historical_Sand	42
25	WET_WET_WET	42
27	Onennon	41
28	vandmanden	39
29	Fullut	36
30	Di_infiri	33
31	Iagoku	32
31	Covalents	32
33	yheece	31
34	HellsSponge	30
35	NameGenerat0r	29
36	surfinggiraffejp	28
36	Akoot_	28
38	Jackattack53	27
39	Groundler	25
39	Hisiste	25
41	Blu3beast	24
42	Bumpy419	23
42	Xclax101	23
42	MilleGrug	23
45	Hpdinosaur	22
45	Deodorante	22
47	thewindmillman	20
47	Zythose	20
49	Ryan_GEMS	19
49	mwrty	19
49	_TCARREIRA_	19
52	tartanboy	17
52	Ezekson	17
54	DTwenty	14
54	SvenskaHugo	14
56	TheSecondLord	12
57	Lepthymo	11
57	T045RTY	11
57	Secret_Canary	11
57	thescout7	11
61	audiocracked	10
61	2blox_	10
63	fw3xy74	9
63	LazySupport00	9
63	lcvezra	9
66	Comma__	8
66	LilyNova	8
66	AuroraSkies	8
66	PlasticOtari	8
70	EMC_	7
70	Rumpletaezer	7
70	oscminus	7
70	_Karmaa	7
70	claivin	7
70	MakeHistory157	7
70	Kowcio_	7
70	skrongus	7
70	FishisTTV	7
79	jushykins	6
79	kekhon	6
79	TheShyPig	6
79	Chuglyfe	6
79	Skippeh	6
79	Sral7	6
85	TooManyDuck	5
85	RebelAndroid	5
85	Rich_Kat	5
85	Rasmanden	5
85	TheTrueClipse	5
85	Racengan	5
85	CalebDHawk	5
92	q_wq	4
92	__TheNorseMan__	4
92	pappaberg	4
92	lizardfightclub	4
92	Cocoamallows	4
92	Segotep999	4
92	PortlyPete69	4
92	striker90333	4
100	Myszoaz	3
100	SellyZ	3
100	LeonelSalamanca	3
100	Inbefour	3
100	Physics_Breaker	3
105	_Razaria	2
105	500am	2
105	set67	2
105	lorpus	2
105	Marbz_	2
105	Hyp3rion_	2
105	MustardDrinker	2
105	ApophisNova	2
105	AlexxO_o	2
105	SvenskaAlvar	2
105	FishyBoy3811	2
105	Quaintster	2
105	501g	2
105	SkateboardR6	2
105	Kura2218	2
105	Spenduh	2
105	Hermanni__	2
105	EcksD	2
105	Quotary	2
105	MyNamaSheff	2
105	Nicserso	2
105	Enderxz3	2
127	Apollo_993	1
127	BodaciousCake	1
127	Huwulling	1
127	IcyUzi	1
127	_lildarki3	1
127	Inchef	1
127	Noah_Bez	1
127	CollinMH06	1
127	LeGold	1
127	ougstur	1
127	DarkS0L	1
127	Tyrannosplart	1
127	Karbl	1
127	Manaateee	1
127	1442	1
127	geekbird	1
127	izzybearh	1
127	WyngGoy	1
127	OG_Songsee	1
127	LeEricc	1
127	stellarjay	1
