rank	username	minecraft:dropped/minecraft:spruce_sapling
1	Spacewardharpy7	9542
2	eitanzaki	7348
3	Hyp3rion_	5611
4	noam464	5391
5	thewindmillman	2304
6	Di_infiri	1993
7	Smoke____	1814
8	set67	474
9	beeperbeeper5	421
10	TechnoNinja64	353
11	gcaisawesome	340
12	Historical_Sand	325
13	Blaiku	317
14	MyNameIsJobo	293
15	rarrq	279
16	Blackberry1310	256
17	SteveCraftBlocks	251
18	Akoot_	250
19	HesDemonPants	201
20	El_Jalapeno	192
21	Freak_Genius	184
22	kekhon	182
23	Fizznut909	172
24	_Dean_123	171
25	Ezekson	169
26	Incinere	162
27	EveryonesUncle	161
28	lcvezra	153
29	SvenskaHugo	152
29	YungMaki	152
31	BlancoFlaco	136
32	MixerDixer	128
32	dartwaffle	128
34	Eraxa	121
35	EfficientC52	120
36	Bumpy419	119
37	Werbe	108
38	redikul	98
39	Snowflowe	92
40	RebelAndroid	89
41	pintsizedrogue	88
42	500am	87
42	EcksDofficial	87
44	Sky_light_KING	85
45	Quotary	82
46	oxfordschool	79
46	EcksD	79
48	Fullut	75
49	HellsSponge	74
50	TheMilkerOfCats	73
50	Kowcio_	73
50	anbbang	73
53	PhantomsGhost_	66
53	wobn	66
55	Lord_Jord	65
56	Winklepicker279	64
56	regulator75	64
58	VentiHilton	63
59	SuperPooch06	61
59	stahouo	61
61	Meatlaugh	59
62	Skylord_Luke	56
62	SkateboardR6	56
64	Frozil12	52
65	Jovaphobic	48
65	Bandito_Roamer	48
65	chlorinex	48
68	alderban107	47
69	Racengan	45
70	Chromary	44
70	chipklip	44
72	Merv__	42
73	PigDab	41
74	wrinkledpiglet	38
75	Kyrum2169	37
76	XboxPanda	35
76	lordpipe	35
78	Zythose	31
78	Rebytre	31
78	SammiWolfGirl	31
81	Rumpletaezer	30
81	pixelviolin	30
83	Jackattack53	29
84	seanitoo	28
85	TheThomas69	27
86	Xclax101	26
86	FGamerJ	26
88	_Razar	25
89	Kuragari_	24
89	Malorn_Aetherius	24
89	RodSerlingCringe	24
89	ayamefag	24
89	kyouma777	24
94	Covalents	23
94	CalebDHawk	23
96	fkGrim	22
96	KG1999	22
96	Skippeh	22
99	Masssonnn	21
99	Inchef	21
99	CheifJumbo	21
102	Arceus1975	20
102	pappaberg	20
102	Roikdean	20
102	Steelynan	20
106	EMC_	19
106	Mahoose	19
106	TheSecondLord	19
106	natajimi	19
106	MustaLoordi	19
106	sp00ky_ghost977	19
112	soundad	18
112	Xalithia	18
112	thgrocks	18
112	Cocoamallows	18
116	H72l9w	17
116	BlueZabu	17
116	Shiirazuku	17
116	Blu3beast	17
116	UrbanPlanner1978	17
121	eiC_	16
121	SokaOtaku	16
121	Joestra	16
121	Ragnar2105	16
121	Groundler	16
121	Soffbord	16
121	Nicserso	16
128	diamondgolem35	15
128	ratglock	15
128	SDMNAEK	15
128	Comma__	15
128	12Magner05	15
128	IceYoung	15
128	epiksk8erduck	15
128	ese_wn_po	15
136	numbra	14
136	joethahobo	14
136	ptweezy	14
136	Jiminie	14
136	GoofyBread	14
141	Paint	13
141	Swexti	13
141	xxPipperDipperxx	13
