rank	username	minecraft:dropped/minecraft:crying_obsidian
1	noam464	22844
2	thewindmillman	7695
3	eitanzaki	3798
4	Blaiku	2081
5	PigDab	284
6	Di_infiri	246
7	lillips	229
8	wwwwinnebagoooo	192
9	gcaisawesome	152
10	Jackattack53	146
11	Mahoose	133
12	lordpipe	128
13	DScatgirls	111
14	KG1999	87
15	beeperbeeper5	79
16	Fullut	67
16	alderban107	67
18	joethahobo	66
19	r123moore	65
20	Eraxa	61
21	EcksD	49
22	Hyp3rion_	44
23	Racengan	40
24	Spacewardharpy7	26
25	fred870d	23
26	Winklepicker279	19
27	Menthas	17
27	T045RTY	17
27	oxfordschool	17
30	mwrty	16
31	Blackberry1310	14
31	Frozil12	14
33	lotarp	13
34	Sleek_Storm_721	12
35	AuroraSkies	9
36	teslawolf38	8
37	pintsizedrogue	7
37	djancak	7
39	Freak_Genius	6
39	Miko_Fullbuster	6
41	SammiWolfGirl	5
42	kekhon	4
42	trixterrx	4
42	Segotep999	4
42	PlasticOtari	4
46	12Magner05	3
46	500am	3
46	monky_irl	3
46	Optiprimus	3
46	Legendosh	3
51	Dedalus36	2
51	_Razar	2
51	Historical_Sand	2
51	BobDeBouwer1337	2
51	NomadicRobin_	2
51	Airem_Core	2
51	GlitchyPlate810	2
51	MilleGrug	2
51	Smoke____	2
60	_Virify_	1
60	tramizu	1
60	TheSecondLord	1
60	Rebytre	1
60	Nycteus_	1
60	DeGodz4life	1
60	Hisiste	1
60	_Ruzeeq_	1
60	IvarEXE	1
60	jnp_gaming	1
60	YoshikageBites	1
