rank	username	minecraft:dropped/minecraft:crying_obsidian
1	noam464	22844
2	thewindmillman	7075
3	eitanzaki	3798
4	Blaiku	2081
5	PigDab	284
6	Di_infiri	246
7	lillips	229
8	wwwwinnebagoooo	192
9	gcaisawesome	152
10	Jackattack53	146
11	Mahoose	133
12	lordpipe	128
13	DScatgirls	111
14	KG1999	87
15	beeperbeeper5	79
16	Fullut	67
16	alderban107	67
18	joethahobo	66
19	r123moore	65
20	Eraxa	61
21	EcksD	49
22	Racengan	40
23	Spacewardharpy7	26
24	fred870d	23
25	Winklepicker279	19
26	Menthas	17
26	T045RTY	17
26	oxfordschool	17
29	mwrty	16
30	Blackberry1310	14
30	Frozil12	14
32	lotarp	13
33	Sleek_Storm_721	12
34	AuroraSkies	9
35	teslawolf38	8
36	pintsizedrogue	7
36	djancak	7
38	Freak_Genius	6
38	Miko_Fullbuster	6
40	SammiWolfGirl	5
41	kekhon	4
41	trixterrx	4
41	PlasticOtari	4
44	12Magner05	3
44	500am	3
44	monky_irl	3
44	Optiprimus	3
44	Segotep999	3
44	Legendosh	3
50	Dedalus36	2
50	_Razar	2
50	Historical_Sand	2
50	BobDeBouwer1337	2
50	NomadicRobin_	2
50	Airem_Core	2
50	GlitchyPlate810	2
50	MilleGrug	2
50	Smoke____	2
59	_Virify_	1
59	tramizu	1
59	TheSecondLord	1
59	Hyp3rion_	1
59	Rebytre	1
59	Nycteus_	1
59	DeGodz4life	1
59	Hisiste	1
59	_Ruzeeq_	1
59	IvarEXE	1
59	jnp_gaming	1
59	YoshikageBites	1
