rank	username	minecraft:dropped/minecraft:quartz_stairs
1	Hyp3rion_	25270
2	Jackattack53	13213
3	noam464	8326
4	eitanzaki	287
5	Blaiku	274
6	_Mythic____	133
7	Akoot_	129
8	lordpipe	122
9	Manaateee	105
10	EcksD	99
11	Sleek_Storm_721	62
11	Blu3beast	62
13	lillips	60
14	I_Am_Mushkin	48
15	KingEgg1	40
16	rarrq	33
17	Blackberry1310	27
18	Crowman1	24
19	Tyrannosplart	23
20	Merv__	22
20	beeperbeeper5	22
22	ROY4LE	21
22	FreakGenius	21
24	Lez_	19
25	Eraxa	18
25	Soplight	18
27	xolstoi	17
28	TheSecondLord	16
29	ApophisNova	15
29	MyNamaSheff	15
31	Zythose	14
32	Trixididntdie	12
32	JayToe	12
32	AdmiralSmoke	12
35	xxPipperDipperxx	11
35	Di_infiri	11
35	hanaryheatwave	11
35	xzvu	11
39	dartwaffle	10
39	mihimihimihi	10
41	Leyna3	9
42	Groundler	8
42	SkateboardR6	8
42	MovingFish7	8
42	TheTommyGun63	8
42	__tomato	8
42	_i_ERROR_i_	8
48	Kowcio_	7
48	KamFurnace	7
50	NomadicRobin_	6
51	Badenbeele	5
51	Alteriity	5
51	Skippeh	5
54	_Huge_Male_	4
54	joethahobo	4
54	_Nuf	4
54	set67	4
54	Skylord_Luke	4
54	Fuad_R	4
54	_Karmaa	4
54	Sheldor097	4
54	CattSoup	4
54	jnp_gaming	4
54	skrongus	4
65	Krowuss	3
65	oscminus	3
65	TheWildMateo	3
65	Onennon	3
65	fkGrim	3
65	claivin	3
65	Xclax101	3
65	Quotary	3
73	SquadMonster	2
73	Whiterooster001	2
73	ratglock	2
73	kekhon	2
73	Jonafrog99	2
73	Chromary	2
73	Lord_Jord	2
73	EveryonesUncle	2
73	Optiprimus	2
73	Kyrum2169	2
83	teslawolf38	1
83	Frozil20	1
83	diamondgolem35	1
83	Sabby65	1
83	Wooptey	1
83	Swexti	1
83	12Magner05	1
83	eclipseboi	1
83	SteveCraftBlocks	1
83	500am	1
83	SuperPooch06	1
83	burbankbuilder28	1
83	UMosDiesIrae	1
83	Truckoss	1
83	AlexxO_o	1
83	Hahaa_0	1
83	marumochis	1
83	Barlycorn	1
83	MakeHistory157	1
83	OG_Songsee	1
83	SexcMf	1
83	Kura2218	1
83	SSytex_X	1
83	jcool7	1
83	VentiHilton	1
83	Enderxz3	1
83	Jimb0nat0r	1
83	Sral7	1
