rank	username	minecraft:dropped/minecraft:blue_bed
1	mwrty	66
2	Blu3beast	64
3	EMC_	22
4	Skippeh	10
5	Blaiku	9
6	fw3xywashere	5
6	JESS_THE_RERE	5
8	The_slideV3	4
8	RadarHz	4
10	Xalithia	3
10	Xclax101	3
12	Merv__	2
12	Frozil20	2
12	eitanzaki	2
12	_Nuf	2
12	Paintz	2
12	GOOBERGABE04	2
12	HellsSponge	2
12	OffWithTheirHead	2
20	H0UNDFRMH3LL	1
20	SmashingPump	1
20	T045RTY	1
20	beeperbeeper5	1
20	TheSecondLord	1
20	m_be9	1
20	benediktine1	1
20	thewindmillman	1
20	Vetral1	1
20	Rasmanden	1
20	JoeSaysBingBong	1
20	Russiancat1	1
20	fkGrim	1
20	Deathkob	1
20	_Bguette_	1
20	DarlaMeow	1
20	Lifedy	1
20	Shogunite	1
20	weabis	1
20	fluddd	1
20	Racengan	1
20	Spacewardharpy7	1
20	MakeHistory157	1
20	YungMaki	1
20	brofrickcheaters	1
20	Juh1s	1
20	Dogcorn69420	1
20	ConnorDanky_	1
20	FallenCorps	1
20	momis24	1
20	Kateesaur	1
20	diggydog67	1
