rank	username	minecraft:dropped/minecraft:diamond_shovel
1	FreakGenius	92
2	kekhon	72
3	eitanzaki	69
3	Akoot_	69
5	Di_infiri	65
6	gcaisawesome	53
7	Hyp3rion_	47
8	Werbe	46
9	noam464	33
9	EcksD	33
11	Blu3beast	27
11	TechnoNinja64	27
13	T045RTY	24
14	Blaiku	22
15	thescout7	20
15	groofles	20
15	Racengan	20
18	mimbo1211	19
18	xzvu	19
20	PigDab	18
20	lordpipe	18
22	Groundler	17
22	jnp_gaming	17
24	rarrq	16
24	Fuad_R	16
24	Hermanni__	16
24	ConnorDanky_	16
28	Blackberry1310	15
28	gusstationwerker	15
30	mwrty	14
30	sheherhers	14
30	YungMaki	14
30	bladeefan2009	14
34	Groovy_MoonBird	13
34	himak1	13
34	WET_WET_WET	13
34	cog	13
34	Spacewardharpy7	13
34	Smoke____	13
40	TheWildMateo	12
40	HellsSponge	12
40	__tomato	12
43	bigstankyy	11
43	Maenara	11
43	PortlyPete69	11
43	SpacesickPrism	11
47	Merv__	10
47	LeDuctTape	10
47	CoffeeNoir	10
47	beeperbeeper5	10
47	titanlax	10
47	TheSecondLord	10
47	cedric72	10
54	I_Am_Mushkin	9
54	joethahobo	9
54	ApophisNova	9
54	NameGenerat0r	9
54	fluddd	9
54	stavgod	9
54	Soplight	9
54	MyNamaSheff	9
62	F_Uhre	8
62	TheShyPig	8
62	Eraxa	8
62	UCP_TheKingK	8
62	fffMike	8
67	PhantomsGhost_	7
67	PazinGaming	7
67	ImpavidArcher	7
67	ThiccExotic	7
67	xxPipperDipperxx	7
67	SaintJosie	7
67	Lord_Jord	7
67	EveryonesUncle	7
67	MakeHistory157	7
67	TheEnderMan548	7
67	Kowcio_	7
67	Iamthejo	7
67	cichy096	7
80	Mahoose	6
80	MattieHD	6
80	TheThomas69	6
80	XboxPanda	6
80	gabriels543	6
80	MyNameIsJobo	6
80	Snowflowe	6
80	Gryglu583	6
80	ayamefag	6
89	diamondgolem35	5
89	BlancoFlaco	5
89	Euclidoris	5
89	Fullut	5
89	RIPB0ZO	5
89	SuperPooch06	5
89	k1ngGilgamesh	5
89	RobotMinion101	5
89	FreddyFart	5
89	masskedman	5
89	Syropatathe	5
89	luseis	5
89	Tyrannosplart	5
89	MyNameIsDakar	5
89	censorsheep	5
89	Toriankel	5
89	_Tilariel_	5
89	KingMatthew506	5
89	Kubeusz2010	5
89	OfficerAnvil	5
89	anbbang	5
89	Ezekson	5
89	Enderxz3	5
89	Powowowow	5
113	TheBiggestFeller	4
113	soundad	4
113	SaucyDark	4
113	the_fireminer	4
113	Franco093	4
113	oreee	4
113	Whiterooster001	4
113	Ssor69	4
113	Comma__	4
113	_Dean_123	4
113	emrekn	4
113	Kakolbus	4
113	Jackattack53	4
113	Queen_Jalapeno	4
113	thewindmillman	4
113	DaviusMaximoose	4
113	AnnieBathory	4
113	Bumpy419	4
113	Rebytre	4
113	CaptainDeadBread	4
113	The11thDoctor	4
113	Onennon	4
113	Mattesco	4
113	PuFY	4
113	lillips	4
113	The_slideV3	4
113	mafiKiwi	4
113	Xclax101	4
113	GravitySaint	4
113	RedcatVII	4
113	MovingFish7	4
113	ElKaySVK	4
113	monky_irl	4
113	djancak	4
113	SSytex_X	4
113	lcvezra	4
113	LeEricc	4
113	PlzNoBM	4
113	Dogcorn69420	4
113	Legendosh	4
113	HesDemonPants	4
113	Zoeyfortnite	4
155	NatalieTW	3
155	Mowelan	3
155	SmashingPump	3
155	6king6colt6	3
155	DinoDoctor_	3
155	Historical_Sand	3
155	gaziter10	3
155	SquadMonster	3
155	speenduhXD	3
155	Notta	3
155	UncreativeArtist	3
155	fallingemma	3
155	CollinMH06	3
155	whoaluv	3
155	Arceus1975	3
155	burbankbuilder28	3
155	impossibleteapot	3
155	Truckoss	3
155	timelyenigma	3
155	IsabellasOF	3
155	OverallConcept	3
155	DarlaMeow	3
155	_Karmaa	3
155	claivin	3
155	ewpunk	3
155	El_Jalapeno	3
155	Nycteus_	3
155	Cyntrical	3
155	MightyWertu	3
155	wwwwinnebagoooo	3
155	Warlord324	3
155	NotMeowMix	3
155	IAmTheWalrus910	3
155	sp00ky_ghost977	3
155	Kura2218	3
155	Strangemonkey71	3
155	Soul_Atreus	3
155	jcool7	3
155	little_dUki	3
155	AltnumberF4	3
155	vandmanden	3
155	Sral7	3
155	xolstoi	3
198	Bandito_Roamer	2
198	_Virify_	2
198	_Huge_Male_	2
198	MixerDixer	2
198	CadenSteele	2
198	AuroraValkyrie	2
198	teslawolf38	2
198	EMC_	2
198	Frozil20	2
198	Sleek_Storm_721	2
198	Ryker	2
198	DrogV2	2
198	AlazelTheReal	2
198	Myszoaz	2
198	stevewithclout	2
198	SpaceGrenadier	2
198	H72l9w	2
198	MrKrabOnCoke	2
198	nocturne78	2
198	ccwildfire1	2
198	ChosenBruh	2
198	jushykins	2
198	ThePoliteG	2
198	ProfessorBee	2
198	GingerNeutron	2
198	_Nuf	2
198	boog4loo	2
198	Scathra	2
198	Awyrlas	2
198	Xalithia	2
198	ROY4LE	2
198	Stiar	2
198	theonlymagikarp	2
198	walll	2
198	mariominejedi	2
198	legal_tax_evader	2
198	CarltheCuck	2
198	Rumpletaezer	2
198	wTXop	2
198	CrateOfBoxes	2
198	Hiryu27	2
198	DJenthousiast	2
198	Shiirazu	2
198	Huic_ostiarius	2
198	ClemenPine	2
198	ZA07	2
198	dezxalo	2
198	Rasmanden	2
198	IamCL4SSY	2
198	Nicky19	2
198	wezzzi	2
198	binman420	2
198	NomadicRobin_	2
198	Inbefour	2
198	NoChumpChange	2
198	Russiancat1	2
198	Deodorante	2
198	Deathkob	2
198	_Bguette_	2
198	Meatlaugh	2
198	Karbl	2
198	shrimp_flips	2
198	BigCronkin	2
198	Quaintster	2
198	BumbleBeever	2
198	LazySupport00	2
198	Factoroni	2
198	Leithz6	2
198	Mistruth	2
198	CheifJumbo	2
198	WyngGoy	2
198	layabout100	2
198	SexcMf	2
198	Majonezzon	2
198	ElectricDragon81	2
198	tonyth3tiger	2
198	pixelviolin	2
198	Kyrum2169	2
198	_TCARREIRA_	2
198	GlitchyPlate810	2
198	xof_on_microwave	2
198	LeeMcGee30	2
198	Steelynan	2
