rank	username	minecraft:dropped/minecraft:sculk
1	thewindmillman	7081
2	EMC_	1633
3	00000000-0000-0000-0009-01fe065167f0	1340
4	Archsam	949
5	Luminad3	455
6	Kowcio_	242
7	k_ce	179
8	Yamdalorian	172
9	ECstardust	162
10	Nicserso	133
11	myaccountwasgone	88
12	beeperbeeper5	85
13	Jackattack53	78
14	hanaryheatwave	74
15	Zee_zey	64
15	DinoDoctor_	64
15	joethahobo	64
15	Spacewardharpy7	64
15	Pumpkin_P_Patch	64
20	TheBananaKat	59
21	Lez_	49
22	Segotep999	43
23	AlexxO_o	40
24	SoosAmongus	38
24	YungMaki	38
26	eitanzaki	36
26	TheSecondLord	36
28	Apollo_993	29
29	Krowuss	27
30	Mattesco	25
30	luseis	25
32	MattieHD	23
33	12Magner05	21
34	Kakolbus	20
34	skitzxo	20
36	nattybears	18
37	Hyp3rion_	16
37	Enderxz3	16
39	Strats__	14
39	DairyNickel756	14
41	Soplight	12
42	powercas_gamer	10
42	11Brewer	10
44	SyntheticSurgeon	9
44	Sleepy_Time_	9
44	royal_2	9
44	Secret_Canary	9
44	FiguraDei	9
44	NATE_the_HALO	9
50	RebytreGT	8
50	oscminus	8
50	Manaateee	8
53	Alteriity	6
53	MrKrabOnCoke	6
53	Smashic	6
53	Mr_Sun15	6
53	lordpipe	6
53	KeterComet	6
59	excelsionprime	5
59	Fuad_R	5
59	pretty_pink_reno	5
62	Killercatty78	4
62	ScootOfBoot	4
62	EcksD	4
62	TheWickedBird	4
66	SmashingPump	3
66	shineh10	3
66	_witch_craft_	3
66	SvenskaHugo	3
66	00000000-0000-0000-0009-01ff0c3e5e4f	3
71	Da_Boss_Rani	2
71	rarrq	2
71	Juansinmiedo18	2
71	Iamthejo	2
75	pintsizedrogue	1
75	PazinGaming	1
75	Mahoose	1
75	MSK__	1
75	Jonafrog99	1
75	Wowful	1
75	emreknugrlu	1
75	TheKingK_	1
