rank	username	minecraft:dropped/minecraft:stone_axe
1	Blaiku	35
2	SteveCraftBlocks	30
3	gcaisawesome	25
3	noam464	25
5	stahouo	23
6	ClemenPine	21
7	eitanzaki	15
7	Kamflame10	15
7	PigDab	15
10	Bandito_Roamer	14
10	thescout7	14
10	himak1	14
13	Ryker	13
13	Hyp3rion_	13
15	intropass	12
15	Werbe	12
17	Mahoose	11
17	joethahobo	11
17	lcvezra	11
17	kinas45y5	11
21	_Virify_	10
21	Blackberry1310	10
23	Di_infiri	9
23	LordSpeed37	9
23	Smoke____	9
26	beeperbeeper5	8
26	Bucscw24	8
26	_Boipl_	8
26	ChocolatePepsi	8
30	JustAWill_	7
30	FishyBoy3811	7
30	ItsDeltaMC	7
33	TheSecondLord	6
33	Kkanot	6
33	Donutt	6
33	TTNG	6
33	spencersolberg	6
33	Babushka0430	6
33	Freak_Genius	6
40	Touched_Bread	5
40	M_Patata	5
40	Sky_light_KING	5
40	Jiminie	5
40	HellsSponge	5
40	_Karmaa	5
40	Frozil12	5
40	PlzNoBM	5
40	Nicserso	5
49	Groovy_MoonBird	4
49	ImpavidArcher	4
49	lotarp	4
49	spaece	4
49	Swalt	4
49	Ardennes	4
49	SpicyMeatballs	4
49	aa2x_	4
49	Austinizzle	4
49	Akoot_	4
49	420BreadLizard	4
49	Lord_Zacler	4
49	madderfall	4
49	Quaintster	4
49	Toriankel	4
49	Hisiste	4
49	sp00ky_ghost977	4
49	babyjimmyneutron	4
49	Drawgirll	4
49	KingMatthew506	4
49	FelixPSY375	4
49	mountaingirl311	4
49	CrazyPotater	4
72	Gary_	3
72	Drlzyy	3
72	Franco093	3
72	Seyaboy	3
72	CoffeeNoir	3
72	Swexti	3
72	Malorn_Aetherius	3
72	tortillatitan	3
72	Dnulgreb	3
72	MrExplorer	3
72	kekhon	3
72	emrekn	3
72	__TheNorseMan__	3
72	Matek_	3
72	Purplehere	3
72	Winklepicker279	3
72	thewindmillman	3
72	fred870d	3
72	Moofyman	3
72	brycepants	3
72	_Bguette_	3
72	PartyPhoenix	3
72	chipklip	3
72	MAns_44	3
72	El_Jalapeno	3
72	fluddd	3
72	Universz	3
72	Groundler	3
72	Warlord324	3
72	SkateboardR6	3
72	lordpipe	3
72	MasterNueve	3
72	Segotep999	3
72	__tomato	3
72	SSytex_X	3
72	SammiWolfGirl	3
72	Njensen7	3
72	oxfordschool	3
72	SirDodgyBob	3
72	jnp_gaming	3
72	UrbanPlanner1978	3
72	00000000-0000-0000-0009-01f16526f034	3
114	rats_life	2
114	SDW_Insanity	2
114	SyK7	2
114	PhantomsGhost_	2
114	Cowison	2
114	420joe	2
114	numbra	2
114	hm947	2
114	ivorico	2
114	Prismyst	2
114	ShedJr_	2
114	Myszoaz	2
114	Ssor69	2
114	rarrq	2
114	heckface	2
114	Rorrofighter	2
114	Comma__	2
114	_Nuf	2
114	Smashic	2
114	Gingayy	2
114	mwrty	2
114	Awyrlas	2
114	ROY4LE	2
114	VanJosh	2
114	eiC_	2
114	smarticuno	2
114	NotoriousNina	2
114	juuustpeachy	2
114	CaptainSteve345	2
114	ImDisconnected_	2
114	loveseeker	2
114	Jackattack53	2
114	AJplaysMC_	2
114	popcanter	2
114	WET_WET_WET	2
114	wTXop	2
114	Nyxiom_	2
114	l3x07	2
114	Fast_Turtle	2
114	pappaberg	2
114	regulator75	2
114	Bumpy419	2
114	selectrix	2
114	wrinkledpiglet	2
114	Jonte0599	2
114	fxiryglitch	2
114	HolyVenom	2
114	Jimi7hits	2
114	Lord_Jord	2
114	natajimi	2
114	Mister3z	2
114	avalan64	2
114	Shoutur1	2
114	jambvds	2
114	Jamstroxian	2
114	Blu3beast	2
114	Racengan	2
114	bluemage31	2
114	Vegvisir	2
114	NotMeowMix	2
114	Factoroni	2
114	somegirl12_	2
114	MineMaster0012	2
114	djancak	2
114	Soplight	2
114	_TCARREIRA_	2
114	PortlyPete69	2
114	obzii	2
114	Deguns123	2
114	Mintperson	2
114	DennyKai	2
114	Soffbord	2
114	Kferno	2
114	mobunni	2
114	Skippeh	2
114	EcksD	2
114	BreadBacon	2
114	RoboTramp7865	2
114	blackmage426	2
114	FGamerJ	2
114	Powowowow	2
114	trexgb	2
114	diggydog67	2
197	Lepthymo	1
197	Jovaphobic	1
197	Thaumatarge	1
197	Vryistal	1
197	Pyrrhocococo	1
197	Tobinator_007	1
197	Froste131	1
197	SkirmishMUDKIP	1
197	gizmo98	1
197	diminub	1
