rank	username	minecraft:dropped/minecraft:cobbled_deepslate_stairs
1	gcaisawesome	6308
2	AltnumberF4	127
3	Crowman1	97
4	MuffinManzz	70
5	500am	69
6	CattSoup	58
7	Sepulcro	51
8	dartwaffle	26
9	hm947	15
9	lordpipe	15
11	Smashic	7
12	UCP_TheKingK	5
12	00000000-0000-0000-0009-01ff0c3e5e4f	5
14	RebelAndroid	4
14	Huwulling	4
14	MrKrabOnCoke	4
14	fluddd	4
14	YungMaki	4
14	00000000-0000-0000-0009-01f898304150	4
20	Prismyst	3
20	Mattesco	3
22	jessewegottacook	2
22	Jackattack53	2
24	Mahoose	1
24	joethahobo	1
24	TheWildMateo	1
24	ATurtle4936	1
24	non089	1
