rank	username	minecraft:dropped/minecraft:bookshelf
1	500am	4036
2	Ezekson	967
3	TechnoNinja64	653
4	Lord_Jord	441
5	chipklip	409
6	Smoke____	354
7	binman420	342
8	thewindmillman	324
9	HellsSponge	247
10	Hyp3rion_	225
11	Racengan	156
12	PigDab	134
13	Werbe	129
14	pintsizedrogue	128
15	Akoot_	118
16	DarkDescent2392	111
17	kekhon	100
18	Mahoose	97
19	Steelynan	89
20	EcksDofficial	87
21	xxPipperDipperxx	82
22	Merv__	78
23	Di_infiri	72
24	Skylord_Luke	64
24	brofrickcheaters	64
24	MilleGrug	64
27	DarlaMeow	62
28	ImpavidArcher	59
29	thescout7	57
30	Jackattack53	55
31	Blaiku	51
32	SammiWolfGirl	48
33	Inchef	46
34	eitanzaki	44
35	WET_WET_WET	40
36	rarrq	38
37	Blu3beast	37
37	Segotep999	37
37	Hermanni__	37
40	Smashic	35
41	PhantomsGhost_	34
42	oxfordschool	29
43	Rebytre	28
44	Quincannon	27
45	Soap_Bender	23
46	burbankbuilder28	22
47	TheTrueClipse	21
48	SvenskaHugo	20
48	anbbang	20
50	jewbacaman	19
51	Fast_Turtle	18
51	FelixPSY375	18
53	Bumpy419	16
53	OfficerAnvil	16
55	Bandito_Roamer	15
55	NotKaden_	15
55	aa2x_	15
55	Sheldor097	15
59	Freak_Genius	13
60	UCP_TheKingK	12
60	TheOnlyRake	12
62	teslawolf38	11
62	beeperbeeper5	11
62	noam464	11
62	Soplight	11
62	Dogcorn69420	11
67	BigBootyHudge	10
67	k1ngGilgamesh	10
67	Leyna3	10
67	MineMaster0012	10
71	Incinere	9
71	kars0n	9
73	TheDankPlatypus	8
74	mwrty	7
74	Warlord324	7
74	PlasticOtari	7
77	Nach0Bear	6
77	Arceus1975	6
77	wTXop	6
77	Luminad3	6
77	claivin	6
77	Xclax101	6
77	smogfrog	6
84	SpacesickPrism	5
84	fffMike	5
86	SteveCraftBlocks	4
86	SLASHZEERA	4
86	ydad	4
86	stellarjay	4
90	Lez_	3
90	TheSecondLord	3
90	_Dean_123	3
90	HoltGrim	3
90	Fuad_R	3
90	The_slideV3	3
90	Groundler	3
97	soundad	2
97	Drlzyy	2
97	ShedJr_	2
97	lillips	2
97	Dusk_95	2
102	dabloons	1
102	DinoDoctor_	1
102	Ozixar	1
102	jacxhadow	1
102	bloodbiter	1
102	set67	1
102	NotMeanttoChange	1
102	intropass	1
102	CaptainAvenger7	1
102	TheShyPig	1
102	EveryonesUncle	1
102	Jiminie	1
102	Nagasaki_Riku	1
102	ProbsNotNova	1
102	CalebDHawk	1
102	mobunni	1
102	EcksD	1
