rank	username	minecraft:dropped/minecraft:brick_slab
1	thewindmillman	200
2	Merv__	129
3	PigDab	92
4	NameGenerat0r	88
5	Lez_	74
6	Soplight	67
7	DarlaMeow	65
8	Mr_Byzantine	64
8	BPTY4618	64
8	AgressiveEggdog	64
8	TechnoNinja64	64
12	EveryonesUncle	52
12	Shin69	52
14	SaucyDark	50
15	John6970	38
16	Frozil20	37
17	ImpavidArcher	36
18	luseis	34
19	FreakGenius	33
20	kekhon	25
21	groofles	24
22	k_ce	22
22	Kakolbus	22
24	Steelynan	18
25	ReyTheLegend	15
26	beeperbeeper5	13
26	Di_infiri	13
28	gabukun_	12
29	Enderxz3	9
30	LuvLuvLove	8
31	Akoot_	7
32	eitanzaki	5
32	ogoa	5
34	Yamdalorian	4
35	Mahoose	3
35	noam464	3
35	Buuck_	3
35	SexcMf	3
35	Pumpkin_P_Patch	3
40	KarlKaek	2
40	SteveCraftBlocks	2
40	burbankbuilder28	2
40	RobotMinion101	2
40	Mattesco	2
45	Incinere	1
45	12Magner05	1
45	Secret_Canary	1
45	Karetoko	1
45	craaaash	1
45	Jackattack53	1
45	Hyp3rion_	1
45	Fuad_R	1
45	xzvu	1
45	FGamerJ	1
45	TheWickedBird	1
