rank	username	minecraft:dropped/minecraft:cyan_carpet
1	noam464	633
2	beeperbeeper5	286
3	eitanzaki	253
4	mariominejedi	61
5	AdmiralSmoke	43
6	xolstoi	39
7	TechnoNinja64	37
8	KingMatthew506	34
9	YungMaki	33
10	Voxin2K	30
11	ConnorDanky_	24
12	Spacewardharpy7	23
13	Frozil20	21
14	HellsSponge	20
15	Werbe	17
15	EcksD	17
17	pintsizedrogue	16
18	TheSecondLord	11
18	Manaateee	11
20	heckface	10
21	NameGenerat0r	9
22	ImpavidArcher	8
22	jnp_gaming	8
24	Fullut	7
25	AlphaWolfPlaysMC	6
26	Mahoose	4
26	luseis	4
28	500am	3
29	Blaiku	2
30	Mr_Byzantine	1
30	teslawolf38	1
30	SaucyDark	1
30	oreee	1
30	m_be9	1
30	SteveCraftBlocks	1
30	UMosDiesIrae	1
30	SvenskaSara	1
30	Njensen7	1
30	Nicserso	1
30	MadmanRaven	1
