rank	username	minecraft:dropped/minecraft:stone_pressure_plate
1	gcaisawesome	11364
2	mihimihimihi	5307
3	noam464	1029
4	thewindmillman	806
5	Werbe	284
6	eitanzaki	259
7	YungMaki	123
8	Blaiku	75
9	EcksD	70
10	UrbanPlanningEx	64
11	PigDab	53
12	censorsheep	47
13	Lord_Jord	38
14	kekhon	36
14	MyNameIsJobo	36
16	lordpipe	34
17	MineMaster0012	33
18	Skylord_Luke	32
19	Hyp3rion_	31
20	EveryonesUncle	24
20	Tyrannosplart	24
22	ProfessorBee	22
22	Di_infiri	22
24	AlexxO_o	21
25	Rumpletaezer	20
26	Mahoose	19
26	Quotary	19
28	ECstardust	16
28	Lez_	16
28	beeperbeeper5	16
28	0nly_sn1per	16
32	NomadicRobin_	15
33	pr33tu	13
33	HellsSponge	13
35	CoffeeNoir	12
35	joethahobo	12
37	Hpdinosaur	11
37	Sleepy_Time_	11
37	rarrq	11
37	AdmiralSmoke	11
41	Jackattack53	10
41	Bumpy419	10
41	Wowful	10
41	Cocoamallows	10
41	Teebone15	10
46	Blackberry1310	9
46	Blu3beast	9
46	KingMatthew506	9
49	H0UNDFRMH3LL	8
49	carbo_bro	8
51	Xclax101	7
51	vandmanden	7
53	pintsizedrogue	6
53	ImpavidArcher	6
53	TheSecondLord	6
53	mwrty	6
53	burbankbuilder28	6
53	oscminus	6
53	F_Uhre	6
53	claivin	6
53	fluddd	6
53	Racengan	6
63	Frozil20	5
63	T045RTY	5
63	12Magner05	5
63	lillips	5
63	Kowcio_	5
63	Spenduh	5
63	Sral7	5
70	Groovy_MoonBird	4
70	TildaAndrea	4
70	Hyugo	4
70	HolyVenom	4
70	luseis	4
70	Deathkob	4
70	Spacewardharpy7	4
70	xzvu	4
70	lcvezra	4
70	Ezekson	4
70	ConnorDanky_	4
81	Bandito_Roamer	3
81	_Virify_	3
81	H72l9w	3
81	Comma__	3
81	_Nuf	3
81	Jokerman369	3
81	500am	3
81	lorpus	3
81	Inchef	3
81	benediktine1	3
81	Rebytre	3
81	ApophisNova	3
81	Onennon	3
81	Akoot_	3
81	DarlaMeow	3
81	Matorz	3
81	MovingFish7	3
81	Eraxa	3
81	PortlyPete69	3
81	DennyKai	3
81	jcool7	3
81	MyNamaSheff	3
81	HesDemonPants	3
104	Jovaphobic	2
104	CLG_Kata	2
104	dudcreeper	2
104	SmashingPump	2
104	6king6colt6	2
104	diamondgolem35	2
104	Vizzoid	2
104	Malorn_Aetherius	2
104	Guillemet	2
104	Smashic	2
104	set67	2
104	thescout7	2
104	ketaminmann	2
104	RIPB0ZO	2
104	IronyMan69	2
104	CollinMH06	2
104	yheece	2
104	Chromary	2
104	natajimi	2
104	DTwenty	2
104	wobn	2
104	MightyWertu	2
104	sp00ky_ghost977	2
104	Kyrum2169	2
104	Segotep999	2
104	CalebDHawk	2
104	TheOuterCore	2
104	EngagedGrub41	2
104	Skippeh	2
104	little_dUki	2
104	AltnumberF4	2
104	JayToe	2
104	h2p_emrld	2
104	diggydog67	2
138	Mr_Byzantine	1
138	Elprone266	1
138	PhantomsGhost_	1
138	abramgray	1
138	SoosAmongus	1
138	q_wq	1
138	I_Am_Mushkin	1
138	ExtraDumb	1
138	hm947	1
138	Lukeee33	1
138	RebelAndroid	1
138	Alteriity	1
138	Huwulling	1
138	MrKrabOnCoke	1
138	Valoth	1
138	Mercadies	1
138	NasdaqCrash	1
138	BobDeBouwer1337	1
138	bloodbiter	1
138	m_be9	1
138	MattieHD	1
138	_lildarki3	1
138	G1ldor	1
138	Fullut	1
138	redikul	1
138	Tmb1	1
138	CrookedKaptain	1
138	Blazebit	1
138	fade_emerge78823	1
138	Mewar	1
138	Cellcorgi649	1
138	hcb238	1
138	Zaridey	1
138	Kakolbus	1
138	AJplaysMC_	1
138	whoaluv	1
138	WET_WET_WET	1
138	Arceus1975	1
138	Snowflowe	1
138	RefluxRatio	1
138	JitteryJared2	1
138	andy_rex	1
138	domagawha	1
138	Hiryu27	1
138	selectrix	1
138	Mattesco	1
138	MinerDec	1
138	MousePlays	1
138	TheShyPig	1
138	SullivanNephew	1
138	ougstur	1
138	CarryLine	1
138	Kim_Jong_eel	1
138	SaintJosie	1
138	Elastiq	1
138	GooseWithin	1
138	dvlle	1
138	wezzzi	1
138	LeonelSalamanca	1
138	XxCookiequeenxX	1
138	ese_wn_po	1
138	fkGrim	1
138	Lutres_	1
138	handsome_strong	1
138	Manaateee	1
138	GoofyBread	1
138	_Karmaa	1
138	NameGenerat0r	1
138	FreakGenius	1
138	EfficientC52	1
138	Druid95	1
138	ItsDeltaMC	1
138	layabout100	1
138	stavgod	1
138	sadvavilloso	1
138	SvenskaHugo	1
138	IdeallyGrey	1
138	Soplight	1
138	SammiWolfGirl	1
138	_i_ERROR_i_	1
138	MilleGrug	1
138	Iamthejo	1
138	Nicserso	1
138	Weepingbiel	1
138	Legendosh	1
138	jnp_gaming	1
138	TechnoNinja64	1
138	PlasticOtari	1
138	Zoeyfortnite	1
138	Kateesaur	1
138	Calbo_	1
138	Wanjibon	1
