rank	username	minecraft:dropped/minecraft:birch_sapling
1	Spacewardharpy7	4211
2	thewindmillman	2797
3	Smoke____	1800
4	Di_infiri	984
5	beeperbeeper5	725
6	eitanzaki	537
7	SteveCraftBlocks	512
8	FreakGenius	343
9	Skylord_Luke	340
10	Blackberry1310	297
11	sp00ky_ghost977	277
12	CoffeeNoir	211
13	Wowful	171
14	HellsSponge	155
15	thescout7	143
16	rarrq	122
17	MrKrabOnCoke	115
18	LordSpeed37	114
19	Blaiku	106
20	Iamthejo	105
21	Ezekson	101
22	legal_tax_evader	96
23	EveryonesUncle	94
24	noam464	92
25	RebelAndroid	91
26	Racengan	75
27	joethahobo	72
27	Bumpy419	72
29	Steelynan	70
30	AlexxO_o	68
31	YungMaki	66
32	PortlyPete69	65
33	TechnoNinja64	64
34	PhantomsGhost_	62
35	500am	60
36	UncreativeArtist	58
37	HesDemonPants	54
38	TheEnderMan548	51
39	Kowcio_	50
40	UrbanPlanningEx	47
41	KingMatthew506	45
42	burbankbuilder28	43
42	EcksD	43
44	Merv__	42
44	jnp_gaming	42
46	Mahoose	41
47	ShedJr_	37
48	Kakolbus	36
49	gcaisawesome	35
50	tuckerdoodle	34
51	M_Patata	33
51	Hyp3rion_	33
51	MasterNueve	33
51	calamariclam_I	33
55	Ravenbie	32
55	Hermanni__	32
57	TheSecondLord	31
58	Nicky_H225	29
58	Arceus1975	29
60	Legendosh	28
61	Jackattack53	27
62	kekhon	26
63	Wooptey	25
63	Lez_	25
63	alderban107	25
66	camando92	24
67	SquadMonster	23
68	_Virify_	22
69	mwrty	21
69	Winklepicker279	21
69	the_russell1611	21
69	lordpipe	21
73	Tommhh	20
73	XboxPanda	20
73	PuFY	20
73	Akoot_	20
73	El_Jalapeno	20
73	Groundler	20
73	xzvu	20
80	Groovy_MoonBird	19
80	_Nuf	19
80	epiksk8erduck	19
80	Nicserso	19
80	Enderxz3	19
85	kyouma777	18
85	Kferno	18
85	tompup	18
88	Cowison	17
88	Frozil20	17
88	Incinere	17
88	Fuad_R	17
88	vandmanden	17
93	hollowww	16
93	jacxhadow	16
93	Rebytre	16
96	KarlKaek	15
96	GreedyFern8581	15
96	lillips	15
96	_Karmaa	15
96	Deguns123	15
96	cichy096	15
102	q_wq	14
102	Sabby65	14
102	SuperPooch06	14
102	seramalen	14
102	bluefragmentt	14
102	SingedBread	14
102	__Auspicious	14
109	platinumzero	13
109	stavgod	13
109	Eraxa	13
112	AJplaysMC_	12
112	Inbefour	12
114	PazinGaming	11
114	freeandrew	11
114	nocturne78	11
114	Hamsanders	11
114	eviltunix	11
114	PigDab	11
114	brycepants	11
114	PlzNoBM	11
114	ConnorDanky_	11
123	SyntheticSurgeon	10
123	Malorn_Aetherius	10
123	Comma__	10
123	Hiryu27	10
123	Rasmanden	10
123	NomadicRobin_	10
123	masskedman	10
123	Soap_Bender	10
123	ediballbearings	10
132	ergoalias	9
132	ashetrays	9
132	Inchef	9
132	DSYisDizzy	9
132	CollinMH06	9
132	Corbsman	9
132	Optiprimus	9
132	anbbang	9
132	MelodyGaysharks	9
141	EMC_	8
141	Kuragari_	8
