rank	username	minecraft:dropped/minecraft:birch_sapling
1	Spacewardharpy7	4211
2	thewindmillman	2797
3	Smoke____	1800
4	Di_infiri	984
5	beeperbeeper5	724
6	eitanzaki	537
7	SteveCraftBlocks	512
8	Freak_Genius	343
9	Skylord_Luke	340
10	Blackberry1310	297
11	sp00ky_ghost977	277
12	CoffeeNoir	211
13	Wowful	171
14	HellsSponge	155
15	thescout7	143
16	rarrq	122
17	MrKrabOnCoke	115
18	LordSpeed37	114
19	Blaiku	106
20	Miko_Fullbuster	105
21	Ezekson	101
22	loveseeker	96
23	EveryonesUncle	94
24	noam464	92
25	RebelAndroid	91
26	Racengan	75
27	joethahobo	72
27	Bumpy419	72
29	Steelynan	70
30	AlexxO_o	68
31	YungMaki	66
32	PortlyPete69	65
33	TechnoNinja64	64
34	PhantomsGhost_	62
35	500am	60
36	UncreativeArtist	58
37	HesDemonPants	54
38	TheEnderman548	51
39	UrbanPlanner1978	47
40	KingMatthew506	45
41	burbankbuilder28	43
41	EcksD	43
43	Merv__	42
43	jnp_gaming	42
45	Mahoose	41
46	Kowcio_	38
47	ShedJr_	37
48	Kakolbus	36
49	gcaisawesome	35
50	tuckerdoodle	34
51	M_Patata	33
51	MasterNueve	33
51	calamariclam_I	33
54	Ravenbie	32
54	Hermanni__	32
56	TheSecondLord	31
57	Nicky_H225	29
57	Arceus1975	29
57	Hyp3rion_	29
60	Legendosh	28
61	kekhon	26
62	Wooptey	25
62	Jackattack53	25
62	alderban107	25
65	camando92	24
66	SquadMonster	23
67	_Virify_	22
68	mwrty	21
68	Winklepicker279	21
68	the_russell1611	21
68	lordpipe	21
72	Tommhh	20
72	XboxPanda	20
72	PuFY	20
72	Akoot_	20
72	El_Jalapeno	20
72	Groundler	20
72	stahouo	20
79	Groovy_MoonBird	19
79	_Nuf	19
79	epiksk8erduck	19
79	Nicserso	19
79	Enderslayerxz3	19
84	kyouma777	18
84	Kferno	18
84	OnlyOfficial	18
87	Cowison	17
87	Frozil20	17
87	Incinere	17
87	Fuad_R	17
87	vandmanden	17
92	hollowww	16
92	jacxhadow	16
92	Rebytre	16
95	KarlKaek	15
95	GreedyFern8581	15
95	lillips	15
95	_Karmaa	15
95	Deguns123	15
95	cichy096	15
101	q_wq	14
101	Sabby65	14
101	SuperPooch06	14
101	seramalen	14
101	bluefragmentt	14
101	SingedBread	14
101	__Auspicious	14
108	platinumzero	13
108	stavgod	13
108	Eraxa	13
111	AJplaysMC_	12
111	Inbefour	12
113	freeandrew	11
113	nocturne78	11
113	Hamsanders	11
113	eviltunix	11
113	PigDab	11
113	brycepants	11
113	PlzNoBM	11
113	oxfordschool	11
121	SyntheticSurgeon	10
121	Malorn_Aetherius	10
121	Comma__	10
121	Hiryu27	10
121	Rasmanden	10
121	NomadicRobin_	10
121	masskedman	10
121	Soap_Bender	10
121	ediballbearings	10
130	ergoalias	9
130	ashetrays	9
130	Inchef	9
130	DSYisDizzy	9
130	CollinMH06	9
130	Corbsman	9
130	Optiprimus	9
130	anbbang	9
130	MelodyGaysharks	9
139	EMC_	8
139	Kuragari_	8
139	NinjaKnifeKill	8
