rank	username	minecraft:dropped/minecraft:lapis_block
1	thewindmillman	21971
2	ApophisNova	1150
2	MyNamaSheff	1150
4	Awyrlas	957
5	Blaiku	507
6	kekhon	439
7	Freak_Genius	374
8	joethahobo	320
9	wezzzi	256
10	Blu3beast	227
11	Di_infiri	192
11	Chromary	192
11	Wanjibon	192
14	geekbird	170
15	EMC_	158
16	BlancoFlaco	135
17	SammiWolfGirl	129
18	Zedducius	128
19	Mr_Teddiursa_K	126
20	oxfordschool	125
21	k1ngGilgamesh	109
21	HellsSponge	109
23	PigDab	86
24	Spacewardharpy7	84
25	SaucyDark	64
25	ayamefag	64
27	NieToksikpl	63
28	DemTechAlpha	62
29	_Nuf	59
30	peach0s	58
31	DarlaMeow	56
32	__tomato	55
33	Juk3b0x	54
33	UCP_TheKingK	54
35	Jackattack53	47
36	Reamdin	45
37	Leyna3	41
38	LoboTheLobster	40
39	eitanzaki	39
40	h2p_emrld	36
41	Rumpletaezer	34
42	CaptainDeadBread	33
43	Blackberry1310	32
43	MightyWertu	32
43	GlitchyPlate810	32
46	Kowcio_	30
47	mwrty	28
47	surfinggiraffejp	28
47	Soul_Atreus	28
50	DeGodz4life	25
50	Spenduh	25
50	EcksD	25
53	Segotep999	23
54	elmer1234	22
54	Airem_Core	22
56	Powowowow	21
57	NotMeowMix	19
58	Xclax101	18
59	EveryonesUncle	15
59	Legendosh	15
61	Groundler	13
61	airbkane	13
61	anbbang	13
64	Hisiste	12
64	SlimeBOI03	12
64	kinas45y5	12
67	OfficerAnvil	11
68	beeperbeeper5	10
69	Sheldor097	9
69	Kubeusz2010	9
71	Drlzyy	8
71	diamondgolem35	8
71	Cocoamallows	8
74	Groovy_MoonBird	7
74	sammidk	7
74	Fuad_R	7
77	rarrq	6
77	bloodbiter	6
77	Ecplosive	6
80	FirsTimeGamingTV	5
81	Kkanot	4
81	prizm_	4
81	Marbz_	4
81	SlinkyPinky	4
85	Mahoose	3
85	Jiminie	3
85	lordpipe	3
85	Ezekson	3
85	HesDemonPants	3
85	TechnoNinja64	3
91	MattieHD	2
91	Inchef	2
91	Rebytre	2
91	MovingFish7	2
91	lcvezra	2
96	Wooptey	1
96	thescout7	1
96	noam464	1
96	walll	1
96	ooga47	1
96	lillips	1
96	Frozil12	1
96	starbits140	1
96	SSytex_X	1
96	_TCARREIRA_	1
96	Dogcorn69420	1
96	Skippeh	1
96	RoboTramp7865	1
96	Smoke____	1
