rank	username	minecraft:dropped/minecraft:dried_kelp_block
1	Hyp3rion_	26101
2	BumbleBeever	16693
3	EcksD	13438
4	thewindmillman	9247
5	Snowflowe	3248
6	TechnoNinja64	2816
7	PhantomsGhost_	2124
8	himak1	385
9	Ezekson	369
10	jcool7	336
11	calamariclam_I	256
12	AuroraValkyrie	192
13	Blaiku	171
14	LetsDoItLive	134
15	Legendosh	128
16	ImpavidArcher	88
17	heckface	64
17	ConnorDanky_	64
19	FreakGenius	63
20	annebolyn	41
21	Groovy_MoonBird	36
21	eitanzaki	36
21	07shiny	36
24	Incinere	32
25	Touched_Bread	24
26	lordpipe	16
27	T045RTY	11
27	joethahobo	11
29	Nicserso	9
30	sandmire	6
30	Segotep999	6
32	Blu3beast	5
33	ProfessorBee	4
34	seanitoo	3
34	beeperbeeper5	3
36	ShedJr_	2
37	teslawolf38	1
37	MattieHD	1
37	_Minnty_	1
37	thescout7	1
37	noam464	1
37	SuperPooch06	1
37	MonitorLizards	1
37	DeltGod01704	1
37	luseis	1
37	djancak	1
37	Yamdalorian	1
