rank	username	minecraft:dropped/minecraft:ochre_froglight
1	Hyp3rion_	8339
2	thewindmillman	3161
3	AlexxO_o	256
4	Kowcio_	182
5	ECstardust	141
6	CattSoup	78
7	Jimb0nat0r	77
8	Alteriity	64
9	MineMaster0012	57
10	Fuad_R	56
11	jessewegottacook	27
12	Jackattack53	24
13	pintsizedrogue	11
14	AdmiralSmoke	7
15	StinkyDiplomat	6
16	Lez_	5
16	xxPipperDipperxx	5
16	Manaateee	5
19	Marbz_	4
20	_Huge_Male_	3
21	Mahoose	2
21	Crowman1	2
21	olliebollie48	2
21	non089	2
25	Huwulling	1
25	joethahobo	1
25	TheWildMateo	1
