rank	username	minecraft:dropped/minecraft:repeater
1	noam464	11370
2	Hyp3rion_	6526
3	eitanzaki	2433
4	thewindmillman	1677
5	Blaiku	1106
6	Nicserso	913
7	Di_infiri	894
8	EcksD	674
9	Werbe	349
10	thescout7	229
11	lillips	211
12	m_be9	192
13	kekhon	182
14	bladeefan2009	131
15	EMC_	128
16	Jackattack53	127
17	beeperbeeper5	122
18	SteveCraftBlocks	117
19	Bumpy419	113
20	fffMike	99
21	silverpopcorn	97
22	PigDab	95
23	Kowcio_	81
24	Blu3beast	78
25	gusstationwerker	73
25	ConnorDanky_	73
27	Fuad_R	72
28	Mythic1130	70
29	Frozil20	65
29	Eczbek	65
31	r123moore	64
31	cedric72	64
33	500am	58
34	jnp_gaming	53
35	Crowman1	51
36	Smoke____	43
37	ssleepless	42
38	gabriels543	35
38	YungMaki	35
40	ese_wn_po	34
41	LeGold	32
41	RoofTyler	32
43	set67	31
43	TechnoNinja64	31
45	HellsSponge	29
46	Mahoose	28
46	TheThomas69	28
48	_Dean_123	27
48	Fullut	27
50	Incinere	23
51	Marbz_	22
51	lordpipe	22
53	Skylord_Luke	21
54	yatsuta	20
55	Arceus1975	19
56	binman420	18
56	MightyWertu	18
58	ProfessorBee	16
58	vandmanden	16
60	LeEricc	14
61	FreakGenius	12
61	stavgod	12
61	Rainaldus	12
64	Blackberry1310	11
64	Comma__	11
64	Moetis	11
64	jcool7	11
64	Steelynan	11
69	JESS_THE_RERE	10
70	Onennon	9
70	DarlaMeow	9
72	pintsizedrogue	8
72	soundad	8
72	ewsophie	8
72	legal_tax_evader	8
76	PhantomsGhost_	7
76	ITDV	7
78	Masssonnn	6
78	Tyrannosplart	6
78	Xclax101	6
78	Eraxa	6
78	SSytex_X	6
83	fr0stss	5
83	Malorn_Aetherius	5
83	shadowthemonkey	5
83	Maenara	5
83	WyngGoy	5
83	__tomato	5
89	NotP0tato	4
89	SaucyDark	4
89	Rumpletaezer	4
89	Elastiq	4
89	mihimihimihi	4
89	Kyrum2169	4
89	LeeMcGee30	4
96	T045RTY	3
96	FirsTimeGamingTV	3
96	jacxhadow	3
96	Smashic	3
96	vampgey	3
96	Wowful	3
96	NomadicRobin_	3
96	Racengan	3
96	Warlord324	3
96	layabout100	3
96	07shiny	3
96	CalebDHawk	3
108	Groovy_MoonBird	2
108	Merv__	2
108	LoboTheLobster	2
108	Cryptacity	2
108	12Magner05	2
108	gcaisawesome	2
108	mimbo1211	2
108	Jimi7hits	2
108	Akoot_	2
108	Inbefour	2
108	_Bguette_	2
108	Soap_Bender	2
108	Bloo2406	2
108	Ashton1242	2
108	pixelviolin	2
108	BlankityMcBlank	2
108	KingMatthew506	2
108	Jimb0nat0r	2
126	SyK7	1
126	q_wq	1
126	diamondgolem35	1
126	tuckerdoodle	1
126	ThiccExotic	1
126	Lez_	1
126	Da_Boss_Rani	1
126	elmer1234	1
126	rarrq	1
126	heckface	1
126	cadethesloth	1
126	Rich_Kat	1
126	Aatronix	1
126	lorpus	1
126	Motsaro	1
126	xxPipperDipperxx	1
126	benediktine1	1
126	prizm_	1
126	valiSW	1
126	MyNameIsJobo	1
126	MangoTheFish	1
126	Azmodan_246	1
126	DAD_1996	1
126	Hiryu27	1
126	Voxin2K	1
126	F_Uhre	1
126	IamCL4SSY	1
126	EveryonesUncle	1
126	Groundler	1
126	Spacewardharpy7	1
126	MovingFish7	1
126	monky_irl	1
126	RealGroot	1
126	SammiWolfGirl	1
126	non089	1
126	PortlyPete69	1
126	obzii	1
126	Sheldor097	1
126	Hermanni__	1
126	Vellu21	1
126	potatocan	1
126	Ezekson	1
126	Powowowow	1
126	PlasticOtari	1
126	Sral7	1
126	calamariclam_I	1
