rank	username	minecraft:dropped/minecraft:magenta_carpet
1	beeperbeeper5	717
2	lillips	496
3	Spacewardharpy7	211
4	noam464	141
5	Awyrlas	96
6	InfernalMound	70
7	eitanzaki	66
8	RebelAndroid	50
9	lordpipe	31
10	TechnoNinja64	23
11	SaucyDark	14
12	Lez_	13
13	ConnorDanky_	10
14	_i_ERROR_i_	9
15	Fullut	7
16	mwrty	5
16	Werbe	5
16	wrinkledpiglet	5
16	CattSoup	5
20	PlasticOtari	4
21	TheSecondLord	3
21	Jokerman369	3
21	xolstoi	3
24	Mahoose	2
24	_Nuf	2
24	Blaiku	2
27	YungMaki	1
27	KingMatthew506	1
27	EcksD	1
