rank	username	minecraft:dropped/minecraft:cobblestone
1	noam464	640892
2	Di_infiri	178778
3	thewindmillman	153654
4	Xclax101	71345
5	FallenCorps	69679
6	beeperbeeper5	55316
7	eitanzaki	52473
8	Frozil12	52007
9	Dedalus36	49050
10	Franco093	45377
11	sebastiensaborio	44287
12	kekhon	44096
13	h2p_emrld	41953
14	The11thDoctor	41949
15	Miko_Fullbuster	41517
16	LordSpeed37	39814
17	Bumpy419	39725
18	Spenduh	39346
19	MeetTheWollo	38750
20	Chromary	34479
21	stahouo	34359
22	lordpipe	33891
23	pintsizedrogue	31226
24	mwrty	30582
25	EcksD	29406
26	PigDab	27738
27	ProfessorBee	26292
28	vandmanden	24543
29	Spacewardharpy7	24210
30	rarrq	23912
31	YungMaki	23071
32	__tomato	22909
33	trexgb	22888
34	Ecplosive	22434
35	UncreativeArtist	22135
36	m_be9	21390
37	Toriankel	20745
38	alderban107	20440
39	Werbe	19158
40	fluddd	18981
41	Fullut	18858
42	El_Jalapeno	18747
43	TheShyPig	18639
44	GlitchyPlate810	18363
45	SaucyDark	18137
46	livingdaydreams	18063
47	lotarp	17606
48	Groovy_MoonBird	17440
49	TechnoNinja64	17177
50	yulgur1	16900
51	EMC_	16875
51	Smoke____	16875
53	MakeHistory157	16549
54	12Magner05	16347
55	Njensen7	16066
56	AssEatrAndLicker	15718
57	WET_WET_WET	15459
58	SkateboardR6	15026
59	Freak_Genius	15021
60	KarlKaek	14561
61	chipklip	14555
62	XboxPanda	14437
63	Blackberry1310	14166
64	NameGenerat0r	13946
65	Onennon	12676
66	Racengan	12655
67	SSytex_X	12218
68	joethahobo	12059
69	Inbefour	11832
70	Prodiginus	11671
71	HellsSponge	11238
72	FelixPSY375	11161
73	Winklepicker279	11122
74	HesDemonPants	10982
75	Blaiku	10874
76	Wooptey	10774
77	Corbsman	10299
78	eviltunix	10161
79	_Nuf	10138
80	Kakolbus	9571
81	Inchef	9493
82	Fildyr	9483
83	anbbang	9465
84	Hiryu27	9422
85	xxPipperDipperxx	9295
86	PlzNoBM	9283
87	Comma__	9229
88	EcksDofficial	9191
89	AlphaWolfPlaysMC	9085
90	teslawolf38	9054
91	ElectricDragon81	9035
92	Kubelz	8941
93	Rasmanden	8676
94	BigCronkin	8650
95	Blu3beast	8616
96	gabriels543	8213
97	SuperPooch06	8119
98	T045RTY	8007
99	Zoeyfortnite	7993
100	Paintz	7868
101	ooga47	7825
102	jnp_gaming	7815
103	PortlyPete69	7711
104	Kowcio_	7702
105	Awyrlas	7673
106	bigstankyy	7618
107	FishyBoy3811	7565
108	Kyrum2169	7520
109	fkGrim	7421
110	Hpdinosaur	7256
111	_Karmaa	7077
112	kinas45y5	7065
113	KliBeast21	6928
114	Akoot_	6871
115	Strangemonkey71	6868
116	Jiminbub	6817
117	thescout7	6652
118	_Dean_123	6636
119	soundad	6635
120	Skippeh	6626
121	boog4loo	6625
122	UltraZombie	6608
123	Wowful	6582
124	Froste131	6579
125	geekbird	6480
126	BlankityMcBlank	6437
127	NomadicRobin_	6390
128	Soap_Bender	6357
129	MightyWertu	6202
130	surfinggiraffejp	6121
131	_TCARREIRA_	6086
132	valkam13	6057
133	RedcatVII	6025
134	PeteO1995	5980
135	Nicserso	5839
136	Sabby65	5825
137	I_Am_Mushkin	5741
138	NotKaden_	5666
139	JayToe	5528
140	MovingFish7	5492
141	Humpcat	5413
142	q_wq	5341
143	Houstonion	5313
144	Nicky_H225	5096
145	TheBiggestFeller	5040
146	silverpopcorn	5026
147	monky_irl	5025
148	500am	4980
149	bloomkieren	4955
150	Kamflame10	4903
151	lizardfightclub	4845
152	BlancoFlaco	4791
153	ROY4LE	4700
154	intropass	4685
155	Eraxa	4607
156	Travka100	4557
157	layabout100	4550
158	oxfordschool	4514
159	AuroraValkyrie	4489
160	Jackattack53	4485
161	picardred	4447
162	Natofthese	4434
163	egglapras	4401
164	_naturell	4310
165	DarlaMeow	4309
166	UrbanPlanner1978	4286
167	wezzzi	4234
168	mariominejedi	4193
169	Jonte0599	4165
170	Powowowow	4141
171	paranoid_plant	4099
172	gcaisawesome	3998
173	SUN_DREAM	3958
174	_czarny	3945
175	Meatlaugh	3932
176	BoraMC	3929
176	Reamdin	3929
178	fffMike	3908
179	MattieHD	3826
180	AvaRosey	3824
181	PuFY	3804
182	501g	3799
183	whoaluv	3790
184	1442	3735
185	MustaLoordi	3733
186	cedric72	3699
187	RyuNeko932000	3655
188	Jovaphobic	3618
189	EveryonesUncle	3552
190	Jokerman369	3541
191	diamondgolem35	3512
192	eiC_	3496
193	lcvezra	3475
194	Incinere	3460
195	obzii	3429
196	mimbo1211	3422
196	gustarbite	3422
198	BobDeBouwer1337	3413
199	Rumpletaezer	3390
200	Cowison	3382
201	numbra	3366
202	SokaOtaku	3343
203	Warlord324	3335
204	bloodbiter	3319
205	fr0stss	3309
206	Invisie	3249
207	fallingemma	3242
208	Nargotah	3205
209	ogoa	3201
209	33sudo	3201
211	Enderslayerxz3	3189
212	Jackster03	3186
213	Hail_the_wombat	3144
214	CliffEmAll	3130
215	Xalithia	3112
216	jewbacaman	3094
217	claivin	2950
218	CollinMH06	2945
219	jcool7	2939
220	FreddyFart	2929
221	BlueZabu	2902
222	MOSS000	2895
223	Karbl	2884
224	Quaintster	2883
225	YungWali	2858
226	n0qtrnL	2850
227	Bazongoman	2842
228	Luigipunch989	2837
229	NinjaKnifeKill	2829
230	Zythose	2814
231	ApophisNova	2812
231	MyNamaSheff	2812
233	6king6colt6	2805
234	Deerfoot	2780
235	benediktine1	2777
236	MilleGrug	2767
237	cwartzo	2719
238	Tristankill	2687
239	Soffbord	2673
240	GoofyBread	2662
241	Deodorante	2659
242	JEWISHBadenBeele	2642
243	epiksk8erduck	2638
244	yaboo88	2633
245	platinumzero	2631
246	BRRRN179	2624
247	elicobnoah	2621
248	StanceTB	2581
249	MunkaKris	2554
250	_Razar	2552
251	_NieToksikpl_	2551
252	Kateesaur	2524
253	djancak	2513
254	AltnumberF4	2507
255	Dali1465	2472
256	purpolepickle	2455
257	Tjhodskins19	2444
258	cringenaynaybaby	2431
259	SquadMonster	2422
260	Snowflowe	2407
261	HAIRYCLOUD626	2404
262	Noah_Bez	2391
263	TheSecondLord	2378
264	Cocoamallows	2359
265	_3Stump_	2354
266	Groundler	2350
267	__Auspicious	2335
268	masskedman	2320
269	seramalen	2277
270	QueenShuvi	2271
271	Teebone15	2263
272	BreadBacon	2236
273	__Fanda__	2232
273	IAmTheWalrus910	2232
275	ThatMan_Dave	2199
276	TheFlfthHorseman	2195
277	Nach0Bear	2184
278	CalebDHawk	2171
279	Omar_Alone	2139
280	Wolverine4302	2130
281	NYJ	2126
282	LAVA129	2124
283	Seyaboy	2108
284	Enigma0251	2107
285	Matorz	2097
286	Quincannon	2080
287	The_Quack_Dealer	2077
288	TheMilkerOfCats	2070
289	Cyntrical	2059
290	DTwenty	2057
291	Kferno	2055
292	cytotoxaint	2042
293	Batman922	2036
294	Malorn_Aetherius	2026
295	SellyZ	2020
296	RustyKedel	2009
297	NotP0tato	1998
298	UncleDanDan	1960
299	Lepthymo	1958
300	ivorico	1943
