rank	username	minecraft:dropped/minecraft:acacia_sign
1	eitanzaki	191
2	beeperbeeper5	49
3	ApophisNova	48
3	MyNamaSheff	48
5	jcool7	32
6	Werbe	18
7	Mahoose	17
8	Smoke____	15
9	luseis	13
10	Hyp3rion_	10
10	claivin	10
12	Frozil20	9
12	Jackattack53	9
12	Vellu21	9
15	thescout7	8
16	Smashic	7
16	Karetoko	7
16	lordpipe	7
19	MirielThePastor	6
20	Meatlaugh	5
20	xzvu	5
22	Groovy_MoonBird	4
22	PhantomsGhost_	4
22	ImpavidArcher	4
22	TheSecondLord	4
22	jushykins	4
22	kekhon	4
22	valkam13	4
22	starbits140	4
22	ConnorDanky_	4
31	Lez_	3
31	gustarlep	3
31	Deodorante	3
31	Tyrannosplart	3
31	NameGenerat0r	3
31	Quaintster	3
31	Blaiku	3
31	SkateboardR6	3
31	Kowcio_	3
31	Soplight	3
31	laron58	3
31	cichy096	3
31	Powowowow	3
44	pintsizedrogue	2
44	Batman922	2
44	Blackberry1310	2
44	ThePoliteG	2
44	noam464	2
44	Arceus1975	2
44	jewbacaman	2
44	NomadicRobin_	2
44	The_slideV3	2
44	CACTUSLAD	2
44	SammiWolfGirl	2
44	PlzNoBM	2
44	KingMatthew506	2
44	EcksD	2
44	h2p_emrld	2
59	ProbablyNick	1
59	Ilinca_Io	1
59	bigstankyy	1
59	BlancoFlaco	1
59	RebelAndroid	1
59	youhjjhhhjj	1
59	Rox_The_Box	1
59	ShedJr_	1
59	dopplexd	1
59	ProfessorBee	1
59	ROY4LE	1
59	Kakolbus	1
59	fr_ser	1
59	gabriels543	1
59	SuperPooch06	1
59	Hoid_the_Roamer	1
59	Hiryu27	1
59	Corbsman	1
59	TheShyPig	1
59	Akoot_	1
59	yulgur1	1
59	_Bguette_	1
59	DarlaMeow	1
59	Racengan	1
59	Spacewardharpy7	1
59	IAmTheWalrus910	1
59	Eraxa	1
59	gusstationwerker	1
59	PortlyPete69	1
59	Dreamdbr14	1
59	Steelynan	1
59	Enderxz3	1
59	jnp_gaming	1
59	TechnoNinja64	1
59	bladeefan2009	1
59	xolstoi	1
