rank	username	minecraft:dropped/minecraft:basalt
1	noam464	55091
2	thewindmillman	34541
3	eitanzaki	34003
4	EcksD	9013
5	Segotep999	7553
6	PigDab	7044
7	Hyp3rion_	6400
8	Skylord_Luke	4895
9	Spacewardharpy7	4571
10	Blaiku	4173
11	Wooptey	2285
12	lillips	2266
13	NomadicRobin_	2176
14	Werbe	1887
15	AdmiralSmoke	1833
16	Kowcio_	1575
17	Racengan	1559
18	monky_irl	1425
19	beeperbeeper5	1187
20	Winklepicker279	1126
21	SkateboardR6	1067
22	Di_infiri	1051
23	Ryan_GEMS	956
24	djancak	955
25	Badenbeele	859
26	PuFY	798
27	Alteriity	736
27	Zythose	736
29	Ezekson	713
30	BlancoFlaco	673
31	noodlepack	672
32	KliBeast21	662
33	Enderxz3	656
34	FelixPSY375	626
35	gcaisawesome	559
36	DarlaMeow	539
37	ECstardust	530
38	Blackberry1310	507
39	Eraxa	499
40	Frozil20	497
41	itburb	496
42	AltnumberF4	491
43	ccwildfire1	482
44	_Mythic____	479
45	Snowflowe	440
46	NieToksikpl	436
47	Arceus1975	434
48	TheEnderMan548	413
49	T045RTY	392
50	FreakGenius	389
50	_i_ERROR_i_	389
52	RoskobiOne	386
53	UltraZombie	385
54	hanaryheatwave	356
55	kekhon	347
56	NinjaKnifeKill	341
57	jacxhadow	321
58	HolyVenom	303
58	Nycteus_	303
60	SammiWolfGirl	292
60	Iamthejo	292
62	ogoa	291
63	mwrty	273
64	bigstankyy	266
64	12Magner05	266
64	lizardfightclub	266
67	calamariclam_I	265
68	H0UNDFRMH3LL	259
69	SvenskaAlvar	255
70	_Dean_123	247
71	MissCeleste7	243
72	Sleek_Storm_721	238
72	trixterrx	238
74	Jackattack53	227
75	zToasty69z	226
76	lorpus	220
77	trexgb	215
78	MineMaster0012	211
78	Jordan_R	211
80	Arch3lia	210
80	Spenduh	210
82	PortlyPete69	209
83	burbankbuilder28	202
84	iSammael	199
85	_Razaria	192
85	Rebytre	192
85	bee_gorl	192
88	gustarlep	179
89	YungMaki	176
90	NameGenerat0r	174
91	fluddd	171
92	Luigipunch989	165
93	LeonelSalamanca	164
94	ROY4LE	160
95	RebelAndroid	158
95	AlexxO_o	158
97	FishyBoy3811	153
98	Da_Boss_Rani	148
98	__TheNorseMan__	148
100	k_ce	145
101	Kekoo	144
102	SpacesickPrism	140
103	mihimihimihi	138
104	SteveCraftBlocks	128
104	Jonafrog99	128
106	mimbo1211	127
107	Kura2218	119
107	sadvavilloso	119
109	prizm_	117
110	set67	116
111	fw3xy74	108
112	Quaintster	106
113	ConnorDanky_	103
114	FishisTTV	100
115	Lez_	97
115	Awyrlas	97
117	AuroraSkies	95
118	shadowthemonkey	92
