rank	username	minecraft:dropped/minecraft:dragon_head
1	Kowcio_	229
2	lorywithay	70
3	Manaateee	28
4	noam464	21
5	lillips	17
6	Akoot_	15
7	TheSecondLord	11
7	kekhon	11
7	CheesyToess	11
10	k1ngGilgamesh	10
10	fluddd	10
10	Soplight	10
13	Lez_	9
13	Blaiku	9
13	Segotep999	9
16	Di_infiri	8
16	EveryonesUncle	8
16	jnp_gaming	8
19	PortlyPete69	7
19	Sral7	7
21	Huwulling	6
21	gcaisawesome	6
21	F_Uhre	6
21	Tyrannosplart	6
25	T045RTY	5
25	Fullut	5
25	FreakGenius	5
25	YungMaki	5
25	_TCARREIRA_	5
25	Ezekson	5
31	PhantomsGhost_	4
31	Blackberry1310	4
31	Hyp3rion_	4
31	Skylord_Luke	4
31	NameGenerat0r	4
31	jcool7	4
37	ShedJr_	3
38	pintsizedrogue	2
38	TildaAndrea	2
38	Frozil20	2
38	eitanzaki	2
38	Mahoose	2
38	lorpus	2
38	yheece	2
38	HeraclesOGU	2
38	Toriankel	2
38	BruhBag	2
38	ConnorDanky_	2
38	EcksD	2
38	FishisTTV	2
51	chipklip	1
51	dabloons	1
51	soundad	1
51	Napoleonpancake	1
51	I_Am_Mushkin	1
51	bigstankyy	1
51	ImpavidArcher	1
51	Reamdin	1
51	joethahobo	1
51	rarrq	1
51	m_be9	1
51	Secret_Canary	1
51	thescout7	1
51	r123moore	1
51	Paintz	1
51	SuperPooch06	1
51	Zythose	1
51	Krowuss	1
51	pinkigram	1
51	Rebytre	1
51	oscminus	1
51	Werbe	1
51	Dakar_	1
51	Shogunite	1
51	Blu3beast	1
51	GravitySaint	1
51	MovingFish7	1
51	geekbird	1
51	33sudo	1
51	Kura2218	1
51	TheEnderMan548	1
51	Spenduh	1
51	Pundehoo	1
51	obzii	1
51	Dogcorn69420	1
51	tartanboy	1
51	Nicserso	1
51	Legendosh	1
51	Zoeyfortnite	1
51	AdmiralSmoke	1
