rank	username	minecraft:dropped/minecraft:light_blue_stained_glass
1	Hyp3rion_	2692
2	eitanzaki	558
3	rarrq	484
4	Snowflowe	477
5	thewindmillman	419
6	TheTrueClipse	324
7	Jackattack53	114
8	NomadicRobin_	109
9	EcksD	104
10	Ezekson	83
11	Blaiku	75
12	beeperbeeper5	67
13	MattieHD	64
13	MyNameIsJobo	64
13	_Karmaa	64
16	Spenduh	63
17	Steelynan	58
18	lordpipe	54
19	Blu3beast	38
19	Smoke____	38
21	dabloons	36
21	T045RTY	36
23	Chromary	28
24	Merv__	24
25	Cowison	23
25	noam464	23
27	jcool7	22
28	kekhon	20
28	RodSerlingCringe	20
30	jimintyy	18
31	seramalen	14
32	ShedJr_	8
32	Blackberry1310	8
32	_Dean_123	8
35	Dogcorn69420	7
35	UrbanPlanner1978	7
37	Di_infiri	6
37	PlasticOtari	6
39	CliffEmAll	4
40	Incinere	3
40	joethahobo	3
40	TechnoNinja64	3
40	Earlesstrain4	3
44	Franco093	2
44	ROY4LE	2
44	Hiryu27	2
44	Wowful	2
44	camando92	2
49	Groovy_MoonBird	1
49	_Virify_	1
49	SaucyDark	1
49	TheSecondLord	1
49	NotMeanttoChange	1
49	XboxPanda	1
49	Werbe	1
49	audiocracked	1
49	Frozil12	1
49	fluddd	1
