rank	username	minecraft:dropped/minecraft:gold_block
1	Hyp3rion_	237074
2	thewindmillman	156627
3	Jackattack53	65214
4	Mythic1130	9302
5	mihimihimihi	7131
6	noam464	1957
7	Frozil20	1632
8	Spacewardharpy7	1542
9	Blaiku	749
10	EcksD	531
11	Smoke____	489
12	joethahobo	468
13	beeperbeeper5	455
14	ConnorDanky_	415
15	Akoot_	390
16	EMC_	384
17	eitanzaki	347
18	Racengan	323
19	Creativebuilder2	321
20	Di_infiri	308
21	Kowcio_	304
22	Groundler	275
23	YungMaki	228
24	FreakGenius	213
25	H72l9w	211
26	MakeHistory157	192
26	PlasticOtari	192
28	Lord_Jord	187
29	alderban107	169
30	Blu3beast	142
31	WyngGoy	141
32	Airem_Core	128
33	RealGroot	111
34	Enderxz3	101
35	Fullut	99
36	__tomato	93
37	XboxPanda	87
38	Smashic	84
39	Blackberry1310	81
40	Merv__	76
41	500am	71
42	SC0RCHEDD	70
43	Xalithia	66
43	WET_WET_WET	66
45	KarlKaek	64
45	set67	64
45	Kyrum2169	64
45	gusstationwerker	64
45	xzvu	64
45	FallenCorps	64
51	Inbefour	63
52	tuckerdoodle	61
53	AuroraValkyrie	58
54	lordpipe	53
55	Mahoose	50
55	ApophisNova	50
55	MyNamaSheff	50
58	Chromary	49
59	fw3xywashere	46
60	k1ngGilgamesh	44
60	CalebDHawk	44
62	luseis	43
63	Gmoney390	42
64	ImpavidArcher	41
65	Bumpy419	40
66	BlancoFlaco	36
66	RebelAndroid	36
68	lcvezra	35
69	zToasty69z	33
70	Huwulling	32
71	livingdaydreams	30
72	lotarp	28
73	Inchef	25
73	fluddd	25
75	Da_Boss_Rani	23
76	Moofyman	22
77	Groovy_MoonBird	21
77	Touched_Bread	21
77	MightyWertu	21
77	GlitchyPlate810	21
77	Steelynan	21
77	00000000-0000-0000-0009-01ff0c3e5e4f	21
83	MeanTugger	20
84	Reamdin	18
84	KingEgg1	18
84	IronyMan69	18
87	MattieHD	17
87	Nycteus_	17
89	boog4loo	16
89	Tyrannosplart	16
91	TheSecondLord	15
91	Fuad_R	15
93	Eraxa	14
93	WYFYoyo	14
95	DemTechAlpha	13
95	Zoeyfortnite	13
97	Skomo	12
97	Juk3b0x	12
99	Xclax101	11
99	TechnoNinja64	11
101	SSytex_X	10
102	censorsheep	9
102	brofrickcheaters	9
104	SquadMonster	8
104	eviltunix	8
104	ooga47	8
104	Soap_Bender	8
108	SmashingPump	7
108	_Nuf	7
108	burbankbuilder28	7
108	CaptainDeadBread	7
108	ItsJunoIGuess	7
108	jcool7	7
114	gaziter10	6
114	kekhon	6
114	PuustaKauasPdnt	6
114	Werbe	6
114	Flrffy	6
114	lillips	6
114	Bloo2406	6
114	Cocoamallows	6
114	Kubeusz2010	6
114	vandmanden	6
124	elmer1234	5
124	Arceus1975	5
124	PigDab	5
124	geekbird	5
124	SammiWolfGirl	5
124	_TCARREIRA_	5
130	ImNotYuqii	4
130	T045RTY	4
130	rarrq	4
130	DirtyBoar	4
130	mimbo1211	4
130	AlexxO_o	4
130	DanTheBuilderino	4
130	tsitrawhy	4
138	heysushii	3
138	SoosAmongus	3
138	Killercatty78	3
138	Incinere	3
138	ewsophie	3
138	Lez_	3
138	Whiterooster001	3
138	ketaminmann	3
138	SuperPooch06	3
138	NomadicRobin_	3
138	Deodorante	3
138	TheDumbHuman	3
138	Skippeh	3
138	jnp_gaming	3
138	FishisTTV	3
138	diggydog67	3
154	gren_ben	2
154	Otto_chan	2
154	12Magner05	2
154	DarkDescent2392	2
154	Awyrlas	2
154	Kakolbus	2
154	gabriels543	2
154	PuFY	2
154	binman420	2
154	TheSeismicDuck	2
154	PortlyPete69	2
154	Iamthejo	2
154	Ezekson	2
167	pintsizedrogue	1
167	fanofbands101	1
167	Alteriity	1
167	Historical_Sand	1
167	Dali1465	1
167	Mookle96	1
167	ROY4LE	1
167	Aiko_Kawashima	1
167	Winklepicker279	1
167	Rebytre	1
167	out1s	1
167	RobotMinion101	1
167	Smussa	1
167	F_Uhre	1
167	iElijah	1
167	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
167	BRRRN179	1
167	bpmm	1
167	EveryonesUncle	1
167	DarkS0L	1
167	DarlaMeow	1
167	Shogunite	1
167	weabis	1
167	Toriankel	1
167	Yahir091	1
167	monky_irl	1
167	Sheldor097	1
167	MilleGrug	1
167	Teebone15	1
