rank	username	minecraft:dropped/minecraft:spruce_log
1	Hyp3rion_	1214986
2	noam464	141865
3	Spacewardharpy7	55815
4	_Mythic____	33145
5	Jackattack53	23038
6	EcksD	19771
7	Frozil20	16743
8	TechnoNinja64	7968
9	diamondgolem35	6385
10	eitanzaki	5928
11	Yamdalorian	3826
12	Zxhir	3711
13	rarrq	3060
14	Di_infiri	2815
15	FreakGenius	2732
16	kekhon	2469
17	thewindmillman	2329
18	Ezekson	2285
19	Blaiku	2270
20	Mahoose	2220
21	k_ce	2121
22	ApophisNova	2104
22	MyNamaSheff	2104
24	PazinGaming	2026
25	Akoot_	1917
26	Eraxa	1849
27	Lez_	1667
28	pixelviolin	1578
29	OfficerAnvil	1539
30	Groundler	1467
31	Nicserso	1307
32	Werbe	1273
33	OneLessChromosom	1259
34	lordpipe	1257
34	taengoos	1257
36	Blackberry1310	1242
37	H0UNDFRMH3LL	1210
38	Historical_Sand	1191
39	weabis	1171
40	miramyu	1158
41	Uzbeki_John	1152
42	500am	1136
43	MyNameIsJobo	1126
44	Manaateee	1116
45	set67	1073
46	LuvLuvLove	1049
47	ImpavidArcher	1031
48	SuperPooch06	963
49	Kowcio_	959
50	Huwulling	957
51	BlancoFlaco	897
52	Blu3beast	883
53	MattieHD	856
54	_Dean_123	823
55	obzii	746
56	EveryonesUncle	724
57	gcaisawesome	707
58	Jonafrog99	704
59	ConnorDanky_	699
60	doublemaki	679
61	SvenskaHugo	675
62	EdGalbraith	672
63	IamCL4SSY	652
64	Skylord_Luke	643
65	jnp_gaming	637
66	EMC_	622
67	whoaluv	615
68	Mr_Byzantine	589
69	erkada	570
70	Segotep999	562
71	joethahobo	551
72	xzvu	533
73	Kakolbus	529
74	Chromary	504
75	TheKingK_	498
76	Roikdean	496
77	thescout7	473
78	Malorn_Aetherius	468
79	Snowflowe	463
80	DarlaMeow	454
81	Mattesco	452
82	NatalieTW	449
82	KarlKaek	449
84	Tommhh	447
84	Zythose	447
86	Soplight	437
87	DirtyDalle	416
88	Racengan	413
89	Dakar_	412
90	Onennon	397
91	beeperbeeper5	392
92	imcombxt	384
92	Myntsys	384
92	TheSandwhich_	384
95	Arceus1975	379
96	Saucepeh	370
97	hm947	369
98	ewsophie	363
99	_i_ERROR_i_	339
100	Ecplosive	334
101	Alteriity	331
102	Wowful	329
103	tuckerdoodle	327
104	Pumpkin_P_Patch	325
105	MrKrabOnCoke	323
106	El_Jalapeno	321
107	himak1	320
107	ImDisconnected_	320
109	MandenR1	319
110	jacxhadow	313
110	KingMatthew506	313
112	PigDab	312
113	TheSecondLord	305
114	SpacesickPrism	304
115	hermmm_	286
116	Skippeh	277
117	_Huge_Male_	272
117	IceYoung	272
119	Jimb0nat0r	268
120	SkateboardR6	264
121	w3nd3lbo3	263
122	Kamflame	256
122	MakeHistory157	256
124	lcn	252
125	emreknugrlu	239
126	6king6colt6	238
127	fkGrim	236
128	Merv__	233
129	VilsSwag	231
130	elliebelle107	229
131	BlueZabu	224
132	TheWickedBird	211
133	Luminad3	203
134	bl1ss0	201
135	foxncat	196
136	_Karmaa	194
137	CalebDHawk	193
138	Gregward_Smith	192
139	AlexxO_o	190
139	DemTechAlpha	190
139	mihimihimihi	190
142	Steelynan	189
143	HesDemonPants	185
144	JayToe	184
145	Hisiste	180
146	Covalents	173
147	oscminus	172
148	EfficientC52	170
149	Marbz_	168
150	WYFYoyo	166
151	Inchef	162
152	RobotMinion101	160
153	CrateOfBoxes	156
154	_stets	153
155	pintsizedrogue	151
155	AspenLightVT	151
155	Tyrannosplart	151
158	livingdaydreams	150
159	luseis	149
160	Crowman1	148
161	dendydoom	145
161	jcool7	145
163	JoeSaysBingBong	144
163	GravitySaint	144
165	stellarjay	142
166	TheRealAndrin	139
167	Fi11e	137
168	ReverendSmith	136
169	VentiHilton	135
170	heysushii	132
170	Hpdinosaur	132
170	BartekB19	132
173	Rebytre	131
174	seanitoo	129
175	T045RTY	128
175	YairZaki	128
175	Crizma_	128
175	4774	128
175	GoofyBread	128
175	Typadopoulos	128
175	CattSoup	128
182	Niklas20114552	125
182	potato292	125
184	Rorrofighter	124
184	goldyx	124
184	Fuad_R	124
187	TooManyDuck	122
187	burbankbuilder28	122
189	Adlair	120
189	zToasty69z	120
191	diggydog67	119
192	JETrotter	116
192	Xclax101	116
194	intropass	114
195	Quaintster	111
196	MilleGrug	103
197	pappaberg	97
197	TwinTowerV2	97
199	Comma__	96
200	Soap_Bender	95
201	yheece	90
201	groofles	90
203	lorpus	87
203	Nadflah	87
203	thgrocks	87
206	Smashic	86
206	LeeMcGee30	86
208	Base_Tempest	84
208	chlorinex	84
210	Fullut	81
210	ooga47	81
212	TachibanaAkira	80
212	Enderxz3	80
214	_Cloverbelle_	79
215	robertsnose	77
215	Winklepicker279	77
217	HellsSponge	76
218	LagVibes	73
218	SquadMonster	73
220	Iamthejo	72
221	powercas_gamer	71
222	xxPipperDipperxx	70
223	Simon_Lowell	69
223	NomadicRobin_	69
223	NebulousBadger	69
226	shineh10	68
227	soundad	67
227	Drewen24	67
227	fw3xy	67
227	StarCookiees_	67
231	John6970	66
231	Hoid_the_Roamer	66
233	excelsionprime	65
233	master9067	65
233	robonya_	65
236	Cowison	64
236	ECstardust	64
236	IronArshXS	64
236	Kuragari_	64
236	skroobiez	64
236	TastyPorkchop	64
236	Crasswolf	64
236	caesarleon	64
236	k1ngGilgamesh	64
236	wwwwinnebagoooo	64
236	cytotoxaint	64
236	ElKaySVK	64
236	Deguns123	64
236	ZoomieZoomie	64
250	Cryptacity	63
250	Masssonnn	63
