rank	username	minecraft:dropped/minecraft:torch
1	Hyp3rion_	7429
2	thewindmillman	5474
3	eitanzaki	4008
4	noam464	3933
5	Spacewardharpy7	3436
6	lordpipe	2787
7	EMC_	2766
8	kekhon	2503
9	Akoot_	2446
10	joethahobo	2160
11	EcksD	2148
12	FreakGenius	2049
13	Iamthejo	2034
14	Di_infiri	1799
15	jnp_gaming	1797
16	Smoke____	1795
17	HellsSponge	1587
18	weabis	1457
19	Blaiku	1456
20	beeperbeeper5	1443
21	lillips	1423
22	thescout7	1408
22	MilleGrug	1408
24	rarrq	1396
25	YungMaki	1362
26	Hisiste	1216
27	Blackberry1310	1207
28	Werbe	1201
29	gcaisawesome	1101
30	TechnoNinja64	1061
31	Soplight	968
32	Enderxz3	936
33	Fuad_R	911
34	Kowcio_	904
35	Skylord_Luke	874
36	Frozil20	867
37	RedcatVII	856
38	Ezekson	776
39	_Virify_	772
40	emrekn	744
41	NameGenerat0r	708
42	Da_Boss_Rani	707
43	obzii	705
44	Meatlaugh	691
45	F_Uhre	671
46	PhantomsGhost_	665
47	pintsizedrogue	647
48	ConnorDanky_	639
49	KarlKaek	602
50	bloomkieren	601
51	djancak	587
52	PigDab	579
53	Racengan	577
54	NomadicRobin_	564
55	Mr_Byzantine	544
56	Xclax101	534
57	Njensen7	503
58	Mahoose	499
59	binman420	497
60	FreddyFart	493
61	mwrty	487
62	Lez_	476
63	Groovy_MoonBird	470
64	Eraxa	461
65	Historical_Sand	457
66	anbbang	451
67	luseis	449
68	RealGroot	444
68	Legendosh	444
70	xxPipperDipperxx	442
71	Jackattack53	436
72	Toriankel	428
73	SammiWolfGirl	427
74	CompAir	425
74	starbits140	425
76	shrimp_flips	412
77	Inchef	404
78	xzvu	398
79	Snowflowe	394
80	TheSecondLord	388
81	Jindong	384
82	FishisTTV	375
83	gusstationwerker	373
84	Blu3beast	368
85	Moofyman	362
86	vandmanden	355
87	FishyBoy3811	344
88	set67	343
89	Steelynan	342
90	Nicserso	336
91	fanofbands101	334
