rank	username	minecraft:dropped/minecraft:acacia_button
1	500am	1408
2	mimbo1211	39
3	beeperbeeper5	30
4	Smoke____	20
5	CoffeeNoir	9
6	youhjjhhhjj	8
6	thewindmillman	8
6	Skylord_Luke	8
9	lordpipe	7
10	Bandito_Roamer	6
10	Ezekson	6
12	Jackattack53	5
13	KarlKaek	4
13	Franco093	4
15	Groovy_MoonBird	2
15	ImpavidArcher	2
15	noam464	2
15	mads388a	2
15	KG1999	2
20	pintsizedrogue	1
20	Mahoose	1
20	Blackberry1310	1
20	FreddyFart	1
20	chipklip	1
20	Shogunite	1
20	IAmTheWalrus910	1
20	Steelynan	1
20	EcksD	1
