rank	username	minecraft:dropped/minecraft:baked_potato
1	PhantomsGhost_	41036
2	xzvu	12609
3	Blackberry1310	3975
4	kekhon	3971
5	Mahoose	3269
6	Akoot_	3024
7	Racengan	1962
8	lcvezra	1692
9	Huwulling	1599
10	eitanzaki	1467
11	eviltunix	1115
12	6king6colt6	1028
13	Groovy_MoonBird	908
14	Wanjibon	885
15	Di_infiri	800
16	Crowman1	705
17	Incinere	695
18	Frach23	660
19	Hiryu27	607
20	wTXop	591
21	rarrq	533
22	FazeObama69	490
22	TechnoNinja64	490
24	lordpipe	454
25	noam464	444
26	Blu3beast	422
27	Arsinic7	404
28	NotKaden_	388
29	lillips	387
30	Commander_Ange	384
31	CattSoup	344
32	RealGroot	332
33	bladeefan2009	326
34	Pootis11	320
34	RedcatVII	320
34	Smoke____	320
37	oreee	319
38	ImpavidArcher	305
39	Rumpletaezer	290
40	joethahobo	275
41	Powowowow	270
42	prizm_	265
43	Matemax	256
44	eddiehobbit	248
45	__tomato	224
46	Tyrannosplart	219
47	MightyWertu	214
48	Soplight	212
49	Steelynan	211
49	EcksD	211
51	NomadicRobin_	206
52	Merv__	202
53	ADEXTV	193
54	YungWali	192
54	ARCTICxLORD	192
56	ooga47	185
57	FirsTimeGamingTV	182
58	SaintJosie	176
59	Reamdin	175
60	Ezekson	171
61	olliebollie48	168
62	Kyrum2169	155
63	Prodiginus	151
64	xolstoi	147
65	Zoeyfortnite	146
66	Skomo	141
67	Smashic	140
68	somegirl12_	139
69	ElKaySVK	138
70	Maenara	136
71	luseis	133
72	Cocoamallows	132
73	bigstankyy	131
73	monky_irl	131
75	TheDankPlatypus	129
76	CrookedKaptain	128
76	xXxSebastianLxXx	128
78	Arceus1975	122
79	AJplaysMC_	120
79	h2p_emrld	120
81	Faart	115
82	HBA00_	114
83	BoraMC	111
83	TheWildMateo	111
85	H72l9w	107
86	HazenBlazin	106
87	Godspirit249	105
87	Kowcio_	105
89	Kura2218	104
90	Jij0	103
91	PigDab	102
92	Toriankel	101
93	thgrocks	100
94	ImDisconnected_	99
94	_Boipl_	99
96	SaucyDark	96
96	slkiey	96
96	stavgod	96
99	F_Uhre	95
99	SammiWolfGirl	95
101	Hyp3rion_	94
102	surfinggiraffejp	93
103	EMC_	92
104	Fullut	87
105	MattieHD	85
106	Blamphe	83
107	Xclax101	82
108	Groundler	81
109	Louiis123	74
110	fluddd	70
110	Blaiku	70
112	ewsophie	69
113	Secret_Canary	68
113	fr_ser	68
115	500am	67
116	pintsizedrogue	66
116	00000000-0000-0000-0009-01fc3bb26159	66
118	Mr_Byzantine	65
118	Ecplosive	65
118	Meatlaugh	65
121	H0UNDFRMH3LL	64
121	jacxhadow	64
121	ProfessorBee	64
121	_Cloverbelle_	64
121	stereotypical_	64
121	carbo_bro	64
121	Zetsey	64
128	picardred	63
129	ProbablyNick	62
129	Ardennes	62
129	Jackattack53	62
129	ItsJunoIGuess	62
133	Inchef	61
133	sheebeep	61
133	izzybearh	61
136	xKhoshekh	60
136	Skippeh	60
138	xambsam	59
139	NameGenerat0r	58
140	Frozil20	57
140	Wowful	57
142	SteveCraftBlocks	56
142	WYFYoyo	56
144	Dreamdbr14	55
145	XboxPanda	54
145	MustaLoordi	54
147	MyNameIsDakar	52
147	GlitchyPlate810	52
149	ItsAki_	51
150	Ninzyyy	49
151	TheSecondLord	46
152	Soap_Bender	45
153	Kamflame10	44
154	Bobby808	43
154	Drewen24	43
156	beeperbeeper5	42
156	Ssor69	42
156	thewindmillman	42
156	Inbefour	42
160	firesgal3116	41
161	livingdaydreams	40
161	JoeSaysBingBong	40
161	HellsSponge	40
161	07shiny	40
165	33sudo	39
165	Vellu21	39
167	Iagoku	38
167	gren_ben	38
167	rejenita	38
170	wezzzi	37
170	_Bguette_	37
172	Peeing	36
173	CrateOfBoxes	35
173	Optiprimus	35
175	jcool7	34
176	dopplexd	33
176	Eraxa	33
176	jaimshae	33
179	xvphmura	32
179	Ilinca_Io	32
179	Euclidoris	32
179	TheWeeknd14	32
179	himak1	32
179	kflubs	32
179	DarlaMeow	32
179	_Karmaa	32
