rank	username	minecraft:dropped/minecraft:paper
1	Hyp3rion_	2130892
2	noam464	23626
3	Jackattack53	20811
4	Spacewardharpy7	20653
5	pixelviolin	12420
6	joethahobo	4817
7	eitanzaki	4362
8	Werbe	3887
9	beeperbeeper5	3422
10	Blaiku	3360
11	HellsSponge	3171
12	Kowcio_	2986
13	FreakGenius	2782
14	_Mythic____	2612
15	Mahoose	2371
16	Smashic	2307
17	Lez_	2170
18	PigDab	2079
19	lordpipe	1839
20	Di_infiri	1690
21	OreTheBear	1621
22	ConnorDanky_	1584
23	kekhon	1524
24	TheSandwhich_	1431
25	Zoeyfortnite	1326
26	Houstonion	1270
27	Yamdalorian	1234
28	Ezekson	1200
29	ZaneABrain	1147
30	Chromary	1141
31	oscminus	1116
32	_i_ERROR_i_	1088
33	Akoot_	1004
34	k_ce	933
35	thewindmillman	886
36	diamondgolem35	832
37	TheShyPig	808
38	hanaryheatwave	776
39	Ryan_GEMS	734
40	Eczbek	720
41	TechnoNinja64	709
42	Tyrannosplart	692
43	_Virify_	664
44	Marbz_	641
45	YungMaki	633
46	EcksD	625
47	Lord_Jord	624
48	SammiWolfGirl	587
49	Groovy_MoonBird	583
50	pintsizedrogue	577
51	VentiHilton	563
52	12Magner05	556
53	CollinMH06	554
54	Eraxa	548
55	Frozil20	527
56	Blackberry1310	525
57	KarlKaek	521
58	HesDemonPants	466
59	mihimihimihi	448
60	EMC_	441
61	ougstur	377
62	jnp_gaming	359
63	emreknugrlu	342
64	Incinere	336
65	Spenduh	327
66	luseis	308
67	djancak	307
68	zToasty69z	283
69	annebolyn	274
70	Nicserso	272
71	Legendosh	271
72	Kubeusz2010	265
73	censorsheep	260
73	MightyWertu	260
75	Wanjibon	256
76	Snowflowe	236
76	Blu3beast	236
78	MilleGrug	235
79	Racengan	234
80	500am	233
81	TheSecondLord	231
82	CalebDHawk	213
83	skitzxo	203
84	JayToe	194
85	Gus2005	193
86	Fullut	192
86	fade_emerge78823	192
86	Xalithia	192
86	fallingemma	192
86	byFlixxx	192
91	Enderxz3	181
92	2Stout	176
93	RIPB0ZO	174
94	xzvu	168
95	Mattesco	166
96	fluddd	164
96	Soplight	164
98	stavgod	159
99	thescout7	156
100	Quaintster	149
101	00000000-0000-0000-0009-01ff0c3e5e4f	147
102	Skylord_Luke	145
103	TheWickedBird	144
104	GreedyFern8581	142
105	ImpavidArcher	135
106	vandmanden	134
107	AlexxO_o	128
108	jcool7	127
109	gcaisawesome	124
109	Dogcorn69420	124
111	Xclax101	123
112	Fuad_R	122
