rank	username	minecraft:dropped/minecraft:smooth_sandstone
1	Frozil12	2495
2	Wowful	587
3	gcaisawesome	484
4	KarlKaek	467
5	Akoot_	410
6	stahouo	388
7	GlitchyPlate810	368
8	2Stout	332
9	Freak_Genius	326
10	EcksDofficial	322
11	Smoke____	285
12	Fullut	283
13	ApophisNova	256
13	MyNamaSheff	256
15	TechnoNinja64	241
16	beeperbeeper5	218
17	RodSerlingCringe	212
18	Kowcio_	194
19	_Virify_	192
20	Mahoose	181
21	Merv__	177
21	groofles	177
23	Franco093	161
24	Da_Boss_Rani	142
25	IdeallyGrey	141
26	Fuad_R	130
27	lillips	129
28	SteveCraftBlocks	121
29	kekhon	110
30	eitanzaki	95
31	LeGold	94
32	TheBiggestFeller	89
33	lordpipe	82
34	Jackattack53	77
35	NameGenerat0r	73
36	Spacewardharpy7	72
37	Groovy_MoonBird	67
37	DarlaMeow	67
39	RebelAndroid	66
40	PhantomsGhost_	64
40	IAmTheWalrus910	64
42	__tomato	63
43	Incinere	62
44	WarMachina	58
45	Soplight	57
46	UncreativeArtist	52
46	HesDemonPants	52
48	500am	50
49	itburb	49
50	Blackberry1310	45
51	YungJakobo	44
51	Steelynan	44
53	chipklip	39
53	Kyrum2169	39
55	I_Am_Mushkin	33
56	rarrq	32
56	Di_infiri	32
58	Jiminie	30
58	stellarjay	30
60	YungMaki	28
61	Smashic	23
62	TheDankPlatypus	22
63	Werbe	20
64	egglapras	19
64	Meatlaugh	19
66	lotarp	18
67	Hpdinosaur	17
67	r123moore	17
67	SirDodgyBob	17
70	AltnumberF4	15
71	MyNameIsDakar	13
72	Sky_light_KING	12
72	Calbo_	12
74	Blaiku	11
74	Segotep999	11
76	John6970	10
76	sammidk	10
76	HolyVenom	10
76	FreddyFart	10
80	Kakolbus	9
81	yoyoYoloMonke	7
82	noam464	6
82	benediktine1	6
82	Skylord_Luke	6
85	Vizzoid	5
85	Hermanni__	5
87	TooManyDuck	4
87	Myszoaz	4
87	G1ldor	4
87	SeverianTheLame	4
87	Onennon	4
87	_Bguette_	4
87	Blu3beast	4
87	oxfordschool	4
87	Enderslayerxz3	4
96	livingdaydreams	3
96	fade_emerge78823	3
96	xxPipperDipperxx	3
96	silverpopcorn	3
96	TheEnderman548	3
101	hm947	2
101	Sabby65	2
101	Zippyzam	2
101	Wooptey	2
101	mwrty	2
101	phomic	2
101	fw3xywashere	2
101	MakeHistory157	2
101	microcrisp	2
110	ImpavidArcher	1
110	Humpcat	1
110	Sleepy_Time_	1
110	heckface	1
110	picardred	1
110	SDMNAEK	1
110	TheSecondLord	1
110	Chickenchaser2	1
110	redikul	1
110	cedric72	1
110	jewbacaman	1
110	fxiryglitch	1
110	Maenara	1
110	Lord_Jord	1
110	NomadicRobin_	1
110	The_slideV3	1
110	Xclax101	1
110	Razzgriz	1
110	SexcMf	1
110	djancak	1
110	jcool7	1
110	Kubeusz2010	1
110	Nicserso	1
110	Sral7	1
