rank	username	minecraft:dropped/minecraft:cyan_wool
1	noam464	99029
2	HellsSponge	5803
3	EcksD	3525
4	Blaiku	931
5	beeperbeeper5	659
6	eitanzaki	534
7	thewindmillman	519
8	Bumpy419	350
9	Blu3beast	193
10	Nostrom	192
11	EcksDofficial	183
12	oxfordschool	165
13	Di_infiri	90
13	Frozil12	90
15	PigDab	71
16	kekhon	70
17	Smoke____	66
18	bra1nbrain	64
18	rarrq	64
18	MattieHD	64
18	mariominejedi	64
18	MeanTugger	64
18	m9_meltdown_	64
18	Shogunite	64
18	lordpipe	64
18	JackyKwacky	64
18	KingMatthew506	64
28	KarlKaek	52
29	Breb74	41
30	RebelAndroid	34
31	ItsColin11	32
32	Nekomin0	25
32	TechnoNinja64	25
34	Rumpletaezer	21
35	HesDemonPants	16
36	TheShyPig	15
37	YungMaki	9
38	pintsizedrogue	8
38	JoCoLi	8
40	Dogcorn69420	7
41	heckface	5
42	EveryonesUncle	4
42	sp00ky_ghost977	4
44	marumochis	3
44	jcool7	3
46	Mahoose	2
46	Werbe	2
46	Inbefour	2
46	AssEatrAndLicker	2
50	ImpavidArcher	1
50	TheSecondLord	1
50	Comma__	1
50	Jackattack53	1
50	Akoot_	1
50	Racengan	1
50	__Auspicious	1
50	Soplight	1
50	stahouo	1
50	Quotary	1
