rank	username	minecraft:dropped/minecraft:oak_leaves
1	EveryonesUncle	8542
2	Dogcorn69420	2961
3	mwrty	1913
4	Freak_Genius	1892
5	eitanzaki	1654
6	beeperbeeper5	1570
7	Hyp3rion_	1558
8	The11thDoctor	1530
9	noam464	1358
10	PigDab	1232
11	WET_WET_WET	1158
12	ShedJr_	1106
13	Blaiku	1005
14	kekhon	989
15	YungMaki	956
16	500am	939
17	Onennon	803
18	HesDemonPants	800
19	pixelviolin	746
20	Blackberry1310	734
21	Mahoose	718
22	Legendosh	716
23	RadarHz	683
24	chipklip	645
25	rarrq	543
26	FroggoTheDoggo	541
27	Jonte0599	539
28	peachfuzz1267	512
29	Di_infiri	510
30	lordpipe	504
31	TechnoNinja64	488
32	HellsSponge	475
33	Nagasaki_Riku	449
34	anbbang	430
35	Merv__	428
36	Toiton	410
37	CSG_Haru	394
38	BronkerBrum	386
39	stahouo	382
40	Steelynan	375
41	CoffeeNoir	367
42	gustarbite	355
43	EcksD	349
44	Kubelz	333
45	Eraxa	331
46	oxfordschool	319
47	kinas45y5	316
48	_Nuf	315
49	Kowcio_	313
50	CollinMH06	303
51	Racengan	293
52	Skippeh	278
53	Soplight	259
54	AustinAuranymph	256
55	TheSeismicDuck	249
56	joethahobo	243
57	Soap_Bender	241
58	seramalen	240
59	AlphaWolfPlaysMC	229
60	burbankbuilder28	225
61	Nicserso	220
62	PuFY	218
63	Ezekson	212
64	Fullut	211
64	Skylord_Luke	211
66	cedric72	210
67	Jackattack53	201
68	Spacewardharpy7	194
68	Factoroni	194
70	platinumzero	193
70	CookTheChef3	193
72	cog	192
73	pintsizedrogue	183
74	VentiHilton	180
75	Blu3beast	177
76	I_Am_Mushkin	176
77	Rebytre	175
78	Werbe	158
79	wrinkledpiglet	150
80	SuperPooch06	142
81	RodSerlingCringe	136
82	lcvezra	135
83	xxPipperDipperxx	128
83	DarlaMeow	128
85	h2p_emrld	126
86	_Dean_123	125
86	Xclax101	125
86	Kukkelikuk	125
89	NameGenerat0r	120
90	set67	112
90	SammiWolfGirl	112
92	Hermanni__	106
93	ese_wn_po	103
94	claivin	98
95	Nycteus_	93
96	PeteO1995	91
96	Yahrto	91
98	thescout7	90
99	Arceus1975	85
100	MilleGrug	83
101	Quaintster	82
102	NinjaKnifeKill	81
103	MezzaVevo	70
103	sp00ky_ghost977	70
105	Frozil12	68
106	ShowRegent	64
106	KarlKaek	64
106	Michaelelelelele	64
106	Akoot_	64
106	dragonstalker21	64
111	jedi_george	63
111	thewindmillman	63
113	fkGrim	62
114	Matyyy15	61
115	_Karmaa	58
116	Faart	54
117	ImpavidArcher	53
118	SaucyDark	52
118	Bumpy419	52
120	Inchef	51
120	Zythose	51
122	audiocracked	49
122	PlzNoBM	49
124	Ozixar	44
124	vandmanden	44
126	FishyBoy3811	43
126	EcksDofficial	43
128	Menthas	42
129	TheSecondLord	41
130	KnightmareD	39
130	layabout100	39
132	SSytex_X	38
133	_Virify_	36
133	Avrelion	36
133	stavgod	36
133	Winston_Ingram	36
137	bloodbiter	34
137	El_Jalapeno	34
139	JESS_THE_RERE	33
139	MovingFish7	33
141	Smoke____	31
142	Rich_Kat	30
142	egglapras	30
142	KingMatthew506	30
145	Hiryu27	29
145	XxCookiequeenxX	29
147	rpmm	28
147	PortlyPete69	28
149	EMC_	27
149	Sleek_Storm_721	27
149	RobotMinion101	27
152	H72l9w	26
152	Queen_Jalapeno	26
154	Tommhh	25
154	Malorn_Aetherius	25
154	Kynigito	25
157	Bandito_Roamer	24
