rank	username	minecraft:dropped/minecraft:melon_seeds
1	eitanzaki	953
2	Hyp3rion_	373
3	emreknugrlu	320
4	Di_infiri	197
5	luseis	193
6	q_wq	150
7	beeperbeeper5	145
8	kekhon	128
8	Sral7	128
10	Blaiku	111
11	Lez_	107
12	Mr_Sun15	100
13	FreakGenius	94
14	Pofen	73
14	Kakolbus	73
16	TheSecondLord	65
17	IamCL4SSY	64
18	ShedJr_	60
19	UrbanPlanningEx	58
20	Mahoose	55
21	thescout7	52
22	Comma__	51
23	Inbefour	50
24	thewindmillman	49
25	pixelviolin	47
26	noam464	46
26	hanaryheatwave	46
26	lizardfightclub	46
29	joethahobo	42
30	Bandito_Roamer	40
31	Secret_Canary	38
32	HellsSponge	35
32	Zoeyfortnite	35
34	Yamdalorian	28
35	Soplight	27
36	HesDemonPants	26
37	4774	23
38	platinumzero	21
38	YungMaki	21
40	mwrty	20
41	HeraclesOGU	19
41	Xclax101	19
43	lorywithay	18
43	Manaateee	18
45	CoffeeNoir	17
45	Jackattack53	17
45	RadarHz	17
48	Nucket	16
49	Stright_	15
49	PigDab	15
49	FishisTTV	15
52	WhosJPG	14
52	Ezekson	14
54	fade_emerge78823	12
54	crashomon	12
54	El_Jalapeno	12
57	ProfessorBee	11
57	Rumpletaezer	11
57	fw3xy74	11
57	Kowcio_	11
57	Enderxz3	11
57	h2p_emrld	11
63	Sleepy_Evelyn	10
63	Barlycorn	10
63	Ryn777	10
63	jnp_gaming	10
63	annebolyn	10
63	Faart	10
69	pintsizedrogue	9
69	titanlax	9
69	Blackberry1310	9
69	Arceus1975	9
69	Druid95	9
69	amkold	9
75	dudcreeper	8
75	EMC_	8
75	Killercatty78	8
75	Scathra	8
75	Diavri	8
75	The11thDoctor	8
75	F_Uhre	8
75	Kim_Jong_eel	8
75	DarlaMeow	8
75	lordpipe	8
75	PlasticOtari	8
86	Merv__	7
86	Tommhh	7
86	Zythose	7
86	Tyrannosplart	7
86	pretty_pink_reno	7
86	Yoaty	7
86	SkateboardR6	7
86	Quotary	7
86	00000000-0000-0000-0009-01fc3bb26159	7
95	SugarMyNuggets	6
95	SKYPEX_	6
95	livingdaydreams	6
95	SuperPooch06	6
95	Boipl	6
95	thebaddruid	6
95	Voxin2K	6
95	Werbe	6
95	TragicHero27	6
95	The_slideV3	6
95	WyngGoy	6
95	TheBananaKat	6
95	skitzxo	6
108	Incinere	5
108	Wooptey	5
108	lotarp	5
108	Chromary	5
112	funeralhome	4
112	ImpavidArcher	4
112	RebelAndroid	4
112	Alteriity	4
112	Huwulling	4
112	picardred	4
112	ThePoliteG	4
112	MattieHD	4
112	_Nuf	4
112	Colinfro	4
112	trixterrx	4
112	U_Mos_	4
112	CranialBlowout	4
112	kars0n	4
112	MustardDrinker	4
112	Hiryu27	4
112	curterr	4
112	out1s	4
112	Matyyy15	4
112	TheShyPig	4
112	zToasty69z	4
112	Meatlaugh	4
112	MAns_44	4
112	Blu3beast	4
112	MS_Pryxx	4
112	Yahir091	4
112	_Meow_Mix	4
112	monky_irl	4
112	PortlyPete69	4
112	cichy096	4
112	vandmanden	4
143	BPTY4618	3
143	diamondgolem35	3
143	chrolus	3
143	gren_ben	3
143	T045RTY	3
143	abdomera	3
143	SpaceGrenadier	3
143	FirsTimeGamingTV	3
143	rarrq	3
143	corvidpartyfor6	3
143	i2f8x4h8ro	3
143	Kkanot	3
143	Kamflame	3
143	emrekn	3
143	mimbo1211	3
143	groofles	3
143	TJawesome09	3
143	Fuad_R	3
143	DanTheBuilderino	3
143	Quaintster	3
143	cog	3
143	KevinLevrone9983	3
143	QuesoCrusaderIII	3
143	Kura2218	3
143	SammiWolfGirl	3
143	Logain42	3
143	Steelynan	3
143	Rainaldus	3
143	JayToe	3
143	TheWickedBird	3
173	dimondking777	2
173	SlowMoNinja1994	2
173	SyntheticSurgeon	2
173	PhantomBionic	2
173	Myszoaz	2
173	Euclidoris	2
173	SteveCraftBlocks	2
173	leaf26	2
173	Awyrlas	2
173	xxPipperDipperxx	2
173	Covalents	2
173	drunkeeez	2
173	PeteO1995	2
173	Mat07	2
173	MyNameIsJobo	2
173	Donutt	2
173	jewbacaman	2
173	sammidk	2
173	Akoot_	2
173	True_Clipse	2
173	Hahaa_0	2
173	masskedman	2
173	XxCookiequeenxX	2
173	ese_wn_po	2
173	EveryonesUncle	2
173	NYJ	2
173	DemTechAlpha	2
173	Warlord324	2
173	ItsDeltaMC	2
173	SvenskaHugo	2
173	Zetsey	2
173	Segotep999	2
173	djancak	2
173	fffMike	2
173	LeeMcGee30	2
173	Kubeusz2010	2
173	EngagedGrub41	2
173	_KuruKuru	2
173	ConnorDanky_	2
212	Travasaur	1
212	fanofbands101	1
212	ImNotYuqii	1
212	Iagoku	1
212	NatrixxddxYT	1
212	ActualPatbaf	1
212	carloselpapii	1
212	Saucepeh	1
212	_Nat666	1
212	BobDeBouwer1337	1
212	Pelbo	1
212	slkiey	1
212	ketaminmann	1
212	KGTV	1
212	IceYoung	1
212	TheDankPlatypus	1
212	ImDisconnected_	1
212	SlayerCrypto	1
212	Snowflowe	1
212	_8man	1
212	JitteryJared2	1
212	RebytreGT	1
212	Luminad3	1
212	TheSeismicDuck	1
212	NoChumpChange	1
212	fkGrim	1
212	Dakar_	1
212	ReflexCode	1
212	censorsheep	1
212	LordAurum	1
212	Spacewardharpy7	1
212	quindariousG	1
212	Luigipunch989	1
212	Celeste_121	1
212	Mikael_Kuningas	1
212	mobunni	1
212	OfficerAnvil	1
212	diggydog67	1
