rank	username	minecraft:dropped/minecraft:zombie_head
1	500am	20
2	oxfordschool	13
3	Blu3beast	9
4	Hyp3rion_	7
4	Akoot_	7
4	chipklip	7
4	claivin	7
4	jnp_gaming	7
9	kekhon	5
9	Fullut	5
11	Spacewardharpy7	4
12	Frozil20	3
12	Quaintster	3
14	Kuragari_	2
14	Mahoose	2
14	Lez_	2
14	egglapras	2
14	CheesyToess	2
14	fred870d	2
14	Freak_Genius	2
14	YungMaki	2
14	cichy096	2
14	2blox	2
14	TechnoNinja64	2
14	FishisTTV	2
26	Drlzyy	1
26	titanlax	1
26	TheSecondLord	1
26	gabriels543	1
26	Jackattack53	1
26	GreedyFern8581	1
26	Rebytre	1
26	ApophisNova	1
26	Karbl	1
26	Nagasaki_Riku	1
26	Hermanni__	1
26	Ezekson	1
26	MyNamaSheff	1
26	Smoke____	1
