rank	username	minecraft:dropped/minecraft:lapis_lazuli
1	Frozil20	207007
2	thewindmillman	20384
3	The11thDoctor	6122
4	Corbsman	2844
5	elliebelle107	2171
6	TechnoNinja64	2166
7	Hyp3rion_	1458
8	EMC_	1286
9	Smashic	1281
10	xzvu	1034
11	trexgb	987
12	h2p_emrld	956
13	lotarp	939
14	Tyrannosplart	913
15	non089	884
16	Jiminbub	882
17	MoistMicrowave	860
18	Aryamanee	792
19	Secret_Canary	762
20	Saucepeh	752
21	jcool7	732
22	_i_ERROR_i_	724
23	TheKingK_	708
24	PigDab	614
25	Da_Boss_Rani	610
26	TheBananaKat	605
27	BreadBacon	590
28	eitanzaki	581
29	Di_infiri	553
30	myaccountwasgone	543
31	Kyrum2169	537
32	_Nuf	529
33	Quaintster	520
34	lordpipe	462
35	Ryan_GEMS	439
36	set67	427
37	mwrty	416
38	H0UNDFRMH3LL	415
39	imcombxt	413
40	Kowcio_	393
41	Heisenbberrg	388
42	beeperbeeper5	387
43	Spenduh	381
44	yheece	363
45	annebolyn	359
46	groofles	357
47	FishisTTV	345
48	Onennon	337
49	XboxPanda	330
50	HellsSponge	328
51	Blackberry1310	324
52	Fullut	323
52	Shortest_Man	323
54	6king6colt6	320
55	Segotep999	316
56	geekbird	313
57	SkateboardR6	302
58	stavgod	301
59	Sabby65	300
59	PeteO1995	300
61	surfinggiraffejp	298
62	Bumpy419	295
63	NameGenerat0r	293
64	Blu3beast	292
65	wTXop	291
66	FreakGenius	287
67	Blaiku	285
68	podduszenie	281
69	mariominejedi	279
70	SaucyDark	273
71	Njensen7	272
72	TheSandwhich_	271
73	fluddd	267
74	i2f8x4h8ro	266
75	Wowful	262
76	SquadMonster	260
76	blackeemperor	260
78	Groovy_MoonBird	258
79	Incinere	257
80	RobotMinion101	255
81	jimintyy	247
82	DennyKai	246
83	Vizzoid	236
84	emreknugrlu	231
85	platinumzero	225
86	LeeMcGee30	217
87	PazinGaming	211
88	mihimihimihi	208
89	skitzxo	207
90	Powowowow	205
91	ECstardust	204
91	Hetti301	204
93	Comma__	202
94	MovingFish7	201
95	__tomato	197
96	Jackattack53	196
97	RadarHz	195
98	rarrq	194
98	catandmoose	194
100	oreee	192
100	ThePoliteG	192
100	Jonafrog99	192
100	k1ngGilgamesh	192
104	fade_emerge78823	190
104	00000000-0000-0000-0009-01f570995a20	190
106	MousePlays	185
107	Alteriity	184
107	Hisiste	184
109	BadenStayFly	180
109	SvenskaHugo	180
111	ConnorDanky_	179
112	500am	176
112	Skylord_Luke	176
114	kekhon	173
114	ebanana	173
116	Enderxz3	170
117	abdomera	169
118	Xclax101	166
119	12Magner05	163
120	Notta	160
121	jnp_gaming	158
122	Hail_the_wombat	155
122	censorsheep	155
124	YungMaki	151
125	Skippeh	148
126	I_Am_Mushkin	147
127	MS_Pryxx	146
128	noam464	145
129	T045RTY	144
129	Dakar_	144
131	ediballbearings	141
132	LordBlaze11	139
133	501g	138
134	Rumpletaezer	137
135	DaviusMaximoose	132
136	TheImperial	131
137	Kubeusz2010	130
138	k_ce	129
138	GreedyFern8581	129
140	Allchemy	128
140	301851	128
140	SellyZ	128
140	xDraggin	128
140	Deathkob	128
140	Meatlaugh	128
140	MrShojo	128
147	AstreaTSS	125
148	Mr_Byzantine	122
149	jewbacaman	120
150	gustarlep	118
151	Nicserso	117
152	EdGalbraith	116
153	AlexxO_o	115
153	OverallConcept	115
155	soundad	114
156	thescout7	113
157	CliffEmAll	112
158	SvenskaSara	111
159	Zxhir	110
160	killmeiamtraitor	106
160	KevinLevrone9983	106
160	Kura2218	106
163	Spacewardharpy7	102
164	voiding_	101
165	oscminus	100
165	claivin	100
165	MakeHistory157	100
168	pintsizedrogue	97
168	Soplight	97
170	firesgal3116	96
171	SmashingPump	95
172	krutas2000	93
173	Jonte0599	92
173	_TCARREIRA_	92
175	m_be9	91
175	ReSynced	91
177	NotKaden_	90
178	iElijahi	89
179	Arceus1975	88
179	1442	88
181	diamondgolem35	86
181	TinMaster	86
181	laron58	86
184	Inchef	85
184	luseis	85
184	NATE_the_HALO	85
187	SOA1RR	84
187	Leksanda	84
187	RebytreGT	84
190	yulgur1	83
190	sp00ky_ghost977	83
192	ImNotYuqii	82
192	yaboo88	82
192	Snowflowe	82
192	Fuad_R	82
196	fanofbands101	81
196	Soul_Atreus	81
198	Toriankel	80
199	whoaluv	79
200	PhantomsGhost_	78
200	AuroraValkyrie	78
202	TheBiggestFeller	77
202	EtherealSilveon	77
202	Deodorante	77
202	Manaateee	77
206	MattieHD	76
206	Y_A_N_N_I	76
206	Akoot_	76
209	Myszoaz	75
209	paranoid_plant	75
211	Mr_Froxy	74
211	Hahaa_0	74
211	_3Stump_	74
211	Steelynan	74
211	Yamdalorian	74
216	TheEnderMan548	73
216	Ezekson	73
218	Franco093	71
218	joethahobo	71
220	slkiey	70
220	Warlord324	70
220	vandmanden	70
223	FirsTimeGamingTV	69
223	_Mythic____	69
223	HesDemonPants	69
226	Flapjacker687	68
226	iSammael	68
228	Marbz_	67
229	ROY4LE	66
229	ImDisconnected_	66
229	OfficerAnvil	66
229	UrbanPlanningEx	66
233	redikul	65
233	2extreeme	65
233	__Auspicious	65
236	ItsGrayWolf	64
236	MunkaKris	64
236	hollowww	64
236	Jackster03	64
236	Sleepy_Time_	64
236	Zedducius	64
236	Hydro___________	64
236	Cortexia	64
236	corvidpartyfor6	64
236	TheDiamondCG	64
236	_Magdo_	64
236	Mewar	64
236	RIPB0ZO	64
236	Avrelion	64
236	Reneedium	64
236	Voxin2K	64
236	BRRRN179	64
236	TJawesome09	64
236	fw3xy74	64
236	audiocracked	64
236	masskedman	64
236	weabis	64
236	_k2x	64
236	starbits140	64
236	SammiWolfGirl	64
236	erkada	64
236	RoboTramp7865	64
263	NatalieTW	62
263	elicobnoah	62
263	PhantomBionic	62
263	YungWali	62
267	Batman922	61
267	cichy096	61
269	xxPipperDipperxx	60
269	Galactic_Badger	60
269	magmaniacmc	60
269	Legendosh	60
273	KarlKaek	59
273	Werbe	59
273	smogfrog	59
276	MuffinManzz	58
276	Neemuuri	58
276	Krowuss	58
276	ougstur	58
276	CalebDHawk	58
281	SlayerCrypto	56
281	THEKINGLyric10	56
281	Airem_Core	56
284	CLG_Kata	55
284	Awyrlas	55
284	EcksD	55
287	walll	54
287	kars0n	54
287	kyouma777	54
290	JETrotter	53
290	ChocolatePepsi	53
292	livingdaydreams	52
292	King_Pancake1	52
292	djancak	52
292	PlasticOtari	52
296	DabKeepaBlicky	51
296	33sudo	51
298	Ironmine12	50
298	Julmish	50
298	ratglock	50
