rank	username	minecraft:dropped/minecraft:gray_concrete_powder
1	noam464	9192
2	Spacewardharpy7	7728
3	Enderslayerxz3	1800
4	thewindmillman	1560
5	NameGenerat0r	1201
6	Rich_Kat	967
7	Uzbeki_John	576
8	Di_infiri	512
9	Snowflowe	384
10	Truckoss	352
11	lillips	320
12	_Karmaa	256
13	Mahoose	197
14	ImpavidArcher	192
15	joethahobo	180
16	Jiminie	172
17	pintsizedrogue	140
18	Incinere	128
18	Freak_Genius	128
20	Covalents	81
21	Inchef	65
22	eitanzaki	64
22	Marbz_	64
22	JayToe	64
25	Soplight	40
26	beeperbeeper5	32
27	NotTrixi	21
28	EveryonesUncle	19
28	EcksD	19
30	Werbe	8
31	Hyp3rion_	4
32	groofles	2
33	Blackberry1310	1
33	lOlmantschi	1
33	avalan64	1
33	PlasticOtari	1
