rank	username	minecraft:dropped/minecraft:scute
1	Hyp3rion_	716
2	Mahoose	203
3	k1ngGilgamesh	117
4	Racengan	110
5	eitanzaki	76
6	pintsizedrogue	65
7	Blu3beast	59
8	noam464	53
9	Kubeusz2010	46
10	vandmanden	23
11	kekhon	20
12	HellsSponge	18
13	surfinggiraffejp	10
13	Yamdalorian	10
15	The_slideV3	9
16	Akoot_	8
17	Comma__	6
17	Moetis	6
19	rarrq	5
19	aikabot	5
21	hollowww	4
21	claivin	4
23	Blackberry1310	3
23	CollinMH06	3
23	legal_tax_evader	3
23	HeraclesOGU	3
23	Fildyr	3
23	EcksD	3
29	Groovy_MoonBird	2
29	beeperbeeper5	2
29	DirtyBoar	2
29	Arceus1975	2
29	Gryglu583	2
29	AssassinAshton	2
29	Kura2218	2
29	Skippeh	2
29	cichy096	2
29	h2p_emrld	2
39	robertsnose	1
39	Inchef	1
39	Onennon	1
39	Jonte0599	1
39	Hail_the_wombat	1
39	Bloo2406	1
39	PortlyPete69	1
39	Quotary	1
