rank	username	minecraft:dropped/minecraft:nether_bricks
1	Frozil12	237925
2	Hyp3rion_	31924
3	noam464	13911
4	Blaiku	13278
5	joethahobo	3604
6	thewindmillman	2518
7	PigDab	2391
8	Jiminie	893
9	Blu3beast	814
10	eitanzaki	597
11	Racengan	455
12	ebanana	406
13	Groovy_MoonBird	335
14	ooga47	320
15	Di_infiri	318
16	Xclax101	289
17	gcaisawesome	262
18	Deathkob	254
19	vandmanden	239
20	VentiHilton	221
21	jcool7	194
22	lordpipe	186
23	dudcreeper	176
24	hm947	155
25	stavgod	154
25	Soplight	154
27	PortlyPete69	151
28	Akoot_	146
29	Bumpy419	145
30	EcksDofficial	130
31	Jovaphobic	128
31	KliBeast21	128
31	YungMaki	128
34	Moofyman	123
35	livingdaydreams	112
36	Hiryu27	104
37	BobDeBouwer1337	101
38	kekhon	93
39	gaziter10	89
40	RobotMinion101	84
41	Smoke____	78
42	Vizzoid	73
42	TechnoNinja64	73
44	oxfordschool	66
45	XboxPanda	65
45	fred870d	65
47	Prismyst	64
47	Malorn_Aetherius	64
47	Kyrum2169	64
47	Northernrabbit	64
51	SellyZ	62
51	anbbang	62
53	m_be9	61
54	CliffEmAll	59
55	beeperbeeper5	57
55	NomadicRobin_	57
55	Ezekson	57
58	SuperPooch06	55
59	jewbacaman	54
59	Vorlice	54
61	Sky_light_KING	52
62	Rasmanden	49
63	censorsheep	46
64	Segotep999	45
65	Blackberry1310	43
65	ratglock	43
67	rarrq	42
67	Zythose	42
67	jnp_gaming	42
70	Arceus1975	40
70	TheEnderman548	40
72	ColeSnyder	37
73	fr_ser	36
74	Freak_Genius	34
75	Strangemonkey71	33
76	301851	32
76	Barlycorn	32
78	_Nuf	30
78	mwrty	30
78	Nicky19	30
78	Groundler	30
82	EcksD	28
82	UrbanPlanner1978	28
84	EMC_	27
84	Ardennes	27
84	Spacewardharpy7	27
87	obzii	26
87	Njensen7	26
89	pintsizedrogue	25
89	Awyrlas	25
91	Cowison	24
91	ProfessorBee	24
91	Enderslayerxz3	24
94	epiksk8erduck	22
95	Franco093	21
95	thescout7	21
95	Skylord_Luke	21
98	JEWISHBadenBeele	19
98	WET_WET_WET	19
100	claivin	18
101	surfinggiraffejp	17
101	Rumpletaezer	17
103	Sabby65	16
103	jiggywraps	16
103	monky_irl	16
106	NameGenerat0r	15
107	TheSecondLord	14
107	DanTheBuilderino	14
109	ToastedGamingYT	13
109	HellsSponge	13
109	MovingFish7	13
109	Juh1s	13
109	PlasticOtari	13
114	Fullut	12
114	ayamefag	12
114	QueenOfDirt	12
117	Mahoose	11
117	Swexti	11
117	WyngGoy	11
117	UltraZombie	11
121	ImpavidArcher	10
121	seba070c	10
121	mimbo1211	10
121	wwwwinnebagoooo	10
125	TheBiggestFeller	9
125	RodSerlingCringe	9
127	Ninzyyy	8
127	soundad	8
127	I_Am_Mushkin	8
127	Werbe	8
127	Miko_Fullbuster	8
127	Sral7	8
133	Comma__	7
133	DermeinUser	7
133	SwooshBoi	7
133	fluddd	7
133	SUN_DREAM	7
133	2blox	7
133	Zoeyfortnite	7
133	h2p_emrld	7
141	Wolf_Mauler_73	6
141	Unitas_isa	6
141	ROY4LE	6
141	platinumzero	6
141	Jackattack53	6
141	wezzzi	6
147	picardred	5
147	lizardfightclub	5
147	MustaLoordi	5
147	Nycteus_	5
147	pixelviolin	5
147	Spenduh	5
147	BreadBacon	5
147	Jordan_R	5
147	diggydog67	5
156	TildaAndrea	4
156	Valoth	4
156	zorin123	4
156	boog4loo	4
156	Covalents	4
156	Zaridey	4
156	gabriels543	4
156	pappaberg	4
156	Corbsman	4
156	Onennon	4
156	Syropatathe	4
156	MAns_44	4
156	AssFullaCum	4
156	GlitchyPlate810	4
156	Hermanni__	4
156	OfficerAnvil	4
172	bbaobei	3
172	r123moore	3
172	MyNameIsJobo	3
172	jedi_george	3
172	Chrisdeadeye	3
172	chipklip	3
172	Quincannon	3
172	Garrulous	3
172	Kowcio_	3
172	Luigipunch989	3
172	laron58	3
172	Skippeh	3
172	Quotary	3
185	Bandito_Roamer	2
185	Paint	2
185	Merv__	2
185	tuckerdoodle	2
185	RebelAndroid	2
185	ShedJr_	2
185	H72l9w	2
185	Historical_Sand	2
185	hcb238	2
185	AnnieBathory	2
185	The11thDoctor	2
185	Truckoss	2
185	EveryonesUncle	2
185	Shogunite	2
185	Deerfoot	2
185	El_Jalapeno	2
185	Eraxa	2
185	Steelynan	2
185	alderban107	2
185	MeetTheWollo	2
185	Yahrto	2
185	JayToe	2
207	TooManyDuck	1
207	TAKrules	1
207	elmer1234	1
207	Nicky_H225	1
207	500am	1
207	Scathra	1
207	fade_emerge78823	1
207	eviltunix	1
207	Kakolbus	1
207	Freeman666	1
207	burbankbuilder28	1
207	Donutt	1
207	Rebytre	1
207	ApophisNova	1
207	bee_gorl	1
207	TheShyPig	1
207	HolyVenom	1
207	Leyna3	1
207	Maenara	1
207	Lord_Jord	1
207	AlphaWolfPlaysMC	1
207	Fuhrer_Teemo	1
207	lillips	1
207	EfficientC52	1
207	Warlord324	1
207	carbo_bro	1
207	SvenskaHugo	1
207	Sheldor097	1
207	fffMike	1
207	tartanboy	1
207	mobunni	1
207	MyNamaSheff	1
207	Weepingbiel	1
