rank	username	minecraft:dropped/minecraft:lantern
1	thewindmillman	2889
2	EcksD	2126
3	beeperbeeper5	992
4	weabis	820
5	eitanzaki	428
6	kekhon	395
7	noam464	366
8	Crowman1	355
9	Mahoose	330
10	Ezekson	280
11	Kowcio_	276
12	Werbe	257
13	PigDab	249
14	pintsizedrogue	244
15	Akoot_	239
16	Hyp3rion_	194
17	AdmiralSmoke	185
18	Blaiku	172
19	PazinGaming	165
20	YungMaki	161
21	joethahobo	134
22	Rebytre	126
23	Di_infiri	125
24	luseis	107
25	FreakGenius	103
26	diamondgolem35	97
27	Ryan_GEMS	96
27	pixelviolin	96
29	2Stout	95
29	SpacesickPrism	95
31	Lez_	89
32	Xclax101	82
33	jcool7	80
34	Huwulling	78
35	Alteriity	77
36	SvenskaHugo	75
37	ConnorDanky_	74
38	lcvezra	73
39	r123moore	72
39	fffMike	72
41	SkateboardR6	71
42	Fullut	70
43	TheSecondLord	65
44	Historical_Sand	64
44	gcaisawesome	64
44	Ecplosive	64
47	Segotep999	63
48	Tyrannosplart	61
48	Nicserso	61
50	lordpipe	60
51	TechnoNinja64	57
52	Racengan	56
53	Skylord_Luke	55
53	Toriankel	55
55	LeonelSalamanca	54
56	Kkanot	52
56	CattSoup	52
58	CuzIm2Kev	50
59	MysticalKitty139	49
60	H0UNDFRMH3LL	48
60	thescout7	48
60	Jackattack53	48
63	Smashic	45
64	hm947	43
65	BlueZabu	41
66	EMC_	40
67	Kakolbus	39
68	AuroraValkyrie	37
68	wwwwinnebagoooo	37
70	sadvavilloso	35
71	livingdaydreams	34
71	pappaberg	34
71	fkGrim	34
71	xolstoi	34
75	SteveCraftBlocks	33
76	Spacewardharpy7	30
77	Eraxa	29
78	Frozil20	27
79	ProfessorBee	26
80	Groovy_MoonBird	24
80	TildaAndrea	24
80	Guillemet	24
80	_Dean_123	24
80	EveryonesUncle	24
85	rarrq	22
85	olliebollie48	22
85	The_Cruncy	22
88	Tommhh	21
88	xzvu	21
90	CoffeeNoir	20
90	Blackberry1310	20
90	SammiWolfGirl	20
90	deenobeeno	20
94	Notta	19
94	UCP_TheKingK	19
94	Steelynan	19
97	ImpavidArcher	18
97	jacxhadow	18
97	Gryglu583	18
97	_i_ERROR_i_	18
101	Manaateee	17
101	HellsSponge	17
103	NomadicRobin_	16
103	stellarjay	16
103	_TCARREIRA_	16
106	BlancoFlaco	15
106	J4k__	15
108	bigstankyy	14
108	RebelAndroid	14
108	F_Uhre	14
111	KarlKaek	13
111	Mattesco	13
111	sheherhers	13
111	CalebDHawk	13
115	Apollo_993	12
115	ganyuganyu	12
115	SmashingPump	12
115	Chromary	12
115	Arceus1975	12
115	Krowuss	12
115	ItsDeltaMC	12
115	KingMatthew506	12
115	WYFYoyo	12
124	SaucyDark	11
124	HolyVenom	11
124	Soplight	11
127	Merv__	10
127	set67	10
127	Hanselhoof	10
127	xxPipperDipperxx	10
127	groofles	10
127	Soap_Bender	10
127	jewishnoselong	10
127	Burge_r	10
127	Hermanni__	10
136	PhantomsGhost_	9
136	Incinere	9
136	Shiirazu	9
136	MovingFish7	9
136	__tomato	9
141	500am	8
141	John6970	8
141	GooseWithin	8
141	Nycteus_	8
141	Airem_Core	8
146	SPUDonSTEROIDS	7
146	NameGenerat0r	7
146	the__Reaper4999	7
146	LeEricc	7
146	Enderxz3	7
151	_Huge_Male_	6
151	Marbz_	6
151	burbankbuilder28	6
151	Blu3beast	6
151	MightyWertu	6
151	RedcatVII	6
151	561cool	6
158	ECstardust	5
158	6king6colt6	5
158	Natty	5
158	m_be9	5
158	lorpus	5
158	ROY4LE	5
158	TheShyPig	5
158	Maenara	5
158	Shogunite	5
158	fluddd	5
158	monky_irl	5
158	stavgod	5
170	Secret_Canary	4
170	SaintJosie	4
170	ADEXTV	4
170	_Bguette_	4
170	The_Quack_Dealer	4
170	djancak	4
170	PortlyPete69	4
170	TheOuterCore	4
170	jnp_gaming	4
179	k_ce	3
179	I_Am_Mushkin	3
179	MogusBussy69	3
179	Myszoaz	3
179	mwrty	3
179	AnnieBathory	3
179	QuacksonThe3rd	3
179	MakeHistory157	3
187	_Virify_	2
187	Mr_Byzantine	2
187	itburb	2
187	_Razaria	2
187	T045RTY	2
187	ZaneABrain	2
