rank	username	minecraft:dropped/minecraft:sandstone
1	thewindmillman	110092
2	Hyp3rion_	98591
3	Spacewardharpy7	77542
4	PigDab	56564
5	joethahobo	36016
6	gcaisawesome	14163
7	AstreaTSS	12954
8	Jackattack53	10444
9	Blackberry1310	9845
10	Fuad_R	9112
11	FreakGenius	7484
12	EcksD	7424
13	xolstoi	6894
14	Dogcorn69420	5860
15	beeperbeeper5	5167
16	SteveCraftBlocks	5098
17	SkateboardR6	4334
18	Akoot_	4228
19	noam464	3931
20	Segotep999	3907
21	Mahoose	3633
22	YungMaki	3332
23	Skylord_Luke	2814
24	Frozil20	2726
25	TheSecondLord	2575
26	eitanzaki	2431
27	Blaiku	2294
28	TechnoNinja64	2211
29	UCP_TheKingK	1950
30	non089	1873
31	Groovy_MoonBird	1737
32	OreTheBear	1537
33	Soplight	1480
34	AuroraValkyrie	1473
35	Historical_Sand	1455
36	kalzor	1396
37	lordpipe	1378
38	Smashic	1362
39	luseis	1336
40	Ezekson	1318
41	tuckerdoodle	1247
42	xzvu	1227
43	Steelynan	1124
44	Lez_	1025
45	hanaryheatwave	1009
46	lillips	981
47	El_Jalapeno	930
48	Kowcio_	916
49	Da_Boss_Rani	839
50	Xalithia	802
51	diamondgolem35	799
52	Chromary	797
53	Di_infiri	790
54	LeonelSalamanca	772
55	Ssor69	739
56	Racengan	715
57	Spenduh	697
58	kekhon	693
59	Fullut	577
60	TheDankPlatypus	576
61	NomadicRobin_	570
62	Samificator	568
63	Arceus1975	554
64	Manaateee	550
65	Euclidoris	531
66	Merv__	524
67	eviltunix	495
68	AdmiralSmoke	492
69	PhantomsGhost_	486
70	yheece	458
71	Blu3beast	457
72	ConnorDanky_	453
73	SOA1RR	448
74	rarrq	426
75	HellsSponge	414
76	NameGenerat0r	410
77	Onennon	394
78	Wowful	390
79	Sral7	388
80	Archsam	379
81	Rumpletaezer	371
82	TheBiggestFeller	359
83	xXTheWolfmanXx	352
84	Werbe	348
85	ReyTheLegend	346
86	Secret_Canary	330
87	_TCARREIRA_	326
88	The_Quack_Dealer	318
89	Swexti	314
90	jcool7	308
91	paranoid_plant	306
91	Scathra	306
93	stevewithclout	305
94	RebelAndroid	299
95	Deodorante	278
96	lotarp	276
97	NatalieTW	274
98	SellyZ	266
98	_Karmaa	266
100	FishyBoy3811	258
101	Sleek_Storm_721	256
101	_Mythic____	256
103	dopplexd	255
104	Skippeh	247
105	Bumpy419	246
106	Sheldor097	234
107	ECstardust	231
108	noodlepack	229
109	mihimihimihi	228
110	__tomato	226
111	jnp_gaming	221
112	trexgb	216
113	500am	215
114	PlasticOtari	214
115	EveryonesUncle	205
115	Hermanni__	205
